Type,Kind,Part,Chapter,Title,Authors,Pages,DOI,Paper_Link,Category
Dataset,Full paper,Part III (LNCS 16025),17,BiblioPage: A Dataset of Scanned Title Pages for Bibliographic Metadata Extraction,"Jan Kohút, Martin Dočekal, Michal Hradiš, Marek Vaško",287-304,10.1007/978-3-032-04624-6_17,https://doi.org/10.1007/978-3-032-04624-6_17,2_Layout_Parsing_Tables
Dataset,Full paper,Part V (LNCS 16027),9,Rx-PAD: Recognition and eXtraction – A Dataset for Prescription Analysis and Clinical Data Structuring,"Jonathan Pattin Cottet, Véronique Eglin, Alexandre Aussem",151-167,10.1007/978-3-032-04630-7_9,https://doi.org/10.1007/978-3-032-04630-7_9,2_Layout_Parsing_Tables
Method,Full paper,Part I (LNCS 16023),1,SFDLA: Source-Free Document Layout Analysis,"Sebastian Tewes, Yufan Chen, Omar Moured, Jiaming Zhang, Rainer Stiefelhagen",3-22,10.1007/978-3-032-04614-7_1,https://doi.org/10.1007/978-3-032-04614-7_1,2_Layout_Parsing_Tables
Method,Full paper,Part I (LNCS 16023),15,SemiTabDETR: End-to-End Semi-supervised Table Detection with Transformer-Based Enhanced Query Approach,"Tahira Shehzadi, Didier Stricker, Muhammad Zeshan Afzal",259-279,10.1007/978-3-032-04614-7_15,https://doi.org/10.1007/978-3-032-04614-7_15,2_Layout_Parsing_Tables
Method,Full paper,Part III (LNCS 16025),4,Uncertainty-Aware Complex Scientific Table Data Extraction,"Kehinde Ajayi, Yi He, Jian Wu",56-73,10.1007/978-3-032-04624-6_4,https://doi.org/10.1007/978-3-032-04624-6_4,2_Layout_Parsing_Tables
Method,Full paper,Part III (LNCS 16025),8,Table Detection with Active Learning,"Somraj Gautam, Nachiketa Purohit, Gaurav Harit",130-146,10.1007/978-3-032-04624-6_8,https://doi.org/10.1007/978-3-032-04624-6_8,2_Layout_Parsing_Tables
Method,Full paper,Part III (LNCS 16025),13,HisDoc-DETR: Integrating Semantic Learning and Feature Fusion for Historical Document Layout Analysis,"Kai Ding, Sheng Jian, Lianwen Jin",218-237,10.1007/978-3-032-04624-6_13,https://doi.org/10.1007/978-3-032-04624-6_13,2_Layout_Parsing_Tables
Method,Full paper,Part IV (LNCS 16026),8,SepFormer: Coarse-to-Fine Separator Regression Network for Table Structure Recognition,"Nam Quan Nguyen, Xuan Phong Pham, Tuan-Anh Tran",137-153,10.1007/978-3-032-04627-7_8,https://doi.org/10.1007/978-3-032-04627-7_8,2_Layout_Parsing_Tables
Method,Full paper,Part V (LNCS 16027),15,TABLET: Table Structure Recognition Using Encoder-only Transformers,"Qiyu Hou, Jun Wang",253-278,10.1007/978-3-032-04630-7_15,https://doi.org/10.1007/978-3-032-04630-7_15,2_Layout_Parsing_Tables
Method,Full paper,Part V (LNCS 16027),16,QUEST: Quality-Aware Semi-supervised Table Extraction for Business Documents,"Eliott Thomas, Mickaël Coustaty, Aurélie Joseph, Gaspar Deloin, Elodie Carel, Vincent Poulain D’andecy, Jean-Marc Ogier",279-302,10.1007/978-3-032-04630-7_16,https://doi.org/10.1007/978-3-032-04630-7_16,2_Layout_Parsing_Tables
Method,Full paper,Part V (LNCS 16027),8,TableCall: Boosting Table Question Answering with Tool-Driven Training-Free LLMs,"Chun-Bo Xu, Yi-Ming Chen, Xiao-Hui Li, Fei Yin, Cheng-Lin Liu",133-150,10.1007/978-3-032-04630-7_8,https://doi.org/10.1007/978-3-032-04630-7_8,2_Layout_Parsing_Tables
Method,Full paper,Part I (LNCS 16023),24,MATATA: Weakly Supervised End-to-End MAthematical Tool-Augmented Reasoning for Tabular Applications,"Vishnou Vinayagame, Gregory Senay, Luis Martí",428-467,10.1007/978-3-032-04614-7_24,https://doi.org/10.1007/978-3-032-04614-7_24,2_Layout_Parsing_Tables
Method,Full paper,Part IV (LNCS 16026),28,HiLEx: Image-Based Hierarchical Layout Extraction from Question Papers,"Utathya Aich, Shinjini Chakraborty, Deepan Sadhukhan, Swarnendu Ghosh, Tulika Saha",485-505,10.1007/978-3-032-04627-7_28,https://doi.org/10.1007/978-3-032-04627-7_28,2_Layout_Parsing_Tables
Method,Full paper,Part III (LNCS 16025),28,Ar-Q-Former: Historical Newspaper Article Separation Based on Multimodal Transformer Structure,"Wenjun Sun, Nancy Girdhar, Hanh Thi Hong Tran, Carlos-Emiliano González-Gallardo, Mickaël Coustaty, Antoine Doucet",476-492,10.1007/978-3-032-04624-6_28,https://doi.org/10.1007/978-3-032-04624-6_28,2_Layout_Parsing_Tables
Method,Full paper,Part IV (LNCS 16026),22,DocPINN: A Neural PDE-Based Framework for Document Image Dewarping,Guangrui Fan,382-397,10.1007/978-3-032-04627-7_22,https://doi.org/10.1007/978-3-032-04627-7_22,2_Layout_Parsing_Tables
