Sub-category,Type,Vol,Title,Authors,DOI,Paper_Link,Category
Core VDU / Doc,Method,134.0,PDF-WuKong: A Large Multimodal Model for Efficient Long PDF Reading with End-to-End Sparse Sampling,"Xudong Xie, Hao Yan, Liang Yin, Yang Liu, Jing Ding, Minghui Liao, Yuliang Liu, Wei Chen, Xiang Bai",10.1007/s11263-026-02860-w,https://doi.org/10.1007/s11263-026-02860-w,TOP_related
OCR / text,Method,134.0,Multi-Granularity Prediction with Learnable Fusion for Scene Text Recognition,"Cheng Da, Peng Wang, Cong Yao",10.1007/s11263-025-02653-7,https://doi.org/10.1007/s11263-025-02653-7,TOP_related
OCR / text,Method,134.0,End-to-End Full-Page Optical Music Recognition for Pianoform Sheet Music,"Antonio Ríos-Vila, Jorge Calvo-Zaragoza, David Rizo, Thierry Paquet",10.1007/s11263-025-02654-6,https://doi.org/10.1007/s11263-025-02654-6,TOP_related
OCR / text,Method,134.0,Handwritten Arabic Text Recognition: A Review of Recent Trends and Future Direction,"Fatima Aliyu Shugaba, Usman Ullah Sheikh, Mohd Afzan Othman, Nurulaqilla Khamis, Muhammad Habibullah Abdulfattah",10.1007/s11263-026-02773-8,https://doi.org/10.1007/s11263-026-02773-8,TOP_related
Retrieval,Method,134.0,Fine-Grained Multimodal Alignment for Image-Text Retrieval via Graph Learning,"Mao Chen, Xiangkai Zhang, Lu Qi, Xiangtai Li, Xu Yang, Steven C. H. Hoi, Zhiyong Liu, Ming-Hsuan Yang",10.1007/s11263-025-02686-y,https://doi.org/10.1007/s11263-025-02686-y,TOP_related
Retrieval,Method,134.0,HACG: Leveraging Hierarchical Alignment and Caption Generation for Text-Video Retrieval,"Donglin Zhang, Zhiwen Wang, Xiao-Jun Wu, Josef Kittler",10.1007/s11263-025-02645-7,https://doi.org/10.1007/s11263-025-02645-7,TOP_related
Retrieval,Method,134.0,Generalized Image Retrieval with Off-The-Shelf Quantizer,"Pengpeng Zeng, Yihang Duan, Xiaosu Zhu, Jingkuan Song, Lianli Gao, Nicu Sebe, Hengtao Shen",10.1007/s11263-026-02857-5,https://doi.org/10.1007/s11263-026-02857-5,TOP_related
MLLM related,Method,134.0,From Training-Free to Adaptive: Empirical Insights into MLLMs’ Understanding of Detection Information,"Qirui Jiao, Daoyuan Chen, Yilun Huang, Yaliang Li, Ying Shen",10.1007/s11263-026-02877-1,https://doi.org/10.1007/s11263-026-02877-1,TOP_related
