Type,Track,Title,Authors,Paper_Link,PDF_Link,Anthology_ID,Category
Method,Main,DELOC: Document Element Localizer,"Hammad Ayyubi, Puneet Mathur, Mehrab Tanjim, Vlad I Morariu",https://aclanthology.org/2025.emnlp-main.1585/,https://aclanthology.org/2025.emnlp-main.1585.pdf,2025.emnlp-main.1585,2_DocParsing_OCR
Method,Findings,Intelligent Document Parsing: Towards End-to-end Document Parsing via Decoupled Content Parsing and Layout Grounding,"Hangdi Xing, Feiyu Gao, Qi Zheng, Zhaoqing Zhu, Zirui Shao, Ming Yan",https://aclanthology.org/2025.findings-emnlp.1088/,https://aclanthology.org/2025.findings-emnlp.1088.pdf,2025.findings-emnlp.1088,2_DocParsing_OCR
Method,Main,"CHURRO: Making History Readable with an Open-Weight Large Vision-Language Model for High-Accuracy, Low-Cost Historical Text Recognition","Sina Semnani, Han Zhang, Xinyan He, Merve Tekgurler, Monica Lam",https://aclanthology.org/2025.emnlp-main.1763/,https://aclanthology.org/2025.emnlp-main.1763.pdf,2025.emnlp-main.1763,2_DocParsing_OCR
Method,Demo,PDFMathTranslate: Scientific Document Translation Preserving Layouts,"Rongxin Ouyang, Chang Chu, Zhikuang Xin, Xiangyao Ma",https://aclanthology.org/2025.emnlp-demos.71/,https://aclanthology.org/2025.emnlp-demos.71.pdf,2025.emnlp-demos.71,2_DocParsing_OCR
Dataset,Main,ChartMind: A Comprehensive Benchmark for Complex Real-world Multimodal Chart Question Answering,"Jingxuan Wei, Nan Xu, Junnan Zhu, Haoyanni, Gaowei Wu, Qi Chen, Bihui Yu, Lei Wang",https://aclanthology.org/2025.emnlp-main.226/,https://aclanthology.org/2025.emnlp-main.226.pdf,2025.emnlp-main.226,3_Chart_Table_Slide
Dataset,Main,ChartGaze: Enhancing Chart Understanding in LVLMs with Eye-Tracking Guided Attention Refinement,"Ali Salamatian, Amirhossein Abaskohi, Wan-Cyuan Fan, Mir Rayat Imtiaz Hossain, Leonid Sigal, Giuseppe Carenini",https://aclanthology.org/2025.emnlp-main.607/,https://aclanthology.org/2025.emnlp-main.607.pdf,2025.emnlp-main.607,3_Chart_Table_Slide
Dataset,Main,Unmasking Deceptive Visuals: Benchmarking Multimodal Large Language Models on Misleading Chart Question Answering,"Zixin Chen, Sicheng Song, KaShun Shum, Yanna Lin, Rui Sheng, Weiqi Wang, Huamin Qu",https://aclanthology.org/2025.emnlp-main.695/,https://aclanthology.org/2025.emnlp-main.695.pdf,2025.emnlp-main.695,3_Chart_Table_Slide
Dataset,Main,Chart2Code53: A Large-Scale Diverse and Complex Dataset for Enhancing Chart-to-Code Generation,"Tianhao Niu, Yiming Cui, Baoxin Wang, Xiao Xu, Xin Yao, Qingfu Zhu, Dayong Wu, Shijin Wang, Wanxiang Che",https://aclanthology.org/2025.emnlp-main.799/,https://aclanthology.org/2025.emnlp-main.799.pdf,2025.emnlp-main.799,3_Chart_Table_Slide
Dataset,Main,ClimateViz: A Benchmark for Statistical Reasoning and Fact Verification on Scientific Charts,"Ruiran Su, Jiasheng Si, Zhijiang Guo, Janet B. Pierrehumbert",https://aclanthology.org/2025.emnlp-main.1196/,https://aclanthology.org/2025.emnlp-main.1196.pdf,2025.emnlp-main.1196,3_Chart_Table_Slide
Dataset,Main,Text2Vis: A Challenging and Diverse Benchmark for Generating Multimodal Visualizations from Text,"Mizanur Rahman, Md Tahmid Rahman Laskar, Shafiq Joty, Enamul Hoque",https://aclanthology.org/2025.emnlp-main.1622/,https://aclanthology.org/2025.emnlp-main.1622.pdf,2025.emnlp-main.1622,3_Chart_Table_Slide
Dataset,Main,Doc2Chart: Intent-Driven Zero-Shot Chart Generation from Documents,"Akriti Jain, Pritika Ramu, Aparna Garimella, Apoorv Saxena",https://aclanthology.org/2025.emnlp-main.1770/,https://aclanthology.org/2025.emnlp-main.1770.pdf,2025.emnlp-main.1770,3_Chart_Table_Slide
Dataset,Findings,StatsChartMWP: A Dataset for Evaluating Multimodal Mathematical Reasoning Abilities on Math Word Problems with Statistical Charts,"Dan Zhu, Tianqiao Liu, Zitao Liu",https://aclanthology.org/2025.findings-emnlp.695/,https://aclanthology.org/2025.findings-emnlp.695.pdf,2025.findings-emnlp.695,3_Chart_Table_Slide
Dataset,Findings,ChartM^3: A Multi-Stage Code-Driven Pipeline for Constructing Multi-Dimensional and Multi-Step Visual Reasoning Data in Chart Comprehension,"Duo Xu, Hao Cheng, Xin Lin, Zhen Xie, Hao Henry Wang",https://aclanthology.org/2025.findings-emnlp.701/,https://aclanthology.org/2025.findings-emnlp.701.pdf,2025.findings-emnlp.701,3_Chart_Table_Slide
Dataset,Findings,MTabVQA: Evaluating Multi-Tabular Reasoning of Language Models in Visual Space,"Anshul Singh, Chris Biemann, Jan Strich",https://aclanthology.org/2025.findings-emnlp.1083/,https://aclanthology.org/2025.findings-emnlp.1083.pdf,2025.findings-emnlp.1083,3_Chart_Table_Slide
Dataset,Main,F2TEval: Human-Aligned Multi-Dimensional Evaluation for Figure-to-Text Task,"Tan Yue, Rui Mao, Zilong Song, Zonghai Hu, Dongyan Zhao",https://aclanthology.org/2025.emnlp-main.195/,https://aclanthology.org/2025.emnlp-main.195.pdf,2025.emnlp-main.195,3_Chart_Table_Slide
Dataset,Main,SlideCoder: Layout-aware RAG-enhanced Hierarchical Slide Generation from Design,"Wenxin Tang, Jingyu Xiao, Wenxuan Jiang, Xi Xiao, Yuhang Wang, Xuxin Tang, Qing Li, Yuehe Ma, Junliang Liu, Shisong Tang, Michael R. Lyu",https://aclanthology.org/2025.emnlp-main.458/,https://aclanthology.org/2025.emnlp-main.458.pdf,2025.emnlp-main.458,3_Chart_Table_Slide
Dataset,Main,Do Slides Help? Multi-modal Context for Automatic Transcription of Conference Talks,"Supriti Sinhamahapatra, Jan Niehues",https://aclanthology.org/2025.emnlp-main.814/,https://aclanthology.org/2025.emnlp-main.814.pdf,2025.emnlp-main.814,3_Chart_Table_Slide
Dataset,Findings,VisCoder: Fine-Tuning LLMs for Executable Python Visualization Code Generation,"Yuansheng Ni, Ping Nie, Kai Zou, Xiang Yue, Wenhu Chen",https://aclanthology.org/2025.findings-emnlp.160/,https://aclanthology.org/2025.findings-emnlp.160.pdf,2025.findings-emnlp.160,3_Chart_Table_Slide
Method,Main,AMACE: Automatic Multi-Agent Chart Evolution for Iteratively Tailored Chart Generation,"Hyuk Namgoong, Jeesu Jung, Hyeonseok Kang, Yohan Lee, Sangkeun Jung",https://aclanthology.org/2025.emnlp-main.1089/,https://aclanthology.org/2025.emnlp-main.1089.pdf,2025.emnlp-main.1089,3_Chart_Table_Slide
Method,Main,From Charts to Fair Narratives: Uncovering and Mitigating Geo-Economic Biases in Chart-to-Text,"Ridwan Mahbub, Mohammed Saidul Islam, Mir Tafseer Nayeem, Md Tahmid Rahman Laskar, Mizanur Rahman, Shafiq Joty, Enamul Hoque",https://aclanthology.org/2025.emnlp-main.1472/,https://aclanthology.org/2025.emnlp-main.1472.pdf,2025.emnlp-main.1472,3_Chart_Table_Slide
Method,Industry,Deploying Tiny LVLM Judges for Real-World Evaluation of Chart Models: Lessons Learned and Best Practices,"Md Tahmid Rahman Laskar, Mohammed Saidul Islam, Ridwan Mahbub, Mizanur Rahman, Amran Bhuiyan, Israt Jahan, Mir Tafseer Nayeem, Shafiq Joty, Enamul Hoque, Jimmy Xiangji Huang",https://aclanthology.org/2025.emnlp-industry.134/,https://aclanthology.org/2025.emnlp-industry.134.pdf,2025.emnlp-industry.134,3_Chart_Table_Slide
Method,Findings,Distill Visual Chart Reasoning Ability from LLMs to MLLMs,"Wei He, Zhiheng Xi, Wanxu Zhao, Xiaoran Fan, Yiwen Ding, Zifei Shan, Tao Gui, Qi Zhang, Xuanjing Huang",https://aclanthology.org/2025.findings-emnlp.172/,https://aclanthology.org/2025.findings-emnlp.172.pdf,2025.findings-emnlp.172,3_Chart_Table_Slide
Method,Findings,On the Perception Bottleneck of VLMs for Chart Understanding,"Junteng Liu, Weihao Zeng, Xiwen Zhang, Yijun Wang, Zifei Shan, Junxian He",https://aclanthology.org/2025.findings-emnlp.573/,https://aclanthology.org/2025.findings-emnlp.573.pdf,2025.findings-emnlp.573,3_Chart_Table_Slide
Method,Findings,Does It Run and Is That Enough? Revisiting Text-to-Chart Generation with a Multi-Agent Approach,"James Ford, Anthony Rios",https://aclanthology.org/2025.findings-emnlp.1371/,https://aclanthology.org/2025.findings-emnlp.1371.pdf,2025.findings-emnlp.1371,3_Chart_Table_Slide
Method,Main,PPTAgent: Generating and Evaluating Presentations Beyond Text-to-Slides,"Hao Zheng, Xinyan Guan, Hao Kong, Wenkai Zhang, Jia Zheng, Weixiang Zhou, Hongyu Lin, Yaojie Lu, Xianpei Han, Le Sun",https://aclanthology.org/2025.emnlp-main.728/,https://aclanthology.org/2025.emnlp-main.728.pdf,2025.emnlp-main.728,3_Chart_Table_Slide
Method,Demo,PresentAgent: Multimodal Agent for Presentation Video Generation,"Jingwei Shi, Zeyu Zhang, Biao Wu, Yanjie Liang, Meng Fang, Ling Chen, Yang Zhao",https://aclanthology.org/2025.emnlp-demos.58/,https://aclanthology.org/2025.emnlp-demos.58.pdf,2025.emnlp-demos.58,3_Chart_Table_Slide
Method,Findings,PreGenie: An Agentic Framework for High-quality Visual Presentation Generation,"Xiaojie Xu, Xinli Xu, Sirui Chen, Haoyu Chen, Fan Zhang, Ying-Cong Chen",https://aclanthology.org/2025.findings-emnlp.165/,https://aclanthology.org/2025.findings-emnlp.165.pdf,2025.findings-emnlp.165,3_Chart_Table_Slide
Dataset,Main,TableRAG: A Retrieval Augmented Generation Framework for Heterogeneous Document Reasoning,"Xiaohan Yu, Pu Jian, Chong Chen",https://aclanthology.org/2025.emnlp-main.710/,https://aclanthology.org/2025.emnlp-main.710.pdf,2025.emnlp-main.710,4_TextDoc_RAG_Retrieval
Dataset,Main,SEAL: Structure and Element Aware Learning Improves Long Structured Document Retrieval,"Xinhao Huang, Zhibo Ren, Yipeng Yu, Ying Zhou, Zulong Chen, Zeyi Wen",https://aclanthology.org/2025.emnlp-main.429/,https://aclanthology.org/2025.emnlp-main.429.pdf,2025.emnlp-main.429,4_TextDoc_RAG_Retrieval
Dataset,Main,Context is Gold to find the Gold Passage: Evaluating and Training Contextual Document Embeddings,"Max Conti, Manuel Faysse, Gautier Viaud, Antoine Bosselut, Celine Hudelot, Pierre Colombo",https://aclanthology.org/2025.emnlp-main.1150/,https://aclanthology.org/2025.emnlp-main.1150.pdf,2025.emnlp-main.1150,4_TextDoc_RAG_Retrieval
Dataset,Findings,Multimodal Document-level Triple Extraction via Dynamic Graph Enhancement and Relation-Aware Reflection,"Xiang Li, Runhai Jiao, Zhou Changyu, Shoupeng Qiao, Ruojiao Qiao, Ruifan Li",https://aclanthology.org/2025.findings-emnlp.171/,https://aclanthology.org/2025.findings-emnlp.171.pdf,2025.findings-emnlp.171,4_TextDoc_RAG_Retrieval
Dataset,Findings,"Towards Multi-Document Question Answering in Scientific Literature: Pipeline, Dataset, and Evaluation","Hui Huang, Julien Velcin, Yacine Kessaci",https://aclanthology.org/2025.findings-emnlp.576/,https://aclanthology.org/2025.findings-emnlp.576.pdf,2025.findings-emnlp.576,4_TextDoc_RAG_Retrieval
Dataset,Findings,Sequence Structure Aware Retriever for Procedural Document Retrieval: A New Dataset and Baseline,"Zhenqi Ye, HaoPeng Ren, Yi Cai, Qingbao Huang, Jing Qin, Pinli Zhu, Songwen Gong",https://aclanthology.org/2025.findings-emnlp.223/,https://aclanthology.org/2025.findings-emnlp.223.pdf,2025.findings-emnlp.223,4_TextDoc_RAG_Retrieval
Method,Main,SAKI-RAG: Mitigating Context Fragmentation in Long-Document RAG via Sentence-level Attention Knowledge Integration,"Wenyu Tao, Xiaofen Xing, Zeliang Li, Xiangmin Xu",https://aclanthology.org/2025.emnlp-main.63/,https://aclanthology.org/2025.emnlp-main.63.pdf,2025.emnlp-main.63,4_TextDoc_RAG_Retrieval
Method,Findings,"More Documents, Same Length: Isolating the Challenge of Multiple Documents in RAG","Shahar Levy, Nir Mazor, Lihi Shalmon, Michael Hassid, Gabriel Stanovsky",https://aclanthology.org/2025.findings-emnlp.1064/,https://aclanthology.org/2025.findings-emnlp.1064.pdf,2025.findings-emnlp.1064,4_TextDoc_RAG_Retrieval
Method,Industry,LLM-Based Dialogue Labeling for Multiturn Adaptive RAG,"Zhiyu Chen, Biancen Xie, Sidarth Srinivasan, Manikandarajan Ramanathan, Rajashekar Maragoud, Qun Liu",https://aclanthology.org/2025.emnlp-industry.72/,https://aclanthology.org/2025.emnlp-industry.72.pdf,2025.emnlp-industry.72,4_TextDoc_RAG_Retrieval
