Type,Track,Title,Authors,Paper_Link,PDF_Link,Anthology_ID,Category
Method,Findings,ChuLo: Chunk-Level Key Information Representation for Long Document Understanding,"Yan Li, Caren Han, Yue Dai, Feiqi Cao",https://aclanthology.org/2025.findings-acl.762/,https://aclanthology.org/2025.findings-acl.762.pdf,2025.findings-acl.762,1_Core_VDU_DocRAG
Method,Findings,M^{2}-TabFact: Multi-Document Multi-Modal Fact Verification with Visual and Textual Representations of Tabular Data,"Mingyang Zhou, Lingyu Zhang, Sophia Horng, Maximillian Chen, Kung-Hsiang Huang, Shih-Fu Chang",https://aclanthology.org/2025.findings-acl.1345/,https://aclanthology.org/2025.findings-acl.1345.pdf,2025.findings-acl.1345,1_Core_VDU_DocRAG
Method,Findings,Harnessing PDF Data for Improving Japanese Large Multimodal Models,"Jeonghun Baek, Akiko Aizawa, Kiyoharu Aizawa",https://aclanthology.org/2025.findings-acl.108/,https://aclanthology.org/2025.findings-acl.108.pdf,2025.findings-acl.108,1_Core_VDU_DocRAG
Dataset,Findings,READoc: A Unified Benchmark for Realistic Document Structured Extraction,"Zichao Li, Aizier Abulaiti, Yaojie Lu, Xuanang Chen, Jia Zheng, Hongyu Lin, Xianpei Han, Shanshan Jiang, Bin Dong, Le Sun",https://aclanthology.org/2025.findings-acl.1128/,https://aclanthology.org/2025.findings-acl.1128.pdf,2025.findings-acl.1128,2_DocParsing_OCR_KIE
Dataset,Findings,Dolphin: Document Image Parsing via Heterogeneous Anchor Prompting,"Hao Feng, Shu Wei, Xiang Fei, Wei Shi, Yingdong Han, Lei Liao, Jinghui Lu, Binghong Wu, Qi Liu, Chunhui Lin, Jingqun Tang, Hao Liu, Can Huang",https://aclanthology.org/2025.findings-acl.1130/,https://aclanthology.org/2025.findings-acl.1130.pdf,2025.findings-acl.1130,2_DocParsing_OCR_KIE
Dataset,Findings,KITAB-Bench: A Comprehensive Multi-Domain Benchmark for Arabic OCR and Document Understanding,"Ahmed Heakl, Muhammad Abdullah Sohail, Mukul Ranjan, Rania Elbadry, Ghazi Shazan Ahmad, Mohamed El-Geish, Omar Maher, Zhiqiang Shen, Fahad Shahbaz Khan, Salman Khan",https://aclanthology.org/2025.findings-acl.1135/,https://aclanthology.org/2025.findings-acl.1135.pdf,2025.findings-acl.1135,2_DocParsing_OCR_KIE
Dataset,Findings,STEM-POM: Evaluating Language Models Math-Symbol Reasoning in Document Parsing,"Jiaru Zou, Qing Wang, Pratyush Thakur, Nickvash Kani",https://aclanthology.org/2025.findings-acl.429/,https://aclanthology.org/2025.findings-acl.429.pdf,2025.findings-acl.429,2_DocParsing_OCR_KIE
Dataset,Main - Long,Reviving Cultural Heritage: A Novel Approach for Comprehensive Historical Document Restoration,"Yuyi Zhang, Peirong Zhang, Zhenhua Yang, Pengyu Yan, Yongxin Shi, Pengwei Liu, Fengjun Guo, Lianwen Jin",https://aclanthology.org/2025.acl-long.1402/,https://aclanthology.org/2025.acl-long.1402.pdf,2025.acl-long.1402,2_DocParsing_OCR_KIE
Dataset,Findings,P²Net: Parallel Pointer-based Network for Key Information Extraction with Complex Layouts,"Kaiwen Wei, Jie Yao, Jiang Zhong, Yangyang Kang, Jingyuan Zhang, Changlong Sun, Xin Zhang, Fengmao Lv, Li Jin",https://aclanthology.org/2025.findings-acl.552/,https://aclanthology.org/2025.findings-acl.552.pdf,2025.findings-acl.552,2_DocParsing_OCR_KIE
Method,Findings,DocFusion: A Unified Framework for Document Parsing Tasks,"Mingxu Chai, Ziyu Shen, Chong Zhang, Yue Zhang, Xiao Wang, Shihan Dou, Jihua Kang, Jiazheng Zhang, Qi Zhang",https://aclanthology.org/2025.findings-acl.393/,https://aclanthology.org/2025.findings-acl.393.pdf,2025.findings-acl.393,2_DocParsing_OCR_KIE
