Type,Vol_Issue,Published,Title,Authors,Pages,DOI,Paper_Link,Category
Dataset,48(1),2026-1,"M$^{3}$3D: A Multimodal, Multilingual and Multitask Dataset for Grounded Document-Level Information Extraction","Jiang Liu, Bobo Li, Xinran Yang, Na Yang, Hao Fei, Mingyao Zhang, Fei Li, Donghong Ji",807-823,10.1109/tpami.2025.3609288,https://doi.org/10.1109/tpami.2025.3609288,1_Core_VDU_Doc
Dataset,48(5),2026-5,TextMonkey: An OCR-Free Large Multimodal Model for Understanding Document,"Yuliang Liu, Biao Yang, Qiang Liu, Zhang Li, Zhiyin Ma, Shuo Zhang, Xiang Bai",6008-6019,10.1109/tpami.2026.3653415,https://doi.org/10.1109/tpami.2026.3653415,1_Core_VDU_Doc
Dataset,Early Access,2026,"Bridging the Gap in Exam Handwritten Text Recognition: Dataset, Benchmark, and Modeling","Runrui Li, Lin Zhu, Hua Huang",1-18,10.1109/tpami.2026.3721731,https://doi.org/10.1109/tpami.2026.3721731,1_Core_VDU_Doc
Dataset,48(1),2026-1,GAN-Based Domain Adaptation for Image-Aware Layout Generation in Advertising Poster Design,"Chenchen Xu, Min Zhou, Tiezheng Ge, Weiwei Xu",184-201,10.1109/tpami.2025.3602846,https://doi.org/10.1109/tpami.2025.3602846,1_Core_VDU_Doc
Method,48(8),2026-8,OmniParser V2: Structured-Points-of-Thought for Unified Visual Text Parsing and Its Generality to Multimodal Large Language Models,"Wenwen Yu, Zhibo Yang, Jianqiang Wan, Sibo Song, Jun Tang, Wenqing Cheng, Yuliang Liu, Xiang Bai",9210-9227,10.1109/tpami.2026.3677075,https://doi.org/10.1109/tpami.2026.3677075,1_Core_VDU_Doc
Method,48(7),2026-7,"StructChart: On the Schema, Metric, and Augmentation for Visual Chart Understanding","Renqiu Xia, Haoyang Peng, Hancheng Ye, Mingsheng Li, Xiangchao Yan, Peng Ye, Botian Shi, Yu Qiao, Junchi Yan, Bo Zhang",8044-8059,10.1109/tpami.2026.3669664,https://doi.org/10.1109/tpami.2026.3669664,1_Core_VDU_Doc
Method,48(4),2026-4,Handwritten Text Recognition: A Survey,"Carlos Garrido-Munoz, Antonio Rios-Vila, Jorge Calvo-Zaragoza",4367-4387,10.1109/tpami.2025.3646002,https://doi.org/10.1109/tpami.2025.3646002,1_Core_VDU_Doc
Method,48(5),2026-5,Beyond LLaVA-HD: Diving Into High-Resolution Multimodal Large Language Models,"YiFan Zhang, Qingsong Wen, Chaoyou Fu, Kun Wang, Xue Wang, Zhang Zhang, Liang Wang, Rong Jin",5493-5504,10.1109/tpami.2026.3650761,https://doi.org/10.1109/tpami.2026.3650761,1_Core_VDU_Doc
Method,48(10),2026-10,Revisiting InternVL: A Systematic Technical Framework for Building Powerful Open-Source Vision-Language Models,"Zhe Chen, Weiyun Wang, Jinguo Zhu, Wenhai Wang, Yangzhou Liu, Zhaoyang Liu, Gen Luo, Peng Sun, Weijie Su, Hao Tian, Lewei Lu, Xizhou Zhu, Tong Lu, Dahua Lin, Yu Qiao, Jifeng Dai",12582-12600,10.1109/tpami.2026.3702168,https://doi.org/10.1109/tpami.2026.3702168,1_Core_VDU_Doc
Method,48(4),2026-4,LFSRM: Few-Shot Diagram-Sentence Matching via Local-Feedback Self-Regulating Memory,"Lingling Zhang, Wenjun Wu, Jun Liu, Xiaojun Chang, Xin Hu, Xuan Luo, Yaqiang Wu, Qinghua Zheng",3939-3951,10.1109/tpami.2025.3528723,https://doi.org/10.1109/tpami.2025.3528723,1_Core_VDU_Doc
Method,Early Access,2026,Recurrence Meets Transformers for Universal Multimodal Retrieval,"Davide Caffagni, Sara Sarto, Marcella Cornia, Lorenzo Baraldi, Rita Cucchiara",1-16,10.1109/tpami.2026.3729293,https://doi.org/10.1109/tpami.2026.3729293,2_MM_Retrieval_RAG
Method,48(6),2026-6,Distribution-to-Points Matching for Image Text Retrieval,"Zheng Wang, Xing Xu, Lei Zhu, Jingkuan Song, Yang Yang, Heng Tao Shen",7097-7111,10.1109/tpami.2026.3664613,https://doi.org/10.1109/tpami.2026.3664613,2_MM_Retrieval_RAG
Method,48(3),2026-3,Dynamic Bit-Wise Semantic Transformer Hashing for Multi-Modal Retrieval,"Wentao Tan, Fengling Li, Lei Zhu, Weili Guan, Jingjing Li, Zhiyong Cheng, Heng Tao Shen",2954-2969,10.1109/tpami.2025.3630209,https://doi.org/10.1109/tpami.2025.3630209,2_MM_Retrieval_RAG
Method,Early Access,2026,Toward Robust and Harmonious Adaptation for Cross-modal Retrieval,"Haobin Li, Zhuqi Liu, Mouxing Yang, Xi Peng",1-13,10.1109/tpami.2026.3729221,https://doi.org/10.1109/tpami.2026.3729221,2_MM_Retrieval_RAG
Method,48(7),2026-7,Reason-Align-Respond: Aligning LLM Reasoning With Knowledge Graphs for KGQA,"Xiangqing Shen, Fanfan Wang, Zinong Yang, Bing Wang, Wenli Du, Chengqing Zong, Rui Xia",7340-7353,10.1109/tpami.2026.3665645,https://doi.org/10.1109/tpami.2026.3665645,2_MM_Retrieval_RAG
Method,48(8),2026-8,Dream to Recall: Imagination-Guided Experience Retrieval for Memory-Persistent Vision-and-Language Navigation,"Yunzhe Xu, Yiyuan Pan, Zhe Liu",9035-9049,10.1109/tpami.2026.3679426,https://doi.org/10.1109/tpami.2026.3679426,2_MM_Retrieval_RAG
Method,Early Access,2026,Pattern in Motion: Retrieval-Augmented Learning for Dynamic Spatio-Temporal Graphs,"Haoyu Zhang, Xinke Jiang, Wentao Zhang, Yuchen Fang, Hao Miao, Yifan Zhang, Heqing Huang",1-18,10.1109/tpami.2026.3728522,https://doi.org/10.1109/tpami.2026.3728522,2_MM_Retrieval_RAG
