Type,Vol,Published,Title,Authors,DOI,Paper_Link,Has_Abstract,Category
Method,157,2025-1,LORE++: Logical location regression network for table structure recognition with pre-training,"Rujiao Long, Hangdi Xing, Zhibo Yang, Qi Zheng, Zhi Yu, Fei Huang, Cong Yao",10.1016/j.patcog.2024.110816,https://doi.org/10.1016/j.patcog.2024.110816,NO,1_Core_Doc_VDU
Method,157,2025-1,Kyrtos: A methodology for automatic deep analysis of graphic charts with curves in technical documents,"Michail S. Alexiou, Nikolaos G. Bourbakis",10.1016/j.patcog.2024.110930,https://doi.org/10.1016/j.patcog.2024.110930,NO,1_Core_Doc_VDU
Method,165,2025-9,UniHDSA: A unified relation prediction approach for hierarchical document structure analysis,"Jiawei Wang, Kai Hu, Qiang Huo",10.1016/j.patcog.2025.111617,https://doi.org/10.1016/j.patcog.2025.111617,NO,1_Core_Doc_VDU
Method,165,2025-9,Generative compositor for few-shot visual information extraction,"Zhibo Yang, Wei Hua, Sibo Song, Cong Yao, Yingying Zhu, Wenqing Cheng, Xiang Bai",10.1016/j.patcog.2025.111624,https://doi.org/10.1016/j.patcog.2025.111624,yes,1_Core_Doc_VDU
Method,162,2025-6,Enhancing textual textbook question answering with large language models and retrieval augmented generation,"Hessa A. Alawwad, Areej Alhothali, Usman Naseem, Ali Alkhathlan, Amani Jamal",10.1016/j.patcog.2024.111332,https://doi.org/10.1016/j.patcog.2024.111332,NO,1_Core_Doc_VDU
Method,165,2025-9,Hierarchy-Based Diagram-Sentence Matching on Dual-Modal Graphs,"Wenjun Wu, Lingling Zhang, Jun Liu, Ming Ren, Xin Hu, Jiaxin Wang, Qianying Wang",10.1016/j.patcog.2025.111556,https://doi.org/10.1016/j.patcog.2025.111556,NO,1_Core_Doc_VDU
Method,164,2025-8,DEVICE: Depth and Visual Concepts Aware Transformer for OCR-based image captioning,"Dongsheng Xu, Qingbao Huang, Xingmao Zhang, Haonan Cheng, Feng Shuang, Yi Cai",10.1016/j.patcog.2025.111522,https://doi.org/10.1016/j.patcog.2025.111522,NO,1_Core_Doc_VDU
Dataset,167,2025-11,MegaHan97K: A large-scale dataset for mega-category Chinese character recognition with over 97K categories,"Yuyi Zhang, Yongxin Shi, Peirong Zhang, Yixin Zhao, Zhenhua Yang, Lianwen Jin",10.1016/j.patcog.2025.111757,https://doi.org/10.1016/j.patcog.2025.111757,NO,2_OCR_HTR_SceneText
Dataset,157,2025-1,CompNET: Boosting image recognition and writer identification via complementary neural network post-processing,"Bocheng Zhao, Xuan Cao, Wenxing Zhang, Xujie Liu, Qiguang Miao, Yunan Li",10.1016/j.patcog.2024.110880,https://doi.org/10.1016/j.patcog.2024.110880,yes,2_OCR_HTR_SceneText
Method,157,2025-1,FINet: Handwriting trajectory reconstruction of Chinese characters based on the font imitate network,"Yuanping Zhu, Shengnan Li, Hui Wang, Feilong Wei",10.1016/j.patcog.2024.110949,https://doi.org/10.1016/j.patcog.2024.110949,yes,2_OCR_HTR_SceneText
