Type,Vol_Issue,Published,Title,Authors,DOI,Paper_Link,Category
Method,Online First,2026-6-15,LayoutGAT: layout-aware handwritten text recognition with graph attention networks,"ZhengDong Hou, Yushi Ren, Zhibo Ding",10.1007/s10032-026-00600-x,https://doi.org/10.1007/s10032-026-00600-x,2_OCR_HTR_SceneText
Method,Online First,2026-6-30,APAU-Net: Adaptive prior-aware U-Net for handwritten text-line segmentation in historical documents,"Mohamed Amine Beghoura, Abdelouahab Attia, Abderraouf Bouziane, M. Hassaballah",10.1007/s10032-026-00599-1,https://doi.org/10.1007/s10032-026-00599-1,2_OCR_HTR_SceneText
Method,Online First,2026-7-26,Handwritten Text Recognition for Historical Latin Manuscripts via Model Adaptation and Synthetic Data Augmentation,"Maria Mihaela Trusca, Mark Depauw, Margherita Fantoli, Violet Soen, Ine de Daele, Kevin Verbruggen, Tim Van de Cruys",10.1007/s10032-026-00605-6,https://doi.org/10.1007/s10032-026-00605-6,2_OCR_HTR_SceneText
Method,Online First,2026-7-27,MoCoMER-V2: mask & match for self-supervised attention to recognize handwritten math expression,"Sandip Pramanik, Shree Mitra, Ritabrata Chakraborty, Nibaran Das",10.1007/s10032-026-00610-9,https://doi.org/10.1007/s10032-026-00610-9,2_OCR_HTR_SceneText
Method,Online First,2026-7-27,Adversarial Optical Character Recognition to Protect Character Content: A Universal Adversarial Image Generation Scheme,"Zigang Chen, Yingrong Liu, Deyang Xie, Zhangqi Wang, Dongfeng Yuan, Haihua Zhu",10.1007/s10032-026-00608-3,https://doi.org/10.1007/s10032-026-00608-3,2_OCR_HTR_SceneText
Method,Online First,2026-7-28,From pixels to strokes: A survey on generative handwriting,"Prajakta Joshi, Yash Madhukar Patil, Saptarshi Saha, David Doermann",10.1007/s10032-026-00609-2,https://doi.org/10.1007/s10032-026-00609-2,2_OCR_HTR_SceneText
Method,Online First,2026-8-10,Connector and multi-level adapter based approach for scene text detection and recognition,"Hai-Sheng Li, Qiuyi Li, Shuxiang Song, Cong Hu, Xiaohu Tang",10.1007/s10032-026-00616-3,https://doi.org/10.1007/s10032-026-00616-3,2_OCR_HTR_SceneText
Method,Online First,2026-9-1,Trace the scribbles: a text restoration and artifact correction network for child handwriting enhancement,"Sumi Suresh Mini Suresh, Sahana Rangasrinivasan, Abbie Olszewski, Srirangaraj Setlur, Venu Govindaraju",10.1007/s10032-026-00618-1,https://doi.org/10.1007/s10032-026-00618-1,2_OCR_HTR_SceneText
Method,Online First,2026-5-20,Reviving medieval byzantine seals: a synthetic-to-real approach to character recognition,"Gianluca Dalmasso, Patric Reineri, Mathieu Pscherer Noel, Ninon Achard, Beatrice Caseau, Laurence Likforman Sulem, Davide Cavagnino, Maurizio Lucenteforte, Attilio Fiandrotti, Victoria Eyharabide",10.1007/s10032-026-00579-5,https://doi.org/10.1007/s10032-026-00579-5,2_OCR_HTR_SceneText
Method,Online First,2026-4-26,HQ-Font: Few-shot Font Generation via Transferring Hierarchical Quantization Styles,"Anna Zhu, Wei Pan, Guan Li, Hongyi Cai, Brian Iwana Kenji",10.1007/s10032-026-00580-y,https://doi.org/10.1007/s10032-026-00580-y,2_OCR_HTR_SceneText
Method,29(2),2026-1-4,Comic character recognition using graph embedding in graph representations,"Nadeem Iqbal Kajla, Malik Muhammad Saad Missen, Maruf Pasha, Mickael Coustaty, Muhammad Muzzamil Luqman, Faiza Belbachir, Maria Mushtaq",10.1007/s10032-025-00568-0,https://doi.org/10.1007/s10032-025-00568-0,2_OCR_HTR_SceneText
Method,29(2),2026-3-28,Full-page recognition and alignment of historical musical documents,"Manuel Villarreal, Joan Andreu Sánchez, Daniel Parres",10.1007/s10032-026-00574-w,https://doi.org/10.1007/s10032-026-00574-w,2_OCR_HTR_SceneText
Method,29(2),2026-4-16,DR-SigAttack: distribution-relevant signature attack withstands defense mechanisms for offline signature verification,"Wei Jia, Lidong Zheng, Jiaen Chen, Mingjian Zhang, Da Wu, Yuchen Zheng",10.1007/s10032-026-00576-8,https://doi.org/10.1007/s10032-026-00576-8,3_Signature_Writer
Method,Online First,2026-6-11,Query-free universal black-box (QF-UBB) attacks against Siamese signature verification systems with Bayesian dictionary learning,"Maham Jahangir, Muhammad Riaz-ud-din, Faisal Shafait, Muahammad Imran Malik",10.1007/s10032-026-00598-2,https://doi.org/10.1007/s10032-026-00598-2,3_Signature_Writer
Method,Online First,2026-7-2,Different strokes for different folks: writer identification for historical Arabic manuscripts,"Hamza A. Abushahla, Ariel Justine N. Panopio, Layth Al-Khairulla, Mohamed I. AlHajri",10.1007/s10032-026-00596-4,https://doi.org/10.1007/s10032-026-00596-4,3_Signature_Writer
Method,Online First,2026-8-16,Leveraging principal component analysis and machine learning on hyperspectral images band-fusion for writer identification,"Muhammad Moin Qasim, Saeed Mian Qaisar, Khurram Khurshid",10.1007/s10032-026-00617-2,https://doi.org/10.1007/s10032-026-00617-2,3_Signature_Writer
Method,Online First,2026-5-20,Automatic uncertainty-aware synthetic data bootstrapping for historical map segmentation,"Lukas Arzoumanidis, Julius Knechtel, Jan-Henrik Haunert, Youness Dehbi",10.1007/s10032-026-00582-w,https://doi.org/10.1007/s10032-026-00582-w,4_Other
Method,Online First,2026-8-10,Structure-centric representation learning for fine-grained sketch-based image retrieval,"Mohammed A. S. Al-mohamadi, C. J. Prabhakar",10.1007/s10032-026-00614-5,https://doi.org/10.1007/s10032-026-00614-5,4_Other
