Type,Vol,Published,Title,Authors,DOI,Paper_Link,Has_Abstract,Category
Method,180,2026-12,Two-stage decomposition network for handwritten Chinese character error correction,"Pengfei Hu, Zhenrong Zhang, Jiefeng Ma, Jun Du, Jianshu Zhang, Jianqing Gao, Feng Ma, Qingfeng Liu",10.1016/j.patcog.2026.114464,https://doi.org/10.1016/j.patcog.2026.114464,NO,2_OCR_HTR_SceneText
Method,172,2026-4,A text-only weakly supervised learning framework for text spotting via text-to-polygon generator,"Gege Zhang, Zhiyong Gan, Ling Deng, Shuaicheng Niu, Zhenghua Peng, Gang Dai, Shuangping Huang, Xiangmin Xu",10.1016/j.patcog.2025.112408,https://doi.org/10.1016/j.patcog.2025.112408,NO,2_OCR_HTR_SceneText
Method,172,2026-4,Preserving privacy without compromising accuracy: Machine unlearning for handwritten text recognition,"Lei Kang, Xuanshuo Fu, Lluis Gomez, Alicia Fornés, Ernest Valveny, Dimosthenis Karatzas",10.1016/j.patcog.2025.112411,https://doi.org/10.1016/j.patcog.2025.112411,yes,2_OCR_HTR_SceneText
Method,172,2026-4,Supervised learning for low-resource isolated glyph recognition in palm leaf manuscripts,"Erick Paulus, Jean-Christophe Burie, Fons J. Verbeek",10.1016/j.patcog.2025.112616,https://doi.org/10.1016/j.patcog.2025.112616,yes,2_OCR_HTR_SceneText
Method,173,2026-5,Push the limit of scene text recognition using character and text length guided text super-resolution,"Jiangtao Nie, Boxiong Wu, Wenyu Peng, Wei Wei, Lei Zhang, Chen Ding, Yanning Zhang",10.1016/j.patcog.2025.112869,https://doi.org/10.1016/j.patcog.2025.112869,NO,2_OCR_HTR_SceneText
Method,175,2026-7,Prompt-guided selective frequency network for real-world scene text image super-Resolution,"Xiang Yan, Tianqi Shan, Hanlin Qin, Naveed Akhtar, Yu Liu, Hossein Rahmani, Ajmal Mian",10.1016/j.patcog.2025.112974,https://doi.org/10.1016/j.patcog.2025.112974,yes,2_OCR_HTR_SceneText
Method,180,2026-12,LOG: Local Feature-Guided Global Linguistic Sequence Reconstruction for Chinese Scene Text Recognition,"Qiuyi Xin, Chu Zhang, Qing Lang, Xiaoping Wu, Jiabin Ye, Lianwen Jin, Hengnian Qi",10.1016/j.patcog.2026.114431,https://doi.org/10.1016/j.patcog.2026.114431,NO,2_OCR_HTR_SceneText
Method,177,2026-9,RISEN: Incremental multilingual text recognition by sharing and fusing cross-language knowledge,"Zi-Xin Li, Xiao-Qian Liu, Tai Zheng, Zhen-Duo Chen, Xin Luo, Xin-Shun Xu",10.1016/j.patcog.2026.113299,https://doi.org/10.1016/j.patcog.2026.113299,NO,2_OCR_HTR_SceneText
Method,177,2026-9,Contextual stroke classification in online handwritten documents with auto clustering pooling method,"Hongxing Peng, Muwu Yao, Xingyu Long, Yanlin Luo, Qijun Liang, Jinhui Pan, Zhanhao Gu, Haopei Xie, Yan Chen",10.1016/j.patcog.2026.113356,https://doi.org/10.1016/j.patcog.2026.113356,NO,2_OCR_HTR_SceneText
Method,177,2026-9,Meta-DAN: Towards an efficient prediction strategy for page-level handwritten text recognition,Denis Coquenet,10.1016/j.patcog.2026.113373,https://doi.org/10.1016/j.patcog.2026.113373,yes,2_OCR_HTR_SceneText
Method,179,2026-11,SAGE-networks: Shape-aware geometric embeddings for writer re-identification in historical manuscripts,"Alessio Fagioli, Nicola Follador, Marco Cascio, Emanuela Colombi, Gian Luca Foresti",10.1016/j.patcog.2026.113551,https://doi.org/10.1016/j.patcog.2026.113551,NO,2_OCR_HTR_SceneText
