Type,Sub-category,Vol,Title,Authors,Pages,DOI,Paper_Link,Has_Abstract,Category
Method,Paper,V.2 (Cycle 2),MCoRe: Multi-Entry Complementary Retrieval with Reflection-Guided Iteration for Multi-Hop QA,"Juxiang Zeng, Zhuohui Gao, Zhe Hou, Pinghui Wang, Guangmingzi Yang, Zehua Lei, Tao Duan, Jing Tao",6397-6408,10.1145/3770855.3818043,https://doi.org/10.1145/3770855.3818043,yes,4_Text_Graph_RAG
Method,Paper,V.2 (Cycle 2),BRIDGE: Block-Wise Speculative Coordination for Cloud-Edge Retrieval-Augmented Generation,"Yuting Li, Shaoyuan Huang, Xiangqi Liu, Yunfeng Zhao, Xiaofei Wang",2885-2896,10.1145/3770855.3818064,https://doi.org/10.1145/3770855.3818064,yes,4_Text_Graph_RAG
Method,Paper,V.2 (Cycle 2),MemGraphRAG: Memory-based Multi-Agent System for Graph Retrieval-Augmented Generation,"Chuanjie Wu, Zhishang Xiang, Yunbo Tang, Zerui Chen, Qinggang Zhang, Jinsong Su",5407-5418,10.1145/3770855.3818074,https://doi.org/10.1145/3770855.3818074,yes,4_Text_Graph_RAG
Method,Paper,V.1 (Cycle 1),Towards Self-cognitive Exploration: Metacognitive Knowledge Graph Retrieval Augmented Generation,"Xujie Yuan, Shimin Di, Jielong Tang, Libin Zheng, Jian Yin",1844-1855,10.1145/3770854.3780156,https://doi.org/10.1145/3770854.3780156,NO,4_Text_Graph_RAG
Method,Paper,V.1 (Cycle 1),EmoRAG: Evaluating RAG Robustness to Symbolic Perturbations,"Xinyun Zhou, Xinfeng Li, Yinan Peng, Ming Xu, Xuanwang Zhang, Miao Yu, Yidong Wang, Xiaojun Jia, Kun Wang, Qingsong Wen, XiaoFeng Wang, Wei Dong",2100-2111,10.1145/3770854.3780238,https://doi.org/10.1145/3770854.3780238,yes,4_Text_Graph_RAG
Method,Paper,V.2 (Cycle 2),When Hard Negatives Hurt: Bridging the Generative Discriminative Gap in Hard Negative Synthesis for Retrieval,"Zhicheng Zhang, Jiwei Tang, Kuicai Dong, Xiaopeng Li, Jieming Zhu, Jingyu Li, Qianhui Zhu, Fengyuan Lu, Wang Jiaheng, Gang Wang, Hai-Tao Zheng, Zhaocheng Du",6688-6699,10.1145/3770855.3818118,https://doi.org/10.1145/3770855.3818118,yes,4_Text_Graph_RAG
Method,Paper,V.2 (Cycle 2),Training Dense Retrievers with Multiple Positive Passages,"Benben Wang, Minghao Tang, Hengran Zhang, Jiafeng Guo, Keping Bi",4766-4777,10.1145/3770855.3818053,https://doi.org/10.1145/3770855.3818053,yes,4_Text_Graph_RAG
Method,Paper,V.2 (Cycle 2),CoRank: LLM-Based Compact Reranking with Document Features for Scientific Retrieval,"Runchu Tian, Xueqiang Xu, Bowen Jin, SeongKu Kang, Jiawei Han",12114-12125,10.1145/3770855.3818844,https://doi.org/10.1145/3770855.3818844,yes,4_Text_Graph_RAG
Method,Paper,V.2 (Cycle 2),Stationarity-Aware Retrieval-Augmented Time Series Forecasting,"Shiqiao Zhou, Holger Schöner, Zipeng Wu, Edouard Fouché, IAG Wilson, Shuo Wang",6875-6886,10.1145/3770855.3817813,https://doi.org/10.1145/3770855.3817813,yes,4_Text_Graph_RAG
Method,Tutorial,V.2 (Cycle 2),A Tutorial on Retrieval-Augmented Generation for LLM-based Recommender Systems,"Sunwoo Kim, Geon Lee, Kyungho Kim, Liam Collins, Neil Shah, Kijung Shin",13339-13342,10.1145/3770855.3816447,https://doi.org/10.1145/3770855.3816447,NO,4_Text_Graph_RAG
Method,Tutorial,V.2 (Cycle 2),Retrieval-Augmented Generation (RAG)— From Modular to Agentic Systems,"Xin Luna Dong, Sanat Sharma, Kai Sun, Jiaqi Wang, Yinglong Xia, Xiao Yang, Scott Wen-tau Yih, Franklin Zhang",13308-13313,10.1145/3770855.3816460,https://doi.org/10.1145/3770855.3816460,yes,4_Text_Graph_RAG
Method,Tutorial,V.2 (Cycle 2),"Structure Shapes the Future of DataxLLM Systems: Retrieval, Structuring, and Reasoning","Pengcheng Jiang, Jiashuo Sun, Wonbin Kweon, Jiawei Han",13334-13338,10.1145/3770855.3816461,https://doi.org/10.1145/3770855.3816461,yes,4_Text_Graph_RAG
Method,-,V.2 (Cycle 2),HierKV: A Coarse-to-Fine Approach with Vision-Aware Banzhaf Values for Multi-Modal KV Cache Compression,"Zeyi Lu, Jinpeng Wang, Yan Feng, Bin Chen, Jiawei Li, Yaowei Wang, Shu-Tao Xia",3448-3457,10.1145/3770855.3817663,https://doi.org/10.1145/3770855.3817663,yes,5_Efficiency_MM
Method,-,V.2 (Cycle 2),MMSep: Efficient Multimodal Long-Generation Reasoning via Multimodal Separator Compression,"Mingjie Ma, Yichao Ma, Jiannan Cao, Changhong Li, Chuhang Hong, Zhong Yang, Guohui Li",3621-3630,10.1145/3770855.3817821,https://doi.org/10.1145/3770855.3817821,NO,5_Efficiency_MM
Dataset,-,V.2 (Cycle 2),Passing the Turing Test on Screen: A Benchmark for Mobile GUI Agent Humanization,"Jiachen Zhu, Lingyu Yang, Rong Shan, Congmin Zheng, Zeyu Zheng, Weiwen Liu, Yong Yu, Weinan Zhang, Jianghao Lin",10360-10371,10.1145/3770855.3817471,https://doi.org/10.1145/3770855.3817471,yes,6_GUI_Web_adjacent
Dataset,-,V.1 (Cycle 1),GUI-Robust: A Comprehensive Dataset for Testing GUI Agent Robustness in Real-World Anomalies,"Jingqi Yang, Zhilong Song, Jiawei Chen, Mingli Song, Sheng Zhou, Linjun Sun, Xiaogang Ouyang, Chun Chen, Can Wang",2842-2853,10.1145/3770854.3785695,https://doi.org/10.1145/3770854.3785695,yes,6_GUI_Web_adjacent
Dataset,-,V.2 (Cycle 2),ProductWebGen: Benchmarking Multimodal Product Webpage Generation,"Zhihong Liu, Siqi Kou, Zheng Li, Ye Ma, Quan Chen, Peng Jiang, Kai Yu, Zhijie Deng",9462-9473,10.1145/3770855.3817507,https://doi.org/10.1145/3770855.3817507,yes,6_GUI_Web_adjacent
Dataset,-,V.2 (Cycle 2),WebGen-V Bench: Structured Representation for Enhancing Visual Design in LLM-based Web Generation and Evaluation,"Kuang-Da Wang, Zhao Wang, Wei-Yao Wang, Yotaro Shimose, Shingo Takamatsu",9927-9938,10.1145/3770855.3817486,https://doi.org/10.1145/3770855.3817486,yes,6_GUI_Web_adjacent
