Sub-category,Vol,Title,Authors,DOI,Paper_Link,Category
Document image,262.0,DiffuseDoc: Document geometric rectification via diffusion model,"Wenfei Xiong, Huabing Zhou, Yanduo Zhang, Tao Lu, Jiayi Ma",10.1016/j.cviu.2025.104554,https://doi.org/10.1016/j.cviu.2025.104554,TOP_related
Scene text,250.0,Enhancing scene text detectors with realistic text image synthesis using diffusion models,"Ling Fu, Zijie Wu, Yingying Zhu, Yuliang Liu, Xiang Bai",10.1016/j.cviu.2024.104224,https://doi.org/10.1016/j.cviu.2024.104224,TOP_related
