Type,Track,Decision,Title,Authors,Topic,Paper_Link,PDF_Link,Category
Method,Main,Accept (regular),Optimizing Agentic Reasoning with Retrieval via Synthetic Semantic Information Gain Reward,"Senkang Hu, Yong Dai, Yuzhi Zhao, Yihang Tao, Yu Guo, Zhengru Fang, Sam Kwong, Yuguang Fang",Deep Learning->Large Language Models,https://openreview.net/forum?id=mUU7k4bN97,https://openreview.net/pdf?id=mUU7k4bN97,6_Text_Graph_RAG
Method,Main,Accept (regular),"Reranker Helps, but Not Enough: Towards Strong Poisoning Attacks Against Retrieval-Augmented Generation","Xiaokun Yang, Jian Liang, Yesheng Liu, Xin Xiong, Ran He, Tieniu Tan",Social Aspects->Safety,https://openreview.net/forum?id=Y54eyjHFqJ,https://openreview.net/pdf?id=Y54eyjHFqJ,6_Text_Graph_RAG
Method,Main,Accept (regular),Rethinking the Reranker: Boundary-Aware Evidence Selection for Robust Retrieval-Augmented Generation,"Jiashuo Sun, Pengcheng Jiang, Saizhuo Wang, Jiajun Fan, Heng Wang, Siru Ouyang, Ming Zhong, Yizhu Jiao, Chengsong Huang, Xueqiang Xu, Pengrui Han, Peiran Li, Jiaxin Huang, Ge Liu, Heng Ji, Jiawei Han","Applications->Language, Speech and Dialog",https://openreview.net/forum?id=Tt8lCe1NrW,https://openreview.net/pdf?id=Tt8lCe1NrW,6_Text_Graph_RAG
Method,Main,Accept (regular),Retriever Portfolios: A Principled Approach to Adaptive RAG,"Miltiadis Stouras, Vincent Cohen-Addad, Silvio Lattanzi, Ola Svensson",Deep Learning->Large Language Models,https://openreview.net/forum?id=NyGHaciFrK,https://openreview.net/pdf?id=NyGHaciFrK,6_Text_Graph_RAG
Method,Main,Accept (regular),LazyAttention: Efficient Retrieval-Augmented Generation with Deferred Positional Encoding,"Haocheng Xia, Mihir Pamnani, Hanxi Fang, Supawit Chockchowwat, Yongjoo Park",Deep Learning->Large Language Models,https://openreview.net/forum?id=M9kHwqreN9,https://openreview.net/pdf?id=M9kHwqreN9,6_Text_Graph_RAG
Method,Main,Accept (regular),JADE: Bridging the Strategic-Operational Gap in Dynamic Agentic RAG,"Yiqun Chen, Erhan Zhang, Tianyi Hu, Shijie Wang, Zixuan Yang, Meizhi Zhong, Xiaochi Wei, Yan Gao, YIWU, Yao Hu, Jiaxin Mao",Deep Learning->Large Language Models,https://openreview.net/forum?id=KQT6pf4Mva,https://openreview.net/pdf?id=KQT6pf4Mva,6_Text_Graph_RAG
Method,Main,Accept (regular),CiteGuard: Conformal False-Discovery Control for Faithful Retrieval-Augmented Generation,Xiangyu Jiang,General Machine Learning->Evaluation,https://openreview.net/forum?id=IXV8eAZsKc,https://openreview.net/pdf?id=IXV8eAZsKc,6_Text_Graph_RAG
Method,Main,Accept (regular),Less Is More: Elevating RAG via Performance-Driven Context Compression,"Ziqiang Cui, Yunpeng Weng, Xing Tang, Peiyang Liu, Shiwei Li, Bowei He, Jiamin Chen, Yansen Zhang, xiuqiang He, Rui Zhang, Chen Ma",Deep Learning->Large Language Models,https://openreview.net/forum?id=9LtTZQZxgd,https://openreview.net/pdf?id=9LtTZQZxgd,6_Text_Graph_RAG
Method,Main,Accept (regular),CausalRAG2: Hierarchical Causal Knowledge Graph Design for RAG,"Nengbo Wang, Tuo Liang, Vikash Singh, Chaoda Song, Van Yang, Yu Yin, Jing Ma, JAGDIP SINGH, Vipin Chaudhary",Deep Learning->Large Language Models,https://openreview.net/forum?id=F2zHYjBAEv,https://openreview.net/pdf?id=F2zHYjBAEv,6_Text_Graph_RAG
Method,Main,Accept (regular),From Retrieval to Translation: Translating Query into Graph-level Clues for Retrieval-Augmented Generation,"Qichuan Liu, Qinggang Zhang, Yuxuan Hu, Chenfeng Zheng, Zerui Chen, Chentao Zhang, Zhihong Zhang",Deep Learning->Large Language Models,https://openreview.net/forum?id=AS14E8aMmL,https://openreview.net/pdf?id=AS14E8aMmL,6_Text_Graph_RAG
Method,Main,Accept (regular),From Conflict to Consensus: Boosting Medical Reasoning via Multi-Round Agentic RAG,"Wenhao Wu, Zhentao Tang, Yafu Li, Shixiong Kai, Mingxuan Yuan, Zhenhong Sun, Chunlin Chen, Zhi Wang",Applications->Health / Medicine,https://openreview.net/forum?id=S7lpdz7NAW,https://openreview.net/pdf?id=S7lpdz7NAW,6_Text_Graph_RAG
Method,Main,Accept (regular),"Coverage, Not Averages: Semantic Stratification for Trustworthy Retrieval Evaluation","Andrew Klearman, Radu Revutchi, Rohin Garg, Rishav Chakravarti, Samuel Denton, Yuan Xue",General Machine Learning->Evaluation,https://openreview.net/forum?id=Q9LweGI2B9,https://openreview.net/pdf?id=Q9LweGI2B9,6_Text_Graph_RAG
Method,Main,Accept (spotlight),Linguistic Nepotism: Trading-off Quality for Language Preference in Multilingual RAG,"Dayeon Ki, Marine Carpuat, Paul McNamee, Daniel Khashabi, Eugene Yang, Dawn Lawrie, Kevin Duh",General Machine Learning->Evaluation,https://openreview.net/forum?id=MDfCV0UHSb,https://openreview.net/pdf?id=MDfCV0UHSb,6_Text_Graph_RAG
Method,Main,Accept (regular),Predictive Prefetching for Retrieval-Augmented Generation,"Wuyang Zhang, Shichao Pei",Deep Learning->Large Language Models,https://openreview.net/forum?id=5a321ueqgs,https://openreview.net/pdf?id=5a321ueqgs,6_Text_Graph_RAG
Method,Main,Accept (regular),Search-R2: Enhancing Search-Integrated Reasoning via Actor-Refiner Collaboration,"Bowei He, Minda Hu, Zenan Xu, Hongru WANG, Licheng Zong, Yankai Chen, Chen Ma, Xue Liu, PlutoZhou, Irwin King",Deep Learning->Large Language Models,https://openreview.net/forum?id=jZSzSI04yW,https://openreview.net/pdf?id=jZSzSI04yW,6_Text_Graph_RAG
Method,Main,Accept (regular),DTKG: Dual-Track Knowledge Graph-Verified Reasoning Framework for Multi-Hop QA,"Changhao Wang, Yanfang Liu, Xinxin Fan, Ao Tian, Lanzhi Zhou, Yunfeng Lu",Deep Learning->Large Language Models,https://openreview.net/forum?id=0dd6iMYtwB,https://openreview.net/pdf?id=0dd6iMYtwB,6_Text_Graph_RAG
Method,Main,Accept (regular),Ranking Free RAG: Replacing Re-ranking with Selection in RAG for Sensitive Domains,"Yash Saxena, Ankur Padia, Mandar Chaudhary, Kalpa Gunaratna, Srinivasan Parthasarathy, Manas Gaur","Applications->Language, Speech and Dialog",https://openreview.net/forum?id=O88FCPAPAj,https://openreview.net/pdf?id=O88FCPAPAj,6_Text_Graph_RAG
Method,Main,Accept (regular),RAG without Forgetting: Continual Query-Infused Key Memory,"Yuntong Hu, Sha Li, Naren Ramakrishnan, Liang Zhao",,https://openreview.net/forum?id=Z8svqD3pmI,https://openreview.net/pdf?id=Z8svqD3pmI,6_Text_Graph_RAG
Method,Main,Accept (regular),HypRAG: Hyperbolic Dense Retrieval for Retrieval Augmented Generation,"Hiren Madhu, Ngoc Bui, Ali Maatouk, Leandros Tassiulas, Smita Krishnaswamy, Menglin Yang, Sukanta Ganguly, Kiran Srinivasan, ZHITAO YING",General Machine Learning->Representation Learning,https://openreview.net/forum?id=w6FXg6d6My,https://openreview.net/pdf?id=w6FXg6d6My,6_Text_Graph_RAG
Method,Main,Accept (regular),MVR-cache: Optimizing Semantic Caching via Multi-Vector Retrieval and Learned Prompt Segmentation,"Ali Noshad, Zishan Zheng, Yinjun Wu",Applications->Everything Else,https://openreview.net/forum?id=WALBUqiamf,https://openreview.net/pdf?id=WALBUqiamf,6_Text_Graph_RAG
Method,Main,Accept (regular),ProphetKV: User-Query-Driven Selective Recomputation for Efficient KV Cache Reuse in Retrieval-Augmented Generation,"Shihao Wang, Jiahao Chen, Yanqi Pan, Hao Huang, Yichen Hao, Xiangyu Zou, Wen Xia, Chongyang Qiu, Wentao Zhang, PengFei Wang",Deep Learning->Large Language Models,https://openreview.net/forum?id=SwGwmKIgUb,https://openreview.net/pdf?id=SwGwmKIgUb,6_Text_Graph_RAG
Method,Main,Accept (regular),GAM-RAG: Gain-Adaptive Memory for Evolving Retrieval in Retrieval-Augmented Generation,"Yifan Wang, Mingxuan Jiang, Zhihao Sun, Yixin Cao, Yicun Liu, Keyang Chen, Guangnan Ye, Hongfeng Chai",Deep Learning->Large Language Models,https://openreview.net/forum?id=9YC7mbloXl,https://openreview.net/pdf?id=9YC7mbloXl,6_Text_Graph_RAG
Method,Main,Accept (regular),Eyes-on-Me: Scalable RAG Poisoning through Transferable Attention-Steering Attractors,"Yen-Shan Chen, Sian-Yao Huang, Cheng-Lin Yang, Yun-Nung Chen",Social Aspects->Safety,https://openreview.net/forum?id=rF1oJAhAZA,https://openreview.net/pdf?id=rF1oJAhAZA,6_Text_Graph_RAG
Method,Main,Accept (regular),MoshiRAG: Asynchronous Knowledge Retrieval for Full-Duplex Speech Language Models,"Chung-Ming Chien, Manu Orsini, Eugene Kharitonov, Neil Zeghidour, Karen Livescu, Alexandre Défossez","Applications->Language, Speech and Dialog",https://openreview.net/forum?id=4aI2vOyyHH,https://openreview.net/pdf?id=4aI2vOyyHH,6_Text_Graph_RAG
Method,Main,Accept (regular),Graph-R1: Towards Agentic GraphRAG Framework via End-to-end Reinforcement Learning,"Haoran Luo, Haihong E, Guanting Chen, Qika Lin, Yikai Guo, Fangzhi Xu, Zemin Kuang, Meina Song, Xiaobao Wu, Yifan Zhu, Anh Tuan Luu","Applications->Language, Speech and Dialog",https://openreview.net/forum?id=YXnFGsSkCC,https://openreview.net/pdf?id=YXnFGsSkCC,6_Text_Graph_RAG
