Type,Track,Sub-category,Title,Authors,Part,Section,Springer_Link,Scholar_Search,arXiv_Search,ID
Method,Conference,Core VDU / Document RAG & Retrieval,Agentic Document Reasoning for Evidence-Grounded Clinical Report Generation,"Hira Masood, Momina Moetesum, Muhammad Imran Malik, Faisal Shafait, Hassan Aqeel Khan",Part IV,Poster Papers III,https://link.springer.com/chapter/10.1007/978-3-032-36042-7_13,https://scholar.google.com/scholar?q=%22Agentic+Document+Reasoning+for+Evidence-Grounded+Clinical+Report+Generation%22,https://arxiv.org/search/?searchtype=title&query=Agentic+Document+Reasoning+for+Evidence-Grounded+Clinical+Report+Generation,384
Method,Conference,Core VDU / Document RAG & Retrieval,LiteDoc: Distilling Large Document Models into Efficient Task-Specific Encoders,"Tayyab Raza, Syed Muhammad Taha Imam, Adrian Ulges, Ulrich Schwanecke, Momina Moetesum, Faisal Shafait",,,,https://scholar.google.com/scholar?q=%22LiteDoc%3A+Distilling+Large+Document+Models+into+Efficient+Task-Specific+Encoders%22,https://arxiv.org/search/?searchtype=title&query=LiteDoc%3A+Distilling+Large+Document+Models+into+Efficient+Task-Specific+Encoders,318
Method,Conference,Core VDU / Document RAG & Retrieval,Counterfeit Answers: Adversarial Forgery against OCR-Free Document Visual Question Answering,"Marco Pintore, Maura Pintor, Battista Biggio, Dimosthenis Karatzas",Part IV,Poster Papers III,https://link.springer.com/chapter/10.1007/978-3-032-36042-7_16,https://scholar.google.com/scholar?q=%22Counterfeit+Answers%3A+Adversarial+Forgery+against+OCR-Free+Document+Visual+Question+Answering%22,https://arxiv.org/search/?searchtype=title&query=Counterfeit+Answers%3A+Adversarial+Forgery+against+OCR-Free+Document+Visual+Question+Answering,73
Method,Conference,Core VDU / Document RAG & Retrieval,Conversational Retrieval and On-the-Fly Knowledge Modeling from Historical Documents,"Paula Font Solà, Adrià Molina Rodríguez, Josep Lladós Canet",,,,https://scholar.google.com/scholar?q=%22Conversational+Retrieval+and+On-the-Fly+Knowledge+Modeling+from+Historical+Documents%22,https://arxiv.org/search/?searchtype=title&query=Conversational+Retrieval+and+On-the-Fly+Knowledge+Modeling+from+Historical+Documents,17
Method,Conference,Core VDU / Document RAG & Retrieval,Robust Interpretation of Historical Documents in Knowledge Graphs Through Query Inference and Execution,"Sebastià Nicolau Orell, Adrià Molina Rodríguez, Oriol Ramos Terrades, Josep Lladós Canet",,,,https://scholar.google.com/scholar?q=%22Robust+Interpretation+of+Historical+Documents+in+Knowledge+Graphs+Through+Query+Inference+and+Execution%22,https://arxiv.org/search/?searchtype=title&query=Robust+Interpretation+of+Historical+Documents+in+Knowledge+Graphs+Through+Query+Inference+and+Execution,10
Dataset,Conference,Document parsing / IE / OCR with VLMs,Synth-JDoc: Synthesizing a Japanese Document Image Dataset for OCR with Diverse Layouts and Embedded Images,"Keito Sasagawa, Shuhei Kurita, Daisuke Kawahara",,,,https://scholar.google.com/scholar?q=%22Synth-JDoc%3A+Synthesizing+a+Japanese+Document+Image+Dataset+for+OCR+with+Diverse+Layouts+and+Embedded+Images%22,https://arxiv.org/search/?searchtype=title&query=Synth-JDoc%3A+Synthesizing+a+Japanese+Document+Image+Dataset+for+OCR+with+Diverse+Layouts+and+Embedded+Images,370
Method,Conference,Document parsing / IE / OCR with VLMs,"Identify, Locate, Link: End-to-End Key-Value Extraction from Document Images","Abdurrahman Said Gürbüz, Ahmed Nassar, Christoph Auer, Maksym Lysak, Lucas Morin, Matteo Omenetti, Tim Strohmeyer, Panagiotis Vagenas, Nikolaos Livathinos, Michele Dolfi, Peter Staar",,,,https://scholar.google.com/scholar?q=%22Identify%2C+Locate%2C+Link%3A+End-to-End+Key-Value+Extraction+from+Document+Images%22,https://arxiv.org/search/?searchtype=title&query=Identify%2C+Locate%2C+Link%3A+End-to-End+Key-Value+Extraction+from+Document+Images,92
Method,Conference,Document parsing / IE / OCR with VLMs,From Pixels to Structure: Lightweight Vision-Language Models for Document OCR and Structured JSON Extraction,"Uddipan Basu Bir, Vincent Christlein, Andreas Maier, Mathias Zinnen",,,,https://scholar.google.com/scholar?q=%22From+Pixels+to+Structure%3A+Lightweight+Vision-Language+Models+for+Document+OCR+and+Structured+JSON+Extraction%22,https://arxiv.org/search/?searchtype=title&query=From+Pixels+to+Structure%3A+Lightweight+Vision-Language+Models+for+Document+OCR+and+Structured+JSON+Extraction,153
Method,Conference,Document parsing / IE / OCR with VLMs,Meaning Lies in Structure: Fine-Grained Table-Centric Document Semantic Parsing,"Xuan Li, Mengfei Li, Jingtian Wei, Jialiang Dong, Raymond Wong",,,,https://scholar.google.com/scholar?q=%22Meaning+Lies+in+Structure%3A+Fine-Grained+Table-Centric+Document+Semantic+Parsing%22,https://arxiv.org/search/?searchtype=title&query=Meaning+Lies+in+Structure%3A+Fine-Grained+Table-Centric+Document+Semantic+Parsing,43
Method,Conference,Document parsing / IE / OCR with VLMs,REPLICA: An Agentic Framework for Visually Faithful Document Reconstruction,"Raghuveer R, Anirudh Srinivasan, Venkat Kesav Venna, Shanmukha Sreevatsa Tallapragada, Aryan Jain, Sahithi Kukkala, Ravi Kiran Sarvadevabhatla",,,,https://scholar.google.com/scholar?q=%22REPLICA%3A+An+Agentic+Framework+for+Visually+Faithful+Document+Reconstruction%22,https://arxiv.org/search/?searchtype=title&query=REPLICA%3A+An+Agentic+Framework+for+Visually+Faithful+Document+Reconstruction,88
