Type,Sub-category,Decision,Title,Authors,Primary_Area,Paper_Link,PDF_Link,Category
Method,-,Accept (Poster),RAEE: A Robust Retrieval-Augmented Early Exit Framework for Efficient Inference,"LIANMING HUANG, Shangyu Wu, Yufei CUI, Ying Xiong, Haibo Hu, Xue Liu, Tei-Wei Kuo, Nan Guan, Chun Jason Xue",General Machine Learning->Representation Learning,https://openreview.net/forum?id=GPGwKpRMRA,https://openreview.net/pdf?id=GPGwKpRMRA,3_RAG
Method,-,Accept (Poster),RAS: Retrieval-And-Structuring for Knowledge-Intensive LLM Generation,"Pengcheng Jiang, Lang Cao, Ruike Zhu, Minhao Jiang, Yunyi Zhang, Jiaming Shen, Jimeng Sun, Jiawei Han",,https://openreview.net/forum?id=fqqmeg61yd,https://openreview.net/pdf?id=fqqmeg61yd,3_RAG
Method,-,Accept (Poster),LUMINA: Detecting Hallucinations in RAG System with Context–Knowledge Signals,"Min-Hsuan Yeh, Sharon Li, Tanwi Mallick",Social Aspects->Trustworthy Machine Learning,https://openreview.net/forum?id=oJgNNBNEJM,https://openreview.net/pdf?id=oJgNNBNEJM,3_RAG
Method,-,Accept (Oral),Q-RAG: Long Context Multi‑Step Retrieval via Value‑Based Embedder Training,"Artyom Sorokin, Nazar Buzun, Aleksandr Anokhin, Egor VEDERNIKOV, Petr Anokhin, Mikhail Burtsev, Evgeny Burnaev",Reinforcement Learning->Deep RL,https://openreview.net/forum?id=MS9nWFY7LG,https://openreview.net/pdf?id=MS9nWFY7LG,3_RAG
Method,-,Accept (Poster),Attributing Response to Context: A Jensen–Shannon Divergence Driven Mechanistic Study of Context Attribution in Retrieval-Augmented Generation,"Ruizhe Li, CHEN CHEN, Yuchen Hu, Yanjun Gao, Xi Wang, Emine Yilmaz","Social Aspects->Accountability, Transparency and Interpretability",https://openreview.net/forum?id=7bHjHAOXH9,https://openreview.net/pdf?id=7bHjHAOXH9,3_RAG
Method,-,Accept (Poster),Query-Aware Flow Diffusion for Graph-Based RAG with Retrieval Guarantees,"Zhuoping Zhou, Davoud Ataee Tarzanagh, Sima Didari, Wenjun Hu, Baruch Gutow, Oxana Verkholyak, Masoud Faraki, Heng Hao, Hankyu Moon, Seungjai Min",Deep Learning->Algorithms,https://openreview.net/forum?id=n28wnc2QTc,https://openreview.net/pdf?id=n28wnc2QTc,3_RAG
Method,-,Accept (Poster),Youtu-GraphRAG: Vertically Unified Agents for Graph Retrieval-Augmented Complex Reasoning,"Junnan Dong, Siyu An, Yifei Yu, QIANWEN ZHANG, Linhao Luo, Xiao Huang, di yin, Yunsheng Wu, Xing Sun","Applications->Language, Speech and Dialog",https://openreview.net/forum?id=yCtgZ2G39E,https://openreview.net/pdf?id=yCtgZ2G39E,3_RAG
Method,-,Accept (Poster),Fine-Grained Privacy Extraction from Retrieval-Augmented Generation Systems by Exploiting Knowledge Asymmetry,"Yufei Chen, Yao Wang, Haibin Zhang, Tao Gu","Social Aspects->Fairness, Equity, Justice and Safety",https://openreview.net/forum?id=B6ILMPPKnK,https://openreview.net/pdf?id=B6ILMPPKnK,3_RAG
Method,-,Accept (Poster),Pisces: Cryptography-based Private Retrieval-Augmented Generation with Dual-Path Retrieval,"Xiaojian Liang, Lushan Song, Shishuai Du, Weicheng Zhu, Tan Faith, Jun Jie Sim, Haibing Jin, Zhenghao Wu, Yingting Liu, Xin Zhang, Jiangming Yang, Pu Duan",Social Aspects->Privacy-preserving Statistics and Machine Learning,https://openreview.net/forum?id=Re3A6vzCTC,https://openreview.net/pdf?id=Re3A6vzCTC,3_RAG
Method,-,Accept (Poster),Eigen-Agent: Adaptive Multi-Agent Scientific Reasoning with Monitor-Based RAG,"Xiangru Tang, Wanghan Xu, Yujie Wang, Zijie Guo, Daniel Shao, Cixuan Zhang, Ziyi Wang, Lixin Zhang, Frank Wan, Zhenfei Yin, Wenlong Zhang, LEI BAI, Philip Torr, Hanrui Wang, Di Jin",Applications->Everything Else,https://openreview.net/forum?id=bGtmGTbmaz,https://openreview.net/pdf?id=bGtmGTbmaz,3_RAG
