Type,Sub-category,Decision,Title,Authors,Paper_Link,PDF_Link,ECCV_Page,Category
Dataset,Scene text / handwriting / formula,Accept Poster,Advancing WordArt-Oriented Scene Text Recognition: Datasets and Methods,"Xingsong Ye, Yongkun Du, Jiaxin Zhang, Haojie Zhang, Chong Sun, Chen Li, Jing LYU, Zhineng Chen",https://eccv.ecva.net/virtual/2026/poster/3683,,https://eccv.ecva.net/virtual/2026/poster/3683,2_DocParsing_Layout_OCR
Dataset,Scene text / handwriting / formula,Accept Poster,ClearText-Video: A Large-Scale Text-Centric Video Dataset Bridging Video Restoration and Scene-Text Enhancement,"JINLONG LI, Jiaming Ding, Dingfu Lu, Malcolm Hsiu, Chuang Ke, Kangning Yang, Bochen Guan, Lan Fu, Jie Cai, Huiming Sun, Zibo Meng",https://eccv.ecva.net/virtual/2026/poster/3992,,https://eccv.ecva.net/virtual/2026/poster/3992,2_DocParsing_Layout_OCR
Dataset,Scene text / handwriting / formula,Spotlight,"WeEdit: A Dataset, Benchmark and Glyph-Guided Framework for Text-centric Image Editing","Hui Zhang, Juntao Liu, Zongkai Liu, liqiang niu, Fandong Meng, Zuxuan Wu, Yu-Gang Jiang",https://eccv.ecva.net/virtual/2026/spotlight/6136,,https://eccv.ecva.net/virtual/2026/spotlight/6136,2_DocParsing_Layout_OCR
Method,Scene text / handwriting / formula,Accept Poster,GryphOne: Symbol-Aware Masked Diffusion for Structural Refinement in Offline Handwritten Mathematical Expression Recognition,"Takaya Kawakatsu, Ryo Ishiyama",https://eccv.ecva.net/virtual/2026/poster/3955,,https://eccv.ecva.net/virtual/2026/poster/3955,2_DocParsing_Layout_OCR
Method,Scene text / handwriting / formula,Accept Poster,Hierarchical Style Aggregation for Versatile Chinese Handwriting Generation,"Jiangpeng Wang, Fei Gao, Nannan Wang",https://eccv.ecva.net/virtual/2026/poster/3883,,https://eccv.ecva.net/virtual/2026/poster/3883,2_DocParsing_Layout_OCR
Method,Scene text / handwriting / formula,Accept Poster,Bridging Online and Offline Handwriting via Differentiable Physical Rendering,"Seonmi Park, Seunghyun Shin, Vihaan Misra, Dongmin Shin, Ukcheol Shin, Jean Oh, Hae-Gon Jeon",https://eccv.ecva.net/virtual/2026/poster/3674,,https://eccv.ecva.net/virtual/2026/poster/3674,2_DocParsing_Layout_OCR
Method,Scene text / handwriting / formula,Accept Poster,Beyond Script Family Boundaries: Towards Unified Open-Set Scene Text Recognition,"Chang Liu, Elisa Barney Smith",https://eccv.ecva.net/virtual/2026/poster/5199,,https://eccv.ecva.net/virtual/2026/poster/5199,2_DocParsing_Layout_OCR
Method,Scene text / handwriting / formula,Accept Poster,Embedding Rotation Invariance for Provable Multi-Oriented Scene Text Recognition,"zhibin ma, Pengwen Dai, Yi Liu, Xugong Qin, Chenyun Yu, Xiaochun Cao",https://eccv.ecva.net/virtual/2026/poster/5792,,https://eccv.ecva.net/virtual/2026/poster/5792,2_DocParsing_Layout_OCR
Method,Scene text / handwriting / formula,Accept Poster,TextDS: Parameter-Efficient Representation Alignment for Scene Text Detection under Distribution Shifts,"Boyuan Chen, Zichen Dang, Chuang Yang, Lap-Pui Chau, Yi Wang",https://eccv.ecva.net/virtual/2026/poster/4871,,https://eccv.ecva.net/virtual/2026/poster/4871,2_DocParsing_Layout_OCR
Method,Scene text / handwriting / formula,Accept Poster,UniTranslator: A Unified Multi-modal framework for End-to-end In-Image Machine Translation,"Jiahao Lyu, Pei Fu, Zhenhang Li, Shaojie Zhang, Jiahui Yang, Yu ZHOU, Can Ma, Zhenbo Luo, Jian Luan",https://eccv.ecva.net/virtual/2026/poster/4127,,https://eccv.ecva.net/virtual/2026/poster/4127,2_DocParsing_Layout_OCR
