Type,Sub-category,Title,Authors,Track,Paper_Link,PDF_Link,Category
Method,-,Human Cognition Inspired RAG with Knowledge Graph for Complex Problem Solving,"Yao Cheng, Yibo Zhao, Jiapeng Zhu, Yao Liu, Xing Sun, Xiang Li",AAAI Technical Track on Natural Language Processing I,https://ojs.aaai.org/index.php/AAAI/article/view/40291,https://ojs.aaai.org/index.php/AAAI/article/view/40291/44252,5_Text_Graph_RAG
Method,-,"Careful Queries, Credible Results: Teaching RAG Models Advanced Web Search Tools with Reinforcement Learning","Yuqin Dai, Shuo Yang, Guoqing Wang, Yong Deng, Zhanwei Zhang, Jun Yin, Pengyu Zeng, Zhenzhe Ying, Changhua Meng, Can Yi, Yuchen Zhou, Weiqiang Wang, Shuai Lu",AAAI Technical Track on Natural Language Processing I,https://ojs.aaai.org/index.php/AAAI/article/view/40299,https://ojs.aaai.org/index.php/AAAI/article/view/40299/44260,5_Text_Graph_RAG
Method,-,SegMem-RAG: Adaptive Memory for Retrieval-Augmented Generation in Open-Ended Knowledge Environments,"Xuanbo Fan, Tianqi Zhao, Yi Cheng, Chi Xiu, Jiaxin Guo, Boci Peng, Bingjing Xu, Jessica Zhang, Feng Sun, Yan Zhang",AAAI Technical Track on Natural Language Processing I,https://ojs.aaai.org/index.php/AAAI/article/view/40320,https://ojs.aaai.org/index.php/AAAI/article/view/40320/44281,5_Text_Graph_RAG
Method,-,Expert-Guided Prompting and Retrieval-Augmented Generation for Emergency Medical Service Question Answering,"Xueren Ge, Sahil Murtaza, Anthony Cortez, Homa Alemzadeh",AAAI Technical Track on Natural Language Processing I,https://ojs.aaai.org/index.php/AAAI/article/view/40337,https://ojs.aaai.org/index.php/AAAI/article/view/40337/44298,5_Text_Graph_RAG
Method,-,Cog-RAG: Cognitive-Inspired Dual-Hypergraph with Theme Alignment Retrieval-Augmented Generation,"Hao Hu, Yifan Feng, Ruoxue Li, Rundong Xue, Xingliang Hou, Zhiqiang Tian, Yue Gao, Shaoyi Du",AAAI Technical Track on Natural Language Processing II,https://ojs.aaai.org/index.php/AAAI/article/view/40363,https://ojs.aaai.org/index.php/AAAI/article/view/40363/44324,5_Text_Graph_RAG
Method,-,Iterative Multi-Granular RAG with Contextual Hierarchical Graph,"Yanli Hu, Teng Liu, Zhuangyi Zhou, Weixin Zeng, Zhen Tan, Xiang Zhao",AAAI Technical Track on Natural Language Processing II,https://ojs.aaai.org/index.php/AAAI/article/view/40370,https://ojs.aaai.org/index.php/AAAI/article/view/40370/44331,5_Text_Graph_RAG
Method,-,Relink: Constructing Query-Driven Evidence Graph On-the-Fly for GraphRAG,"Manzong Huang, Chenyang Bu, Yi He, Xingrui Zhuo, Xindong Wu",AAAI Technical Track on Natural Language Processing II,https://ojs.aaai.org/index.php/AAAI/article/view/40382,https://ojs.aaai.org/index.php/AAAI/article/view/40382/44343,5_Text_Graph_RAG
Method,-,Language Drift in Multilingual Retrieval-Augmented Generation: Characterization and Decoding-Time Mitigation,"Bo Li, Zhenghua Xu, Rui Xie",AAAI Technical Track on Natural Language Processing II,https://ojs.aaai.org/index.php/AAAI/article/view/40417,https://ojs.aaai.org/index.php/AAAI/article/view/40417/44378,5_Text_Graph_RAG
Method,-,Modeling Uncertainty Trends for Timely Retrieval in Dynamic RAG,"Bo Li, Tian Tian, Zhenghua Xu, Hao Cheng, Shikun Zhang, Wei Ye",AAAI Technical Track on Natural Language Processing II,https://ojs.aaai.org/index.php/AAAI/article/view/40418,https://ojs.aaai.org/index.php/AAAI/article/view/40418/44379,5_Text_Graph_RAG
Method,-,RAGFort: Dual-Path Defense Against Proprietary Knowledge Base Extraction in Retrieval-Augmented Generation,"Qinfeng Li, Miao Pan, Ke Xiong, Ge Su, Zhiqiang Shen, Yan Liu, Sun Bing, Hao Peng, Xuhong Zhang",AAAI Technical Track on Natural Language Processing II,https://ojs.aaai.org/index.php/AAAI/article/view/40432,https://ojs.aaai.org/index.php/AAAI/article/view/40432/44393,5_Text_Graph_RAG
Method,-,Safe RAG by RAG: Untying the Bell That RAG Rang with the RAG Hand,"Xun Liang, Mengwei Wang, Yuefeng Ma, Simin Niu",AAAI Technical Track on Natural Language Processing III,https://ojs.aaai.org/index.php/AAAI/article/view/40462,https://ojs.aaai.org/index.php/AAAI/article/view/40462/44423,5_Text_Graph_RAG
Method,-,TruthfulRAG: Resolving Factual-level Conflicts in Retrieval-Augmented Generation with Knowledge Graphs,"Shuyi Liu, Yu-Ming Shang, Xi Zhang",AAAI Technical Track on Natural Language Processing III,https://ojs.aaai.org/index.php/AAAI/article/view/40489,https://ojs.aaai.org/index.php/AAAI/article/view/40489/44450,5_Text_Graph_RAG
Method,-,RetroLM: Retrieval-Augmented KVs for Long-Context Processing,"Kun Luo, Zheng Liu, Shitao Xiao, Jiabei Chen, Hongjin Qian, Peitian Zhang, Shanshan Jiang, Bin Dong, Jun Zhao, Kang Liu",AAAI Technical Track on Natural Language Processing III,https://ojs.aaai.org/index.php/AAAI/article/view/40511,https://ojs.aaai.org/index.php/AAAI/article/view/40511/44472,5_Text_Graph_RAG
Method,-,Privacy-protected Retrieval-Augmented Generation for Knowledge Graph Question Answering,"Yunfeng Ning, Mayi Xu, Jintao Wen, Qiankun Pi, Yuanyuan Zhu, Ming Zhong, Jiawei Jiang, Tieyun Qian",AAAI Technical Track on Natural Language Processing III,https://ojs.aaai.org/index.php/AAAI/article/view/40534,https://ojs.aaai.org/index.php/AAAI/article/view/40534/44495,5_Text_Graph_RAG
Method,-,ProgRAG: Hallucination-Resistant Progressive Retrieval and Reasoning over Knowledge Graphs,"Minbae Park, Hyemin Yang, Jeonghyun Kim, Kunsoo Park, Hyunjoon Kim",AAAI Technical Track on Natural Language Processing IV,https://ojs.aaai.org/index.php/AAAI/article/view/40545,https://ojs.aaai.org/index.php/AAAI/article/view/40545/44506,5_Text_Graph_RAG
Method,-,Beyond Fact Retrieval: Episodic Memory for RAG with Generative Semantic Workspaces,"Shreyas Rajesh, Pavan Holur, Chenda Duan, David Chong, Vwani Roychowdhury",AAAI Technical Track on Natural Language Processing IV,https://ojs.aaai.org/index.php/AAAI/article/view/40557,https://ojs.aaai.org/index.php/AAAI/article/view/40557/44518,5_Text_Graph_RAG
Method,-,ECD: Evidence-guided Contrastive Decoding in Retrieval-Augmented Generation with Accurate Knowledge Reference Adjustment,"Yize Sui, Yan Xu, Kun Hu, Jing Ren, Wenjing Yang",AAAI Technical Track on Natural Language Processing IV,https://ojs.aaai.org/index.php/AAAI/article/view/40591,https://ojs.aaai.org/index.php/AAAI/article/view/40591/44552,5_Text_Graph_RAG
Method,-,Exposing the Cracks: Vulnerabilities of Retrieval-Augmented LLM-based Machine Translation,"Yanming Sun, Runzhe Zhan, Chi Seng Cheang, Han Wu, Xuebo Liu, Yuyao Niu, Fengying Ye, Kaixin Lan, Lidia S. Chao, Derek F. Wong",AAAI Technical Track on Natural Language Processing IV,https://ojs.aaai.org/index.php/AAAI/article/view/40597,https://ojs.aaai.org/index.php/AAAI/article/view/40597/44558,5_Text_Graph_RAG
Method,-,RAG-R1:Incentivizing the Search and Reasoning Capabilities of LLMs Through Multi-Query Parallelism,"Zhiwen Tan, Jiaming Huang, Qintong Wu, Hongxuan Zhang, Chenyi Zhuang, Jinjie Gu",AAAI Technical Track on Natural Language Processing IV,https://ojs.aaai.org/index.php/AAAI/article/view/40603,https://ojs.aaai.org/index.php/AAAI/article/view/40603/44564,5_Text_Graph_RAG
Method,-,Cross-Granularity Hypergraph Retrieval-Augmented Generation for Multi-hop Question Answering,"Changjian Wang, Weihong Deng, Weili Guan, Quan Lu, Ning Jiang",AAAI Technical Track on Natural Language Processing IV,https://ojs.aaai.org/index.php/AAAI/article/view/40623,https://ojs.aaai.org/index.php/AAAI/article/view/40623/44584,5_Text_Graph_RAG
Method,-,Accommodate Knowledge Conflicts in Retrieval-augmented LLMs: Towards Robust Response Generation in the Wild,"Jiatai Wang, Zhiwei Xu, Di Jin, Xuewen Yang, Tao Li",AAAI Technical Track on Natural Language Processing IV,https://ojs.aaai.org/index.php/AAAI/article/view/40641,https://ojs.aaai.org/index.php/AAAI/article/view/40641/44602,5_Text_Graph_RAG
Method,-,ComoRAG: A Cognitive-Inspired Memory-Organized RAG for Stateful Long Narrative Reasoning,"Juyuan Wang, Rongchen Zhao, Wei Wei, Yufeng Wang, Mo Yu, Jie Zhou, Jin Xu, Liyan Xu",AAAI Technical Track on Natural Language Processing IV,https://ojs.aaai.org/index.php/AAAI/article/view/40644,https://ojs.aaai.org/index.php/AAAI/article/view/40644/44605,5_Text_Graph_RAG
Method,-,SRACG: A Code Generation Framework with Selective Retrieval Augmentation,"Mengzhen Wang, Shukai Ma, Songwen Gong, Jiexin Wang, Ruolin Chen, Liuwen Cao, Yi Cai",AAAI Technical Track on Natural Language Processing IV,https://ojs.aaai.org/index.php/AAAI/article/view/40647,https://ojs.aaai.org/index.php/AAAI/article/view/40647/44608,5_Text_Graph_RAG
Method,-,BEE-RAG: Balanced Entropy Engineering for Retrieval-Augmented Generation,"Yuhao Wang, Ruiyang Ren, Yucheng Wang, Jing Liu, Xin Zhao, Hua Wu, Haifeng Wang",AAAI Technical Track on Natural Language Processing V,https://ojs.aaai.org/index.php/AAAI/article/view/40664,https://ojs.aaai.org/index.php/AAAI/article/view/40664/44625,5_Text_Graph_RAG
Method,-,MIRAGE: Scaling Test-Time Inference with Parallel Graph-Retrieval-Augmented Reasoning Chains,"Kaiwen Wei, Rui Shan, Dongsheng Zou, Jianzhong Yang, Bi Zhao, Junnan Zhu, Jiang Zhong",AAAI Technical Track on Natural Language Processing V,https://ojs.aaai.org/index.php/AAAI/article/view/40673,https://ojs.aaai.org/index.php/AAAI/article/view/40673/44634,5_Text_Graph_RAG
Method,-,Thinking Forward and Backward: Multi-Objective Reinforcement Learning for Retrieval-Augmented Reasoning,"Wenda Wei, Yu-An Liu, Ruqing Zhang, Jiafeng Guo, Lixin Su, Shuaiqiang Wang, Dawei Yin, Maarten de Rijke, Xueqi Cheng",AAAI Technical Track on Natural Language Processing V,https://ojs.aaai.org/index.php/AAAI/article/view/40675,https://ojs.aaai.org/index.php/AAAI/article/view/40675/44636,5_Text_Graph_RAG
Method,-,ShieldRAG: Safeguarding Retrieval-Augmented Generation from Untrusted Knowledge Bases,"Peiru Yang, Haoran Zheng, Yi Luo, Xinyi Liu, Jinrui Wang, Huili Wang, Xintian Li, Yongfeng Huang, Tao Qi",AAAI Technical Track on Natural Language Processing V,https://ojs.aaai.org/index.php/AAAI/article/view/40725,https://ojs.aaai.org/index.php/AAAI/article/view/40725/44686,5_Text_Graph_RAG
Method,-,Seeing through the Conﬂict: Transparent Knowledge Conﬂict Handling in Retrieval-Augmented Generation,"Hua Ye, Siyuan Chen, Ziqi Zhong, Canran Xiao, Haoliang Zhang, Yuhan Wu, Fei Shen",AAAI Technical Track on Natural Language Processing V,https://ojs.aaai.org/index.php/AAAI/article/view/40740,https://ojs.aaai.org/index.php/AAAI/article/view/40740/44701,5_Text_Graph_RAG
Method,-,TAdaRAG: Task Adaptive Retrieval-Augmented Generation via On-the-Fly Knowledge Graph Construction,"Jie Zhang, Bo Tang, Wanzi Shao, Wenqiang Wei, Jihao Zhao, Jianqing Zhu, Zhiyu Li, Wen Xi, Zehao Lin, Feiyu Xiong, Yanchao Tan",AAAI Technical Track on Natural Language Processing VI,https://ojs.aaai.org/index.php/AAAI/article/view/40774,https://ojs.aaai.org/index.php/AAAI/article/view/40774/44735,5_Text_Graph_RAG
Method,-,LeanRAG: Knowledge-Graph-Based Generation with Semantic Aggregation and Hierarchical Retrieval,"Yaoze Zhang, Rong Wu, Pinlong Cai, Xiaoman Wang, Guohang Yan, Song Mao, Ding Wang, Botian Shi",AAAI Technical Track on Natural Language Processing VI,https://ojs.aaai.org/index.php/AAAI/article/view/40789,https://ojs.aaai.org/index.php/AAAI/article/view/40789/44750,5_Text_Graph_RAG
Method,-,Do Retrieval Augmented Language Models Know When They Don’t Know?,"Youchao Zhou, Heyan Huang, Yicheng Liu, Rui Dai, Xinglin Wang, Xingchen Zhang, Shumin Shi, Yang Deng",AAAI Technical Track on Natural Language Processing VI,https://ojs.aaai.org/index.php/AAAI/article/view/40822,https://ojs.aaai.org/index.php/AAAI/article/view/40822/44783,5_Text_Graph_RAG
Method,-,SubGCache: Accelerating Graph-based RAG with Subgraph-level KV Cache,"Qiuyu Zhu, Liang Zhang, Qianxiong Xu, Cheng Long, Jie Zhang",AAAI Technical Track on Natural Language Processing VI,https://ojs.aaai.org/index.php/AAAI/article/view/40827,https://ojs.aaai.org/index.php/AAAI/article/view/40827/44788,5_Text_Graph_RAG
Method,-,REAP: Enhancing RAG with Recursive Evaluation and Adaptive Planning for Multi-Hop Question Answering,"Yijie Zhu, Haojie Zhou, Wanting Hong, Tailin Liu, Ning Wang",AAAI Technical Track on Natural Language Processing VI,https://ojs.aaai.org/index.php/AAAI/article/view/40830,https://ojs.aaai.org/index.php/AAAI/article/view/40830/44791,5_Text_Graph_RAG
Method,-,Faithful in Steps: Improving Generalization and Citation in RAG via Query Decomposition,"Yue Liu, Zhongying Ru, Shimin Di, Jipeng Zhang, Ruiyuan Zhang, Xiaofang Zhou",AAAI Technical Track on Philosophy and Ethics of AI,https://ojs.aaai.org/index.php/AAAI/article/view/40879,https://ojs.aaai.org/index.php/AAAI/article/view/40879/44840,5_Text_Graph_RAG
Method,-,Joint-GCG: Unified Gradient-Based Poisoning Attacks on Retrieval-Augmented Generation Systems,"Haowei Wang, Rupeng Zhang, Junjie Wang, Mingyang Li, Yuekai Huang, Dandan Wang, Qing Wang",AAAI Technical Track on Philosophy and Ethics of AI,https://ojs.aaai.org/index.php/AAAI/article/view/40893,https://ojs.aaai.org/index.php/AAAI/article/view/40893/44854,5_Text_Graph_RAG
Method,-,NutriScreener: Retrieval Augmented Multi-Pose Graph Attention Network for Malnourishment Screening,"Misaal Khan, Mayank Vatsa, Kuldeep Singh, Richa Singh",AAAI Special Track on AI for Social Impact I,https://ojs.aaai.org/index.php/AAAI/article/view/41214,https://ojs.aaai.org/index.php/AAAI/article/view/41214/45175,5_Text_Graph_RAG
Method,-,A Retrieval Augmented Spatio-Temporal Framework for Traffic Prediction,"Weilin Ruan, Xilin Dang, Ziyu Zhou, Sisuo Lyu, Yuxuan Liang",AAAI Special Track on AI for Social Impact II,https://ojs.aaai.org/index.php/AAAI/article/view/41264,https://ojs.aaai.org/index.php/AAAI/article/view/41264/45225,5_Text_Graph_RAG
Method,-,Enhanced Recommendation Systems with Retrieval-Augmented Large Language Model (Abstract Reprint),"Chuyuan Wei, Ke Duan, Shengda Zhuo, Hongchun Wang, Shuqiang Huang, Jie Liu",AAAI Journal Track,https://ojs.aaai.org/index.php/AAAI/article/view/41419,https://ojs.aaai.org/index.php/AAAI/article/view/41419/45380,5_Text_Graph_RAG
Method,-,LiBrain: LLM-Powered Li-ion Battery Diagnostics with Time-Series-Aware Retrieval-Augmented Framework for E-bikes,"Zhao Li, Zixin Lin, Donghui Ding, Yichen Zhong, Biao Wang, Haitao Xu, Peng Cai",IAAI Technical Track on Deployed Highly Innovative Applications of AI,https://ojs.aaai.org/index.php/AAAI/article/view/41439,https://ojs.aaai.org/index.php/AAAI/article/view/41439/45400,5_Text_Graph_RAG
Method,-,Graph RAG for Automated Short Answer Grading with Feedback: Bridging Pedagogical Needs and Technical Capabilities,"Guoliang Xu, James Corter",EAAI Symposium: AI for Education,https://ojs.aaai.org/index.php/AAAI/article/view/42125,https://ojs.aaai.org/index.php/AAAI/article/view/42125/46086,5_Text_Graph_RAG
Method,-,Adaptive AI for Personalized Intercultural Communication Education: A Conversational Agent Powered by Retrieval-Augmented Generation (Student Abstract),"Mohamed Ahmed, Hyesun Choung",AAAI Student Abstract and Poster Program,https://ojs.aaai.org/index.php/AAAI/article/view/42182,https://ojs.aaai.org/index.php/AAAI/article/view/42182/46143,5_Text_Graph_RAG
Method,-,Bi-Level Preference Optimization for Retrieval-Augmented Generation (Student Abstract),Sizhong Cao,AAAI Student Abstract and Poster Program,https://ojs.aaai.org/index.php/AAAI/article/view/42194,https://ojs.aaai.org/index.php/AAAI/article/view/42194/46155,5_Text_Graph_RAG
Method,-,Domain-Specific Retrieval for Retrieval-Augmented Generation: A Case Study on Pertussis Research (Student Abstract),"Hiroki Takabatake, Niken Prasasti Martono, Asaomi Kuwae, Toshihiko Iuchi, Hayato Ohwada",AAAI Student Abstract and Poster Program,https://ojs.aaai.org/index.php/AAAI/article/view/42286,https://ojs.aaai.org/index.php/AAAI/article/view/42286/46247,5_Text_Graph_RAG
Method,-,HierSearch: A Hierarchical Enterprise Deep Search Framework Integrating Local and Web Searches,"Jiejun Tan, Zhicheng Dou, Yan Yu, Jiehan Cheng, Lifeng Liu, Jian Xie, Jirong Wen",AAAI Technical Track on Knowledge Representation and Reasoning,https://ojs.aaai.org/index.php/AAAI/article/view/39015,https://ojs.aaai.org/index.php/AAAI/article/view/39015/42977,6_Retrieval_related
Method,-,ERank: Fusing Supervised Fine-Tuning and Reinforcement Learning for Effective and Efficient Text Reranking,"Yuzheng Cai, Yanzhao Zhang, Dingkun Long, Mingxin Li, Pengjun Xie, Weiguo Zheng",AAAI Technical Track on Natural Language Processing I,https://ojs.aaai.org/index.php/AAAI/article/view/40261,https://ojs.aaai.org/index.php/AAAI/article/view/40261/44222,6_Retrieval_related
Method,-,Improving Long-Context Summarization with Multi-Granularity Retrieval Optimization,"Xueyu Chen, Kaitao Song, Zifan Song, Dongsheng Li, Cairong Zhao",AAAI Technical Track on Natural Language Processing I,https://ojs.aaai.org/index.php/AAAI/article/view/40283,https://ojs.aaai.org/index.php/AAAI/article/view/40283/44244,6_Retrieval_related
Method,-,Mnemosyne: Accelerating Multi-Hop Question Answering via Cache Hit Order Fitting,"Haizhou Du, Jiujiu Li, Dongyang Li, Luobin Huang, Lisheng Wang",AAAI Technical Track on Natural Language Processing I,https://ojs.aaai.org/index.php/AAAI/article/view/40310,https://ojs.aaai.org/index.php/AAAI/article/view/40310/44271,6_Retrieval_related
Method,-,Beyond Perplexity: Let the Reader Select Retrieval Summaries via Spectrum Projection Score,"Zhanghao Hu, Qinglin Zhu, Siya Qi, Yulan He, Hanqi Yan, Lin Gui",AAAI Technical Track on Natural Language Processing II,https://ojs.aaai.org/index.php/AAAI/article/view/40371,https://ojs.aaai.org/index.php/AAAI/article/view/40371/44332,6_Retrieval_related
Method,-,OPERA: A Reinforcement Learning--Enhanced Orchestrated Planner-Executor Architecture for Reasoning-Oriented Multi-Hop Retrieval,"Yu Liu, Yanbing Liu, Fangfang Yuan, Cong Cao, Youbang Sun, Kun Peng, WeiZhuo Chen, Jianjun Li, Zhiyuan Ma",AAAI Technical Track on Natural Language Processing III,https://ojs.aaai.org/index.php/AAAI/article/view/40499,https://ojs.aaai.org/index.php/AAAI/article/view/40499/44460,6_Retrieval_related
Method,-,CP-Search: A Chain Progressive Search Training Framework Incentivizing the Cognitive Behaviors for Searching in LLMs,"Zehua Wang, Shipeng Li, Buzhou Tang",AAAI Technical Track on Natural Language Processing V,https://ojs.aaai.org/index.php/AAAI/article/view/40666,https://ojs.aaai.org/index.php/AAAI/article/view/40666/44627,6_Retrieval_related
Method,-,Sparse Attention Across Multiple-Context KV Cache,"Ziyi Cao, Qingyi Si, Jingbin Zhang, Bingquan Liu",AAAI Technical Track on Natural Language Processing I,https://ojs.aaai.org/index.php/AAAI/article/view/40266,https://ojs.aaai.org/index.php/AAAI/article/view/40266/44227,6_Retrieval_related
Method,-,Personalize Before Retrieve: LLM-based Personalized Query Expansion for User-Centric Retrieval,"Yingyi Zhang, Pengyue Jia, Derong Xu, Yi Wen, Xianneng Li, Yichao Wang, Wenlin Zhang, Xiaopeng Li, Weinan Gan, Huifeng Guo, Yong Liu, Xiangyu Zhao",AAAI Technical Track on Data Mining & Knowledge Management III,https://ojs.aaai.org/index.php/AAAI/article/view/38679,https://ojs.aaai.org/index.php/AAAI/article/view/38679/42641,6_Retrieval_related
Method,-,DS SERVE: A Framework for Efficient and Scalable Neural Retrieval,"Jinjian Liu, Yichuan Wang, Xinxi Lyu, Rulin Shao, Joseph E. Gonzalez, Matei Zaharia, Sewon Min",AAAI Demonstration Track,https://ojs.aaai.org/index.php/AAAI/article/view/42363,https://ojs.aaai.org/index.php/AAAI/article/view/42363/46324,6_Retrieval_related
Method,-,RaCoT: Plug-and-Play Contrastive Example Generation Mechanism for Enhanced LLM Reasoning Reliability,"Kaitong Cai, Jusheng Zhang, Yijia Fan, Jing Yang, Keze Wang",AAAI Technical Track on Natural Language Processing I,https://ojs.aaai.org/index.php/AAAI/article/view/40260,https://ojs.aaai.org/index.php/AAAI/article/view/40260/44221,6_Retrieval_related
Method,-,Beyond Chains: Bridging Large Language Models and Knowledge Bases in Complex Question Answering,"Yihua Zhu, Qianying Liu, Akiko Aizawa, Hidetoshi Shimodaira",AAAI Technical Track on Natural Language Processing VI,https://ojs.aaai.org/index.php/AAAI/article/view/40829,https://ojs.aaai.org/index.php/AAAI/article/view/40829/44790,6_Retrieval_related
