Type,Title,Authors,Paper_Link,PDF_Link,arXiv_Link,Category
Dataset,Treading Towards Privacy-Preserving Table Structure Recognition,"Sachin Raja, Ajoy Mondal, C.V. Jawahar",https://openaccess.thecvf.com/content/WACV2025/html/Raja_Treading_Towards_Privacy-Preserving_Table_Structure_Recognition_WACV_2025_paper.html,https://openaccess.thecvf.com/content/WACV2025/papers/Raja_Treading_Towards_Privacy-Preserving_Table_Structure_Recognition_WACV_2025_paper.pdf,,1_Doc_Table_IE
Dataset,CISOL: An Open and Extensible Dataset for Table Structure Recognition in the Construction Industry,"David Tschirschwitz, Volker Rodehorst",https://openaccess.thecvf.com/content/WACV2025/html/Tschirschwitz_CISOL_An_Open_and_Extensible_Dataset_for_Table_Structure_Recognition_WACV_2025_paper.html,https://openaccess.thecvf.com/content/WACV2025/papers/Tschirschwitz_CISOL_An_Open_and_Extensible_Dataset_for_Table_Structure_Recognition_WACV_2025_paper.pdf,http://arxiv.org/abs/2501.15469,1_Doc_Table_IE
Dataset,High-Fidelity Document Stain Removal via A Large-Scale Real-World Dataset and A Memory-Augmented Transformer,"Mingxian Li, Hao Sun, Yingtie Lei, Xiaofeng Zhang, Yihang Dong, Yilin Zhou, Zimeng Li, Xuhang Chen",https://openaccess.thecvf.com/content/WACV2025/html/Li_High-Fidelity_Document_Stain_Removal_via_A_Large-Scale_Real-World_Dataset_and_WACV_2025_paper.html,https://openaccess.thecvf.com/content/WACV2025/papers/Li_High-Fidelity_Document_Stain_Removal_via_A_Large-Scale_Real-World_Dataset_and_WACV_2025_paper.pdf,http://arxiv.org/abs/2410.22922,1_Doc_Table_IE
Method,DocMatcher: Document Image Dewarping via Structural and Textual Line Matching,"Felix Hertlein, Alexander Naumann, York Sure-Vetter",https://openaccess.thecvf.com/content/WACV2025/html/Hertlein_DocMatcher_Document_Image_Dewarping_via_Structural_and_Textual_Line_Matching_WACV_2025_paper.html,https://openaccess.thecvf.com/content/WACV2025/papers/Hertlein_DocMatcher_Document_Image_Dewarping_via_Structural_and_Textual_Line_Matching_WACV_2025_paper.pdf,,1_Doc_Table_IE
Method,Information Extraction from Heterogeneous Documents without Ground Truth Labels using Synthetic Label Generation and Knowledge Distillation,"Aniket Bhattacharyya, Anurag Tripathi",https://openaccess.thecvf.com/content/WACV2025/html/Bhattacharyya_Information_Extraction_from_Heterogeneous_Documents_without_Ground_Truth_Labels_using_WACV_2025_paper.html,https://openaccess.thecvf.com/content/WACV2025/papers/Bhattacharyya_Information_Extraction_from_Heterogeneous_Documents_without_Ground_Truth_Labels_using_WACV_2025_paper.pdf,http://arxiv.org/abs/2411.14957,1_Doc_Table_IE
Method,DocTTT: Test-Time Training for Handwritten Document Recognition using Meta-Auxiliary Learning,"Wenhao Gu, Li Gu, Ziqiang Wang, Ching Y Suen, Yang Wang",https://openaccess.thecvf.com/content/WACV2025/html/Gu_DocTTT_Test-Time_Training_for_Handwritten_Document_Recognition_using_Meta-Auxiliary_Learning_WACV_2025_paper.html,https://openaccess.thecvf.com/content/WACV2025/papers/Gu_DocTTT_Test-Time_Training_for_Handwritten_Document_Recognition_using_Meta-Auxiliary_Learning_WACV_2025_paper.pdf,http://arxiv.org/abs/2501.12898,1_Doc_Table_IE
Method,GlobalDoc: A Cross-Modal Vision-Language Framework for Real-World Document Image Retrieval and Classification,"Souhail Bakkali, Sanket Biswas, Zuheng Ming, Mickaël Coustaty, Marçal Rusiñol, Oriol Ramos Terrades, Josep Lladós",https://openaccess.thecvf.com/content/WACV2025/html/Bakkali_GlobalDoc_A_Cross-Modal_Vision-Language_Framework_for_Real-World_Document_Image_Retrieval_WACV_2025_paper.html,https://openaccess.thecvf.com/content/WACV2025/papers/Bakkali_GlobalDoc_A_Cross-Modal_Vision-Language_Framework_for_Real-World_Document_Image_Retrieval_WACV_2025_paper.pdf,http://arxiv.org/abs/2309.05756,1_Doc_Table_IE
Method,TRH2TQA: Table Recognition with Hierarchical Relationships to Table Question-Answering on Business Table Images,"Pongsakorn Jirachanchaisiri, Nam Tuan Ly, Atsuhiro Takasu",https://openaccess.thecvf.com/content/WACV2025/html/Jirachanchaisiri_TRH2TQA_Table_Recognition_with_Hierarchical_Relationships_to_Table_Question-Answering_on_WACV_2025_paper.html,https://openaccess.thecvf.com/content/WACV2025/papers/Jirachanchaisiri_TRH2TQA_Table_Recognition_with_Hierarchical_Relationships_to_Table_Question-Answering_on_WACV_2025_paper.pdf,,1_Doc_Table_IE
Method,Text Change Detection in Multilingual Documents using Image Comparison,"Doyoung Park, Naresh Reddy Yarram, Sunjin Kim, MinKyu Kim, Seongho Joe, Taehee Lee",https://openaccess.thecvf.com/content/WACV2025/html/Park_Text_Change_Detection_in_Multilingual_Documents_using_Image_Comparison_WACV_2025_paper.html,https://openaccess.thecvf.com/content/WACV2025/papers/Park_Text_Change_Detection_in_Multilingual_Documents_using_Image_Comparison_WACV_2025_paper.pdf,http://arxiv.org/abs/2412.04137,1_Doc_Table_IE
Method,PatchFinder: Leveraging Visual Language Models for Accurate Information Retrieval using Model Uncertainty,"Roman Colman, Minh Vu, Manish Bhattarai, Martin Ma, Hari Viswanathan, Daniel O'Malley, Javier Santos",https://openaccess.thecvf.com/content/WACV2025/html/Colman_PatchFinder_Leveraging_Visual_Language_Models_for_Accurate_Information_Retrieval_using_WACV_2025_paper.html,https://openaccess.thecvf.com/content/WACV2025/papers/Colman_PatchFinder_Leveraging_Visual_Language_Models_for_Accurate_Information_Retrieval_using_WACV_2025_paper.pdf,http://arxiv.org/abs/2412.02886,1_Doc_Table_IE
