Type,Title,Authors,Paper_Link,PDF_Link,arXiv_Link,Category
Method,On the Generalization of Handwritten Text Recognition Models,"Carlos Garrido-Munoz, Jorge Calvo-Zaragoza",https://openaccess.thecvf.com/content/CVPR2025/html/Garrido-Munoz_On_the_Generalization_of_Handwritten_Text_Recognition_Models_CVPR_2025_paper.html,https://openaccess.thecvf.com/content/CVPR2025/papers/Garrido-Munoz_On_the_Generalization_of_Handwritten_Text_Recognition_Models_CVPR_2025_paper.pdf,http://arxiv.org/abs/2411.17332,3_OCR_SceneText_HTR
Method,MetaWriter: Personalized Handwritten Text Recognition Using Meta-Learned Prompt Tuning,"Wenhao Gu, Li Gu, Chingyee Yee Suen, Yang Wang",https://openaccess.thecvf.com/content/CVPR2025/html/Gu_MetaWriter_Personalized_Handwritten_Text_Recognition_Using_Meta-Learned_Prompt_Tuning_CVPR_2025_paper.html,https://openaccess.thecvf.com/content/CVPR2025/papers/Gu_MetaWriter_Personalized_Handwritten_Text_Recognition_Using_Meta-Learned_Prompt_Tuning_CVPR_2025_paper.pdf,http://arxiv.org/abs/2505.20513,3_OCR_SceneText_HTR
Method,GlyphMastero: A Glyph Encoder for High-Fidelity Scene Text Editing,"Tong Wang, Ting Liu, Xiaochao Qu, Chengjing Wu, Luoqi Liu, Xiaolin Hu",https://openaccess.thecvf.com/content/CVPR2025/html/Wang_GlyphMastero_A_Glyph_Encoder_for_High-Fidelity_Scene_Text_Editing_CVPR_2025_paper.html,https://openaccess.thecvf.com/content/CVPR2025/papers/Wang_GlyphMastero_A_Glyph_Encoder_for_High-Fidelity_Scene_Text_Editing_CVPR_2025_paper.pdf,http://arxiv.org/abs/2505.04915,3_OCR_SceneText_HTR
Method,SemiETS: Integrating Spatial and Content Consistencies for Semi-Supervised End-to-end Text Spotting,"Dongliang Luo, Hanshen Zhu, Ziyang Zhang, Dingkang Liang, Xudong Xie, Yuliang Liu, Xiang Bai",https://openaccess.thecvf.com/content/CVPR2025/html/Luo_SemiETS_Integrating_Spatial_and_Content_Consistencies_for_Semi-Supervised_End-to-end_Text_CVPR_2025_paper.html,https://openaccess.thecvf.com/content/CVPR2025/papers/Luo_SemiETS_Integrating_Spatial_and_Content_Consistencies_for_Semi-Supervised_End-to-end_Text_CVPR_2025_paper.pdf,http://arxiv.org/abs/2504.09966,3_OCR_SceneText_HTR
Method,Accurate Scene Text Recognition with Efficient Model Scaling and Cloze Self-Distillation,"Andrea Maracani, Savas Ozkan, Sijun Cho, Hyowon Kim, Eunchung Noh, Jeongwon Min, Cho Jung Min, Dookun Park, Mete Ozay",https://openaccess.thecvf.com/content/CVPR2025/html/Maracani_Accurate_Scene_Text_Recognition_with_Efficient_Model_Scaling_and_Cloze_CVPR_2025_paper.html,https://openaccess.thecvf.com/content/CVPR2025/papers/Maracani_Accurate_Scene_Text_Recognition_with_Efficient_Model_Scaling_and_Cloze_CVPR_2025_paper.pdf,http://arxiv.org/abs/2503.16184,3_OCR_SceneText_HTR
Method,DreamText: High Fidelity Scene Text Synthesis,"Yibin Wang, Weizhong Zhang, Honghui Xu, Cheng Jin",https://openaccess.thecvf.com/content/CVPR2025/html/Wang_DreamText_High_Fidelity_Scene_Text_Synthesis_CVPR_2025_paper.html,https://openaccess.thecvf.com/content/CVPR2025/papers/Wang_DreamText_High_Fidelity_Scene_Text_Synthesis_CVPR_2025_paper.pdf,http://arxiv.org/abs/2405.14701,3_OCR_SceneText_HTR
Method,"Zero-Shot Styled Text Image Generation, but Make It Autoregressive","Vittorio Pippi, Fabio Quattrini, Silvia Cascianelli, Alessio Tonioni, Rita Cucchiara",https://openaccess.thecvf.com/content/CVPR2025/html/Pippi_Zero-Shot_Styled_Text_Image_Generation_but_Make_It_Autoregressive_CVPR_2025_paper.html,https://openaccess.thecvf.com/content/CVPR2025/papers/Pippi_Zero-Shot_Styled_Text_Image_Generation_but_Make_It_Autoregressive_CVPR_2025_paper.pdf,http://arxiv.org/abs/2503.17074,3_OCR_SceneText_HTR
Dataset,Bridging Modalities: Improving Universal Multimodal Retrieval by Multimodal Large Language Models,"Xin Zhang, Yanzhao Zhang, Wen Xie, Mingxin Li, Ziqi Dai, Dingkun Long, Pengjun Xie, Meishan Zhang, Wenjie Li, Min Zhang",https://openaccess.thecvf.com/content/CVPR2025/html/Zhang_Bridging_Modalities_Improving_Universal_Multimodal_Retrieval_by_Multimodal_Large_Language_CVPR_2025_paper.html,https://openaccess.thecvf.com/content/CVPR2025/papers/Zhang_Bridging_Modalities_Improving_Universal_Multimodal_Retrieval_by_Multimodal_Large_Language_CVPR_2025_paper.pdf,,4_MM_Retrieval_RAG
Dataset,RAP: Retrieval-Augmented Personalization for Multimodal Large Language Models,"Haoran Hao, Jiaming Han, Changsheng Li, Yu-Feng Li, Xiangyu Yue",https://openaccess.thecvf.com/content/CVPR2025/html/Hao_RAP_Retrieval-Augmented_Personalization_for_Multimodal_Large_Language_Models_CVPR_2025_paper.html,https://openaccess.thecvf.com/content/CVPR2025/papers/Hao_RAP_Retrieval-Augmented_Personalization_for_Multimodal_Large_Language_Models_CVPR_2025_paper.pdf,http://arxiv.org/abs/2410.13360,4_MM_Retrieval_RAG
Method,LamRA: Large Multimodal Model as Your Advanced Retrieval Assistant,"Yikun Liu, Yajie Zhang, Jiayin Cai, Xiaolong Jiang, Yao Hu, Jiangchao Yao, Yanfeng Wang, Weidi Xie",https://openaccess.thecvf.com/content/CVPR2025/html/Liu_LamRA_Large_Multimodal_Model_as_Your_Advanced_Retrieval_Assistant_CVPR_2025_paper.html,https://openaccess.thecvf.com/content/CVPR2025/papers/Liu_LamRA_Large_Multimodal_Model_as_Your_Advanced_Retrieval_Assistant_CVPR_2025_paper.pdf,,4_MM_Retrieval_RAG
Method,COBRA: COmBinatorial Retrieval Augmentation for Few-Shot Adaptation,"Arnav M. Das, Gantavya Bhatt, Lilly Kumari, Sahil Verma, Jeff Bilmes",https://openaccess.thecvf.com/content/CVPR2025/html/Das_COBRA_COmBinatorial_Retrieval_Augmentation_for_Few-Shot_Adaptation_CVPR_2025_paper.html,https://openaccess.thecvf.com/content/CVPR2025/papers/Das_COBRA_COmBinatorial_Retrieval_Augmentation_for_Few-Shot_Adaptation_CVPR_2025_paper.pdf,http://arxiv.org/abs/2412.17684,4_MM_Retrieval_RAG
Method,Few-Shot Recognition via Stage-Wise Retrieval-Augmented Finetuning,"Tian Liu, Huixin Zhang, Shubham Parashar, Shu Kong",https://openaccess.thecvf.com/content/CVPR2025/html/Liu_Few-Shot_Recognition_via_Stage-Wise_Retrieval-Augmented_Finetuning_CVPR_2025_paper.html,https://openaccess.thecvf.com/content/CVPR2025/papers/Liu_Few-Shot_Recognition_via_Stage-Wise_Retrieval-Augmented_Finetuning_CVPR_2025_paper.pdf,http://arxiv.org/abs/2406.11148,4_MM_Retrieval_RAG
Method,Video-ColBERT: Contextualized Late Interaction for Text-to-Video Retrieval,"Arun Reddy, Alexander Martin, Eugene Yang, Andrew Yates, Kate Sanders, Kenton Murray, Reno Kriz, Celso M. de Melo, Benjamin Van Durme, Rama Chellappa",https://openaccess.thecvf.com/content/CVPR2025/html/Reddy_Video-ColBERT_Contextualized_Late_Interaction_for_Text-to-Video_Retrieval_CVPR_2025_paper.html,https://openaccess.thecvf.com/content/CVPR2025/papers/Reddy_Video-ColBERT_Contextualized_Late_Interaction_for_Text-to-Video_Retrieval_CVPR_2025_paper.pdf,,4_MM_Retrieval_RAG
Method,NeighborRetr: Balancing Hub Centrality in Cross-Modal Retrieval,"Zengrong Lin, Zheng Wang, Tianwen Qian, Pan Mu, Sixian Chan, Cong Bai",https://openaccess.thecvf.com/content/CVPR2025/html/Lin_NeighborRetr_Balancing_Hub_Centrality_in_Cross-Modal_Retrieval_CVPR_2025_paper.html,https://openaccess.thecvf.com/content/CVPR2025/papers/Lin_NeighborRetr_Balancing_Hub_Centrality_in_Cross-Modal_Retrieval_CVPR_2025_paper.pdf,http://arxiv.org/abs/2503.10526,4_MM_Retrieval_RAG
Method,DrVideo: Document Retrieval Based Long Video Understanding,"Ziyu Ma, Chenhui Gou, Hengcan Shi, Bin Sun, Shutao Li, Hamid Rezatofighi, Jianfei Cai",https://openaccess.thecvf.com/content/CVPR2025/html/Ma_DrVideo_Document_Retrieval_Based_Long_Video_Understanding_CVPR_2025_paper.html,https://openaccess.thecvf.com/content/CVPR2025/papers/Ma_DrVideo_Document_Retrieval_Based_Long_Video_Understanding_CVPR_2025_paper.pdf,http://arxiv.org/abs/2406.12846,4_MM_Retrieval_RAG
