Type,Sub-category,Track,Title,Authors,Paper_Link,PDF_Link,arXiv_Link,Category
Dataset,-,Main,MMBench-GUI: A Unified Hierarchical Evaluation Framework for Multi-Platform GUI Agents,"Xuehui Wang, Zhenyu Wu, JingJing Xie, Zichen Ding, Bowen Yang, Zehao Li, Zhaoyang Liu, Qingyun Li, Xuan Dong, Zhe Chen, Weiyun Wang, Xiangyu Zhao, Jixuan Chen, Haodong Duan, Tianbao Xie, Chenyu Yang, Shiqian Su, Yue Yu, Yanting Zhang, Xiangyu Yue, Weijie Su, Xizhou Zhu, Wei Shen, Jifeng Dai, Wenhai Wang",https://openaccess.thecvf.com/content/CVPR2026/html/Wang_MMBench-GUI_A_Unified_Hierarchical_Evaluation_Framework_for_Multi-Platform_GUI_Agents_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Wang_MMBench-GUI_A_Unified_Hierarchical_Evaluation_Framework_for_Multi-Platform_GUI_Agents_CVPR_2026_paper.pdf,,6_GUI_Screen_adjacent
Dataset,-,Findings,AndroidLong: LLM-based Android Agents Struggle with Long Looping Tasks,"Xinghan Liu, Xiao Liu, Yifan Xu, Jiaqi Fu, Jiayu Huang, Yixuan Liu, Yuxiao Dong, Jie Tang",https://openaccess.thecvf.com/content/CVPR2026F/html/Liu_AndroidLong_LLM-based_Android_Agents_Struggle_with_Long_Looping_Tasks_CVPRF_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026F/papers/Liu_AndroidLong_LLM-based_Android_Agents_Struggle_with_Long_Looping_Tasks_CVPRF_2026_paper.pdf,,6_GUI_Screen_adjacent
Dataset,-,Findings,"Reasoning for Mobile User Experience with Multimodal LLMs: Task, Benchmark, and Approach","Ruichao Mao, Zhou Fang, Teng Guo, Hao Yang, Yaping Li, Shaohua Peng, Maji Huang, Xiaoyu Lin, Shuoyang Liu, Xuepeng Li, Yuyu Zhang, Hai Rao",https://openaccess.thecvf.com/content/CVPR2026F/html/Mao_Reasoning_for_Mobile_User_Experience_with_Multimodal_LLMs_Task_Benchmark_CVPRF_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026F/papers/Mao_Reasoning_for_Mobile_User_Experience_with_Multimodal_LLMs_Task_Benchmark_CVPRF_2026_paper.pdf,,6_GUI_Screen_adjacent
Dataset,-,Main,Demo2Tutorial: From Human Experience to Multimodal Software Tutorials,"Zechen Bai, Zhiheng Chen, Yiqi Lin, Kevin Qinghong Lin, Difei Gao, Xiangwu Guo, Xin Wang, Mike Zheng Shou",https://openaccess.thecvf.com/content/CVPR2026/html/Bai_Demo2Tutorial_From_Human_Experience_to_Multimodal_Software_Tutorials_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Bai_Demo2Tutorial_From_Human_Experience_to_Multimodal_Software_Tutorials_CVPR_2026_paper.pdf,,6_GUI_Screen_adjacent
Dataset,-,Main,WebChain: A Large-Scale Human-Annotated Dataset of Real-World Web Interaction Traces,"Sicheng Fan, Rui Wan, Yifei Leng, Gaoning Liang, Li Ling, Yanyi Shang, Dehan Kong",https://openaccess.thecvf.com/content/CVPR2026/html/Fan_WebChain_A_Large-Scale_Human-Annotated_Dataset_of_Real-World_Web_Interaction_Traces_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Fan_WebChain_A_Large-Scale_Human-Annotated_Dataset_of_Real-World_Web_Interaction_Traces_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.05295,6_GUI_Screen_adjacent
Method,-,Main,Training High-Level Schedulers with Execution-Feedback Reinforcement Learning for Long-Horizon GUI Automation,"Zehao Deng, Tianjie Ju, Zheng Wu, Zhuosheng Zhang, Gongshen Liu",https://openaccess.thecvf.com/content/CVPR2026/html/Deng_Training_High-Level_Schedulers_with_Execution-Feedback_Reinforcement_Learning_for_Long-Horizon_GUI_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Deng_Training_High-Level_Schedulers_with_Execution-Feedback_Reinforcement_Learning_for_Long-Horizon_GUI_CVPR_2026_paper.pdf,https://arxiv.org/abs/2511.22235,6_GUI_Screen_adjacent
Method,-,Main,CGL: Advancing Continual GUI Learning via Reinforcement Fine-Tuning,"Zhenquan Yao, Zitong Huang, Yihan Zeng, Jianhua Han, Hang Xu, Chun-Mei Feng, Jianwei Ma, Wangmeng Zuo",https://openaccess.thecvf.com/content/CVPR2026/html/Yao_CGL_Advancing_Continual_GUI_Learning_via_Reinforcement_Fine-Tuning_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Yao_CGL_Advancing_Continual_GUI_Learning_via_Reinforcement_Fine-Tuning_CVPR_2026_paper.pdf,https://arxiv.org/abs/2603.02951,6_GUI_Screen_adjacent
Method,-,Main,AdapAction: Adaptive Target Action Backdoor Attack against GUI Agents,"Baicheng Chen, Mingda Zhang, Min Zhang, Haizhou Li, Baoyuan Wu",https://openaccess.thecvf.com/content/CVPR2026/html/Chen_AdapAction_Adaptive_Target_Action_Backdoor_Attack_against_GUI_Agents_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Chen_AdapAction_Adaptive_Target_Action_Backdoor_Attack_against_GUI_Agents_CVPR_2026_paper.pdf,,6_GUI_Screen_adjacent
Method,-,Main,HiconAgent: History Context-aware Policy Optimization for GUI Agents,"Xurui Zhou, Gongwei Chen, Yuquan Xie, Zaijing Li, Kaiwen Zhou, Shuai Wang, Shuo Yang, Zhuotao Tian, Rui Shao",https://openaccess.thecvf.com/content/CVPR2026/html/Zhou_HiconAgent_History_Context-aware_Policy_Optimization_for_GUI_Agents_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Zhou_HiconAgent_History_Context-aware_Policy_Optimization_for_GUI_Agents_CVPR_2026_paper.pdf,https://arxiv.org/abs/2512.01763,6_GUI_Screen_adjacent
Method,-,Main,GUI-SAGE: Enhancing GUI Automation with Self-Explanatory Learning,"Fei Tang, Zhangxuan Gu, Zhengxi Lu, Shangzhan Zhang, Zhengwen Zeng, Shuheng Shen, Changhua Meng, Yuchen Yan, Wenqi Zhang, Yongliang Shen, Weiming Lu, Yueting Zhuang",https://openaccess.thecvf.com/content/CVPR2026/html/Tang_GUI-SAGE_Enhancing_GUI_Automation_with_Self-Explanatory_Learning_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Tang_GUI-SAGE_Enhancing_GUI_Automation_with_Self-Explanatory_Learning_CVPR_2026_paper.pdf,,6_GUI_Screen_adjacent
Method,-,Main,LaSM: Layer-wise Scaling Mechanism for Defending Pop-up Attack on GUI Agents,"Zihe Yan, Zhuosheng Zhang, Jiaping Gui, Gongshen Liu",https://openaccess.thecvf.com/content/CVPR2026/html/Yan_LaSM_Layer-wise_Scaling_Mechanism_for_Defending_Pop-up_Attack_on_GUI_CVPR_2026_paper.html,https://openaccess.thecvf.com/content/CVPR2026/papers/Yan_LaSM_Layer-wise_Scaling_Mechanism_for_Defending_Pop-up_Attack_on_GUI_CVPR_2026_paper.pdf,https://arxiv.org/abs/2507.10610,6_GUI_Screen_adjacent
