No,Type,Title,Authors,Track,Paper_Link,PDF_Link,OpenReview
3133,Method,Nonparametric Teaching for Graph Property Learners,"Chen Zhang, Weixin Bu, Zeyi Ren, Zhengwu Liu, Yik Chung Wu, Ngai Wong",Main,https://proceedings.mlr.press/v267/zhang25d.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhang25d/zhang25d.pdf,https://openreview.net/forum?id=wbvshlfyB0
3134,Method,PoisonedEye: Knowledge Poisoning Attack on Retrieval-Augmented Generation based Large Vision-Language Models,"Chenyang Zhang, Xiaoyu Zhang, Jian Lou, Kai Wu, Zilong Wang, Xiaofeng Chen",Main,https://proceedings.mlr.press/v267/zhang25da.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhang25da/zhang25da.pdf,https://openreview.net/forum?id=6SIymOqJlc
3135,Method,Active Learning of Deep Neural Networks via Gradient-Free Cutting Planes,"Erica Zhang, Fangzhao Zhang, Mert Pilanci",Main,https://proceedings.mlr.press/v267/zhang25db.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhang25db/zhang25db.pdf,https://openreview.net/forum?id=vZhdXRnfPU
3136,Method,Improved Expressivity of Hypergraph Neural Networks through High-Dimensional Generalized Weisfeiler-Leman Algorithms,"Detian Zhang, Chengqiang Zhang, Yanghui Rao, Li Qing, Chunjiang Zhu",Main,https://proceedings.mlr.press/v267/zhang25dc.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhang25dc/zhang25dc.pdf,https://openreview.net/forum?id=pD5oklKrDV
3137,Method,Tight and Fast Bounds for Multi-Label Learning,"Yi-Fan Zhang, Min-Ling Zhang",Main,https://proceedings.mlr.press/v267/zhang25dd.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhang25dd/zhang25dd.pdf,https://openreview.net/forum?id=rcqVuXU2Gm
3138,Method,Beyond Bradley-Terry Models: A General Preference Model for Language Model Alignment,"Yifan Zhang, Ge Zhang, Yue Wu, Kangping Xu, Quanquan Gu",Main,https://proceedings.mlr.press/v267/zhang25de.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhang25de/zhang25de.pdf,https://openreview.net/forum?id=UgKcpPE0ZX
3139,Method,End-to-End Learning Framework for Solving Non-Markovian Optimal Control,"Xiaole Zhang, Peiyu Zhang, Xiongye Xiao, Shixuan Li, Vasileios Tzoumas, Vijay Gupta, Paul Bogdan",Main,https://proceedings.mlr.press/v267/zhang25df.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhang25df/zhang25df.pdf,https://openreview.net/forum?id=1k4dKH1XOz
3140,Method,ConText: Driving In-context Learning for Text Removal and Segmentation,"Fei Zhang, Pei Zhang, Baosong Yang, Fei Huang, Yanfeng Wang, Ya Zhang",Main,https://proceedings.mlr.press/v267/zhang25dg.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhang25dg/zhang25dg.pdf,https://openreview.net/forum?id=UuvcoHGivw
3141,Method,Generalization Analysis for Controllable Learning,"Yi-Fan Zhang, Xiao Zhang, Min-Ling Zhang",Main,https://proceedings.mlr.press/v267/zhang25dh.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhang25dh/zhang25dh.pdf,https://openreview.net/forum?id=9UN0E5DO5M
3142,Method,Non-stationary Online Learning for Curved Losses: Improved Dynamic Regret via Mixability,"Yu-Jie Zhang, Peng Zhao, Masashi Sugiyama",Main,https://proceedings.mlr.press/v267/zhang25di.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhang25di/zhang25di.pdf,https://openreview.net/forum?id=TeHF8YjJaw
3143,Method,Strategic A/B testing via Maximum Probability-driven Two-armed Bandit,"Yu Zhang, Shanshan Zhao, Bokui Wan, Jinjuan Wang, Xiaodong Yan",Main,https://proceedings.mlr.press/v267/zhang25dj.html,https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhang25dj/zhang25dj.pdf,https://openreview.net/forum?id=BwYQ1MTrCR
