No,Type,Title,Authors,Decision,Paper_Link,PDF_Link
2859,Method,Matryoshka Pilot: Learning to Drive Black-Box LLMs with LLMs,"ChangHao Li, Yuchen Zhuang, Rushi Qiang, Haotian Sun, Hanjun Dai, Chao Zhang, Bo Dai",Accept (poster),https://openreview.net/forum?id=KfZm1bkS8C,https://openreview.net/pdf?id=KfZm1bkS8C
2860,Method,"Dense SAE Latents Are Features, Not Bugs","Xiaoqing Sun, Alessandro Stolfo, Joshua Engels, Ben Wu, Senthooran Rajamanoharan, Mrinmaya Sachan, Max Tegmark",Accept (poster),https://openreview.net/forum?id=p8lKcNkJRi,https://openreview.net/pdf?id=p8lKcNkJRi
2861,Method,Think-RM: Enabling Long-Horizon Reasoning in Generative Reward Models,"Ilgee Hong, Changlong Yu, Liang Qiu, Weixiang Yan, Zhenghao Xu, Haoming Jiang, Qingru Zhang, Qin Lu, Xin Liu, Chao Zhang, Tuo Zhao",Accept (poster),https://openreview.net/forum?id=UfQAFbP6xq,https://openreview.net/pdf?id=UfQAFbP6xq
2862,Method,Data Fusion for Partial Identification of Causal Effects,"Quinn Lanners, Cynthia Rudin, Alexander Volfovsky, Harsh Parikh",Accept (poster),https://openreview.net/forum?id=p93zLNCzKW,https://openreview.net/pdf?id=p93zLNCzKW
2863,Method,On the Robustness of Verbal Confidence of LLMs in Adversarial Attacks,"Stephen Obadinma, Xiaodan Zhu",Accept (poster),https://openreview.net/forum?id=pAfdjWD9pN,https://openreview.net/pdf?id=pAfdjWD9pN
2864,Method,AREAL: A Large-Scale Asynchronous Reinforcement Learning System for Language Reasoning,"Wei Fu, Jiaxuan Gao, Xujie Shen, Chen Zhu, Zhiyu Mei, Chuyi He, Shusheng Xu, Guo Wei, Jun Mei, Jiashu Wang, Tongkai Yang, Binhang Yuan, YI WU",Accept (poster),https://openreview.net/forum?id=X9diEuva9R,https://openreview.net/pdf?id=X9diEuva9R
2865,Method,MLE-Dojo: Interactive Environments for Empowering LLM Agents in Machine Learning Engineering,"Rushi Qiang, Yuchen Zhuang, Yinghao Li, Dingu Sagar V K, Rongzhi Zhang, ChangHao Li, Ian Wong, Sherry Yang, Percy Liang, Chao Zhang, Bo Dai",Accept (poster),https://openreview.net/forum?id=5W5mFU4oMO,https://openreview.net/pdf?id=5W5mFU4oMO
2866,Method,Tracing the Roots: Leveraging Temporal Dynamics in Diffusion Trajectories for Origin Attribution,"Andreas Floros, Seyed-Mohsen Moosavi-Dezfooli, Pier Luigi Dragotti",Accept (poster),https://openreview.net/forum?id=mE74JKHTCE,https://openreview.net/pdf?id=mE74JKHTCE
2867,Method,Efficient Speech Language Modeling via Energy Distance in Continuous Latent Space,"Zhengrui Ma, Yang Feng, Chenze Shao, Fandong Meng, Jie Zhou, Min Zhang",Accept (poster),https://openreview.net/forum?id=pDWwz9F7Zh,https://openreview.net/pdf?id=pDWwz9F7Zh
2868,Method,Towards Physics-informed Spatial Intelligence with Human Priors: An Autonomous Driving Pilot Study,"Guanlin (Frank) Wu, Boyan Su, Yang Zhao, Pu Wang, Yichen Lin, Hao Frank Yang",Accept (spotlight),https://openreview.net/forum?id=pEUBqS8nTk,https://openreview.net/pdf?id=pEUBqS8nTk
2869,Method,A Unifying View of Linear Function Approximation in Off-Policy RL Through Matrix Splitting and Preconditioning,"Zechen Wu, Amy Greenwald, Ronald Parr",Accept (spotlight),https://openreview.net/forum?id=pH3daDPj4c,https://openreview.net/pdf?id=pH3daDPj4c
2870,Method,Conditioning Matters: Training Diffusion Policies is Faster Than You Think,"Zibin Dong, Yicheng Liu, Yinchuan Li, Hang Zhao, Jianye Hao",Accept (poster),https://openreview.net/forum?id=pKQcmLHoGG,https://openreview.net/pdf?id=pKQcmLHoGG
2871,Method,Quantifying Statistical Significance of Deep Nearest Neighbor Anomaly Detection via Selective Inference,"Mizuki Niihori, Shuichi Nishino, Teruyuki Katsuoka, Tomohiro Shiraishi, Kouichi Taji, Ichiro Takeuchi",Accept (poster),https://openreview.net/forum?id=pKg5zKIEuV,https://openreview.net/pdf?id=pKg5zKIEuV
