No,Type,Title,Authors,Volume,Issue,Published,Status,DOI,Paper_Link
173,Method,FDPAdapter : Adapting segment anything in challenging vision tasks via frequency-domain priors,"Yufei Gao, Bin Fu, Lei Shi, Haibo Pang, Yucheng Shi, Yameng Zhang",268.0,,2026-5,Issue/Volume,10.1016/j.cviu.2026.104784,https://doi.org/10.1016/j.cviu.2026.104784
174,Method,Resolution-invariant no-box attack,"Petr Dvořáček, Petr Hurtik, Petra Števuliáková",269.0,,2026-6,Issue/Volume,10.1016/j.cviu.2026.104767,https://doi.org/10.1016/j.cviu.2026.104767
175,Method,Unleashing the power of self-supervised image denoising: A comprehensive review,"Dan Zhang, Fangfang Zhou, Yuwen Jiang, Felix Albu, Yuanzhou Wei, Xiao Yang, Qiang Li",269.0,,2026-6,Issue/Volume,10.1016/j.cviu.2026.104786,https://doi.org/10.1016/j.cviu.2026.104786
176,Method,Multi-Source Expert Scoring for zero-shot visual anomaly classification and segmentation,"Hui Gao, Bin Guo, Zhongping Li, Xuke Zhong, Yuzhong Zhong, Songyi Dian",269.0,,2026-6,Issue/Volume,10.1016/j.cviu.2026.104794,https://doi.org/10.1016/j.cviu.2026.104794
177,Method,Robust image watermarking via an efficient dual-branch transformer from a frequency-domain perspective,"Yuang Kong, Mingshuo Sun, Han Wang, Zhiwei Zhang, Shunyu Liu",269.0,,2026-6,Issue/Volume,10.1016/j.cviu.2026.104792,https://doi.org/10.1016/j.cviu.2026.104792
178,Method,SAFIR: Spatially-aware Activation Function for Implicit Neural Representations,"Ehsan Zeraatkar, Jelena Tešić",268.0,,2026-5,Issue/Volume,10.1016/j.cviu.2026.104754,https://doi.org/10.1016/j.cviu.2026.104754
179,Method,JEMA: Joint Embedding of Multimodal and multi-view Alignment in human-centric embedding space for manufacturing,"João Sousa, Roya Darabi, Armando Sousa, Frank Brueckner, Luís Paulo Reis, Ana Reis",268.0,,2026-5,Issue/Volume,10.1016/j.cviu.2026.104771,https://doi.org/10.1016/j.cviu.2026.104771
180,Method,Self-attention as the backbone: A survey on Vision Transformers,"Ahmad Waseem, Pietro Ruiu, Seth Nixon, Andrea Lagorio, Massimo Tistarelli",269.0,,2026-6,Issue/Volume,10.1016/j.cviu.2026.104791,https://doi.org/10.1016/j.cviu.2026.104791
181,Method,NaviFormer: Multimodal scene segmentation for assistive navigation,"Ly Bui, Son Lam Phung, Yang Di, Soan Thi Minh Duong, Abdesselam Bouzerdoum",269.0,,2026-6,Issue/Volume,10.1016/j.cviu.2026.104793,https://doi.org/10.1016/j.cviu.2026.104793
182,Method,Dynamic disentanglement: A contrastive causal framework for deepfake detection,"Hui Shi, Guibin Wang, Fei Li, Mingyang Liu, Xiangyu Meng",269.0,,2026-6,Issue/Volume,10.1016/j.cviu.2026.104797,https://doi.org/10.1016/j.cviu.2026.104797
