No,Type,Track,Title,Authors,Part,Section,Springer_Link,Scholar_Search,arXiv_Search,ID
142,Method,Conference,DocQT: Improving Document Forgery Localization Robustness via Diverse JPEG Quantization Tables,"Kylian Ronfleux Corail, Nicolas Sidere, Guillaume Bernard, Mickael Coustaty",Part I,Document Forensics and Provenance,https://link.springer.com/chapter/10.1007/978-3-032-36023-6_7,https://scholar.google.com/scholar?q=%22DocQT%3A+Improving+Document+Forgery+Localization+Robustness+via+Diverse+JPEG+Quantization+Tables%22,https://arxiv.org/search/?searchtype=title&query=DocQT%3A+Improving+Document+Forgery+Localization+Robustness+via+Diverse+JPEG+Quantization+Tables,321
143,Method,Conference,Spatially-Grounded Gaussian-Prior Attention for Handwritten Mathematical Expression Recognition,"Ibtissem Haj Ali, Harold Mouchère",Part I,Document Analysis Systems,https://link.springer.com/chapter/10.1007/978-3-032-36023-6_1,https://scholar.google.com/scholar?q=%22Spatially-Grounded+Gaussian-Prior+Attention+for+Handwritten+Mathematical+Expression+Recognition%22,https://arxiv.org/search/?searchtype=title&query=Spatially-Grounded+Gaussian-Prior+Attention+for+Handwritten+Mathematical+Expression+Recognition,327
144,Method,Conference,DiffusionRec: Recognition-Guided Diffusion for Content-Aware Urdu Handwriting Generation,"Saima Kausar, Ayesha Amjad, Ahmad Sarmad Ali, Momina Moetesum, Adnan ul Hasan, Faisal Shafait",,,,https://scholar.google.com/scholar?q=%22DiffusionRec%3A+Recognition-Guided+Diffusion+for+Content-Aware+Urdu+Handwriting+Generation%22,https://arxiv.org/search/?searchtype=title&query=DiffusionRec%3A+Recognition-Guided+Diffusion+for+Content-Aware+Urdu+Handwriting+Generation,330
145,Method,Conference,TimeAgent: From Matches to Memories — Timeline Summarization for Sports Analytics,"Swagata Mukherjee, Samar Kumar Srivastava, Sriparna Saha",,,,https://scholar.google.com/scholar?q=%22TimeAgent%3A+From+Matches+to+Memories+%E2%80%94+Timeline+Summarization+for+Sports+Analytics%22,https://arxiv.org/search/?searchtype=title&query=TimeAgent%3A+From+Matches+to+Memories+%E2%80%94+Timeline+Summarization+for+Sports+Analytics,339
146,Method,Conference,Structural Analysis of Character Identity at OCR Decision Boundaries in Visually Similar Pairs,Daichi Haraguchi,Part IV,Poster Papers III,https://link.springer.com/chapter/10.1007/978-3-032-36042-7_17,https://scholar.google.com/scholar?q=%22Structural+Analysis+of+Character+Identity+at+OCR+Decision+Boundaries+in+Visually+Similar+Pairs%22,https://arxiv.org/search/?searchtype=title&query=Structural+Analysis+of+Character+Identity+at+OCR+Decision+Boundaries+in+Visually+Similar+Pairs,341
147,Method,Conference,AdaNav: Query-Adaptive Multi-Granularity Navigation for Long Document Understanding,"Yiming Xu, Eric López, Artemis Llabrés, Maximiliano Hormazábal, Ernest Valveny, Dimosthenis Karatzas",Part I,Document Analysis Systems,https://link.springer.com/chapter/10.1007/978-3-032-36023-6_4,https://scholar.google.com/scholar?q=%22AdaNav%3A+Query-Adaptive+Multi-Granularity+Navigation+for+Long+Document+Understanding%22,https://arxiv.org/search/?searchtype=title&query=AdaNav%3A+Query-Adaptive+Multi-Granularity+Navigation+for+Long+Document+Understanding,342
148,Method,Conference,InkTree: A Unified Representation of Structured Online Ink,"Jakob Seitz, Tobias Lengfeld, Radu Timofte",,,,https://scholar.google.com/scholar?q=%22InkTree%3A+A+Unified+Representation+of+Structured+Online+Ink%22,https://arxiv.org/search/?searchtype=title&query=InkTree%3A+A+Unified+Representation+of+Structured+Online+Ink,347
149,Dataset,Conference,"ADV-FORMS: A Dataset of Form-Based Historical Documents With Benchmarks for Layout Analysis, HTR and OCR","Bernhard Ortbauer, Tobias Doppler, Pauline Schmidt, Lukas Schilcher, Wolfgang Göderle, Malte Rehbein, Alexander Werth, Roman Kern",Part I,Benchmarks and Datasets,https://link.springer.com/chapter/10.1007/978-3-032-36023-6_14,https://scholar.google.com/scholar?q=%22ADV-FORMS%3A+A+Dataset+of+Form-Based+Historical+Documents+With+Benchmarks+for+Layout+Analysis%2C+HTR+and+OCR%22,https://arxiv.org/search/?searchtype=title&query=ADV-FORMS%3A+A+Dataset+of+Form-Based+Historical+Documents+With+Benchmarks+for+Layout+Analysis%2C+HTR+and+OCR,349
150,Method,Conference,Doc2Doc: Structure-Aware Generative Rendering for Bi-Directional Document Translation,"Fahad Alotaibi, Daulet Toibazar, Renad Almusaad, Ranya Alkahtani, Haneen Alhomoud, Asma Ibrahim, Yazeed Alharbi, Murtadha Aljubran, Pedro Moreno",,,,https://scholar.google.com/scholar?q=%22Doc2Doc%3A+Structure-Aware+Generative+Rendering+for+Bi-Directional+Document+Translation%22,https://arxiv.org/search/?searchtype=title&query=Doc2Doc%3A+Structure-Aware+Generative+Rendering+for+Bi-Directional+Document+Translation,351
151,Method,Conference,Online Urdu Text-Line Recognition by Bridging Stroke Dynamics and Offline Representations,"Ali Hussain, Rafay Ahmad, Momina Moetesum, Adnan Ul-Hasan, Faisal Shafait",,,,https://scholar.google.com/scholar?q=%22Online+Urdu+Text-Line+Recognition+by+Bridging+Stroke+Dynamics+and+Offline+Representations%22,https://arxiv.org/search/?searchtype=title&query=Online+Urdu+Text-Line+Recognition+by+Bridging+Stroke+Dynamics+and+Offline+Representations,355
152,Method,Conference,MIDAS: Multi-LLM Iterative Data-Adaptive Summarization,"Karen Lee, Dhanashree Balaram, Seojun Shon, Umair Rasheed",Part IV,Poster Papers III,https://link.springer.com/chapter/10.1007/978-3-032-36042-7_12,https://scholar.google.com/scholar?q=%22MIDAS%3A+Multi-LLM+Iterative+Data-Adaptive+Summarization%22,https://arxiv.org/search/?searchtype=title&query=MIDAS%3A+Multi-LLM+Iterative+Data-Adaptive+Summarization,356
153,Dataset,Conference,Synth-JDoc: Synthesizing a Japanese Document Image Dataset for OCR with Diverse Layouts and Embedded Images,"Keito Sasagawa, Shuhei Kurita, Daisuke Kawahara",,,,https://scholar.google.com/scholar?q=%22Synth-JDoc%3A+Synthesizing+a+Japanese+Document+Image+Dataset+for+OCR+with+Diverse+Layouts+and+Embedded+Images%22,https://arxiv.org/search/?searchtype=title&query=Synth-JDoc%3A+Synthesizing+a+Japanese+Document+Image+Dataset+for+OCR+with+Diverse+Layouts+and+Embedded+Images,370
154,Method,Conference,Handwriting Trajectory Recovery with Diffusion Models,"Hiroki Nagamatsu, Shoji Toyota, Seiichi Uchida",Part I,Document Image Processing,https://link.springer.com/chapter/10.1007/978-3-032-36023-6_12,https://scholar.google.com/scholar?q=%22Handwriting+Trajectory+Recovery+with+Diffusion+Models%22,https://arxiv.org/search/?searchtype=title&query=Handwriting+Trajectory+Recovery+with+Diffusion+Models,379
155,Method,Conference,Beyond Labels: Visual Invariance in Self-Supervised Learning for Aramaic Incantation Bowls,"Nour Atamni, Boraq Madi, Islam Amar, Raid Saabni, Jihad El-Sana",,,,https://scholar.google.com/scholar?q=%22Beyond+Labels%3A+Visual+Invariance+in+Self-Supervised+Learning+for+Aramaic+Incantation+Bowls%22,https://arxiv.org/search/?searchtype=title&query=Beyond+Labels%3A+Visual+Invariance+in+Self-Supervised+Learning+for+Aramaic+Incantation+Bowls,380
156,Method,Conference,Agentic Document Reasoning for Evidence-Grounded Clinical Report Generation,"Hira Masood, Momina Moetesum, Muhammad Imran Malik, Faisal Shafait, Hassan Aqeel Khan",Part IV,Poster Papers III,https://link.springer.com/chapter/10.1007/978-3-032-36042-7_13,https://scholar.google.com/scholar?q=%22Agentic+Document+Reasoning+for+Evidence-Grounded+Clinical+Report+Generation%22,https://arxiv.org/search/?searchtype=title&query=Agentic+Document+Reasoning+for+Evidence-Grounded+Clinical+Report+Generation,384
157,Method,Conference,MultiFOLD: A Multimodal Framework to correct OCR Lapses in cluttered Documents,"Rajat Verma, Vriti Sharma, Manikandan Ravikiran, Rohit Saluja",,,,https://scholar.google.com/scholar?q=%22MultiFOLD%3A+A+Multimodal+Framework+to+correct+OCR+Lapses+in+cluttered+Documents%22,https://arxiv.org/search/?searchtype=title&query=MultiFOLD%3A+A+Multimodal+Framework+to+correct+OCR+Lapses+in+cluttered+Documents,385
158,Method,Conference,Figures as Evidence: Multi-Image Scientific Generation,"Jawad Ibn Ahad, Mritunjoy Chakraborty, Fuad Rahman, Sifat Momen, Shafin Rahman, Nabeel Mohammed",,,,https://scholar.google.com/scholar?q=%22Figures+as+Evidence%3A+Multi-Image+Scientific+Generation%22,https://arxiv.org/search/?searchtype=title&query=Figures+as+Evidence%3A+Multi-Image+Scientific+Generation,387
159,Method,Conference,Vision-Language Model based Transfer Learning for Historical Document Recognition,"Yifan Huang, Liangrui Peng, Tianqi Zhao, Di Wu, Kemeng Zhao, Shuo Li, Zhiyu Li, Yuyang Li",,,,https://scholar.google.com/scholar?q=%22Vision-Language+Model+based+Transfer+Learning+for+Historical+Document+Recognition%22,https://arxiv.org/search/?searchtype=title&query=Vision-Language+Model+based+Transfer+Learning+for+Historical+Document+Recognition,391
160,Dataset,Conference,Multilingual Table Recognition: A Benchmark Dataset and A Local–Global Hybrid Model,"Nam Tuan Ly, Atsuhiro Takasu, Masaki Nakagawa",,,,https://scholar.google.com/scholar?q=%22Multilingual+Table+Recognition%3A+A+Benchmark+Dataset+and+A+Local%E2%80%93Global+Hybrid+Model%22,https://arxiv.org/search/?searchtype=title&query=Multilingual+Table+Recognition%3A+A+Benchmark+Dataset+and+A+Local%E2%80%93Global+Hybrid+Model,393
