No,Type,Title,Authors,Volume,Issue,Published,Status,DOI,Paper_Link
1,Dataset,A Low-Intervention Dual-Loop Iterative Process for Efficient Dataset Expansion and Classification in Palm Leaf Manuscript Analysis,"Nimol Thuon, Jun Du, Panhapin Theang, Ratana Thuon",28.0,3.0,2025-5-18,Issue/Volume,10.1007/s10032-025-00532-y,https://doi.org/10.1007/s10032-025-00532-y
2,Dataset,Revisiting Table Detection Datasets for Visually Rich Documents,"Bin Xiao, Murat Simsek, Burak Kantarci, Ala Abu Alkheir",29.0,1.0,2025-5-23,Issue/Volume,10.1007/s10032-025-00527-9,https://doi.org/10.1007/s10032-025-00527-9
3,Dataset,The PARES Database: Information Extraction over Historical Parish Records,"José Andrés, Casey Wall, Solène Tarride, Mickaël Coustaty, Alejandro H. Toselli, Enrique Vidal",28.0,3.0,2025-5-28,Issue/Volume,10.1007/s10032-025-00531-z,https://doi.org/10.1007/s10032-025-00531-z
4,Dataset,Tabular context-aware optical character recognition and tabular data reconstruction for historical records,"Loitongbam Gyanendro Singh, Stuart E. Middleton",28.0,3.0,2025-7-1,Issue/Volume,10.1007/s10032-025-00543-9,https://doi.org/10.1007/s10032-025-00543-9
5,Dataset,A benchmark image dataset of unconstrained isolated Assamese handwritten compound characters,"Gaurab Khakhlari, Sanjib Kr. Kalita, Minakshi Gogoi, Rupjyoti Ray, Shikhar Kr. Sarma",29.0,1.0,2025-7-17,Issue/Volume,10.1007/s10032-025-00534-w,https://doi.org/10.1007/s10032-025-00534-w
6,Dataset,How well do MLLMs understand handwritten legal documents? A novel dataset for benchmarking,"Sagar Chakraborty, Gaurav Harit, Saptarshi Ghosh",29.0,2.0,2025-7-29,Issue/Volume,10.1007/s10032-025-00548-4,https://doi.org/10.1007/s10032-025-00548-4
7,Dataset,Exemplar sampling algorithm for instance incremental learning on imbalanced document datasets,"Tri-Cong Pham, Mickaël Coustaty, Aurélie Joseph, Gaspar Deloin, Vincent Poulain d’Andecy, Antoine Doucet",29.0,2.0,2025-7-31,Issue/Volume,10.1007/s10032-025-00549-3,https://doi.org/10.1007/s10032-025-00549-3
8,Dataset,ArchiteCAD: a large-scale architectural CAD dataset for symbol spotting towards CAD-to-BIM conversion,"Qian Zhao, Liangchen Zhou, Yu Wang, Pengxiang Wang, Qian Li",29.0,2.0,2025-9-16,Issue/Volume,10.1007/s10032-025-00557-3,https://doi.org/10.1007/s10032-025-00557-3
9,Dataset,HW-MLVQA: a novel handwritten multilingual dataset for visual question answering and evaluation,"Aniket Pal, Ajoy Mondal, C. V. Jawahar",29.0,2.0,2025-10-13,Issue/Volume,10.1007/s10032-025-00560-8,https://doi.org/10.1007/s10032-025-00560-8
10,Dataset,BoundingDocs: a Unified Dataset for Document Question Answering with Spatial Annotations,"Simone Giovannini, Fabio Coppini, Andrea Gemelli, Simone Marinai",29.0,2.0,2025-12-6,Issue/Volume,10.1007/s10032-025-00563-5,https://doi.org/10.1007/s10032-025-00563-5
