No,Type,Title,Authors,Track,Paper_Link,PDF_Link,arXiv_Link
1635,Method,Focal Plane Visual Feature Generation and Matching on a Pixel Processor Array,"Hongyi Zhang, Laurie Bose, Jianing Chen, Piotr Dudek, Walterio Mayol-Cuevas",Main,https://openaccess.thecvf.com/content/ICCV2025/html/Zhang_Focal_Plane_Visual_Feature_Generation_and_Matching_on_a_Pixel_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Zhang_Focal_Plane_Visual_Feature_Generation_and_Matching_on_a_Pixel_ICCV_2025_paper.pdf,
1636,Method,Q-Frame: Query-aware Frame Selection and Multi-Resolution Adaptation for Video-LLMs,"Shaojie Zhang, Jiahui Yang, Jianqin Yin, Zhenbo Luo, Jian Luan",Main,https://openaccess.thecvf.com/content/ICCV2025/html/Zhang_Q-Frame_Query-aware_Frame_Selection_and_Multi-Resolution_Adaptation_for_Video-LLMs_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Zhang_Q-Frame_Query-aware_Frame_Selection_and_Multi-Resolution_Adaptation_for_Video-LLMs_ICCV_2025_paper.pdf,
1637,Method,Prompt-driven Transferable Adversarial Attack on Person Re-Identification with Attribute-aware Textual Inversion,"Yuan Bian, Min Liu, Yunqi Yi, Xueping Wang, Shuai Jiang, Yaonan Wang",Main,https://openaccess.thecvf.com/content/ICCV2025/html/Bian_Prompt-driven_Transferable_Adversarial_Attack_on_Person_Re-Identification_with_Attribute-aware_Textual_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Bian_Prompt-driven_Transferable_Adversarial_Attack_on_Person_Re-Identification_with_Attribute-aware_Textual_ICCV_2025_paper.pdf,http://arxiv.org/abs/2502.19697
1638,Method,OV-SCAN: Semantically Consistent Alignment for Novel Object Discovery in Open-Vocabulary 3D Object Detection,"Adrian Chow, Evelien Riddell, Yimu Wang, Sean Sedwards, Krzysztof Czarnecki",Main,https://openaccess.thecvf.com/content/ICCV2025/html/Chow_OV-SCAN_Semantically_Consistent_Alignment_for_Novel_Object_Discovery_in_Open-Vocabulary_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Chow_OV-SCAN_Semantically_Consistent_Alignment_for_Novel_Object_Discovery_in_Open-Vocabulary_ICCV_2025_paper.pdf,
1639,Method,ContextFace: Generating Facial Expressions from Emotional Contexts,"Min-jung Kim, Minsang Kim, Seung Jun Baek",Main,https://openaccess.thecvf.com/content/ICCV2025/html/Kim_ContextFace_Generating_Facial_Expressions_from_Emotional_Contexts_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Kim_ContextFace_Generating_Facial_Expressions_from_Emotional_Contexts_ICCV_2025_paper.pdf,
1640,Method,MDP-Omni: Parameter-free Multimodal Depth Prior-based Sampling for Omnidirectional Stereo Matching,"Eunjin Son, HyungGi Jo, Wookyong Kwon, Sang Jun Lee",Main,https://openaccess.thecvf.com/content/ICCV2025/html/Son_MDP-Omni_Parameter-free_Multimodal_Depth_Prior-based_Sampling_for_Omnidirectional_Stereo_Matching_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Son_MDP-Omni_Parameter-free_Multimodal_Depth_Prior-based_Sampling_for_Omnidirectional_Stereo_Matching_ICCV_2025_paper.pdf,
1641,Method,The Inter-Intra Modal Measure: A Predictive Lens on Fine-Tuning Outcomes in Vision-Language Models,"Laura Niss, Kevin Vogt-Lowell, Theodoros Tsiligkaridis",Main,https://openaccess.thecvf.com/content/ICCV2025/html/Niss_The_Inter-Intra_Modal_Measure_A_Predictive_Lens_on_Fine-Tuning_Outcomes_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Niss_The_Inter-Intra_Modal_Measure_A_Predictive_Lens_on_Fine-Tuning_Outcomes_ICCV_2025_paper.pdf,http://arxiv.org/abs/2407.15731
1642,Method,Error Recognition in Procedural Videos using Generalized Task Graph,"Shih-Po Lee, Ehsan Elhamifar",Main,https://openaccess.thecvf.com/content/ICCV2025/html/Lee_Error_Recognition_in_Procedural_Videos_using_Generalized_Task_Graph_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Lee_Error_Recognition_in_Procedural_Videos_using_Generalized_Task_Graph_ICCV_2025_paper.pdf,
1643,Method,Reangle-A-Video: 4D Video Generation as Video-to-Video Translation,"Hyeonho Jeong, Suhyeon Lee, Jong Chul Ye",Main,https://openaccess.thecvf.com/content/ICCV2025/html/Jeong_Reangle-A-Video_4D_Video_Generation_as_Video-to-Video_Translation_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Jeong_Reangle-A-Video_4D_Video_Generation_as_Video-to-Video_Translation_ICCV_2025_paper.pdf,
1644,Method,Towards Scalable Spatial Intelligence via 2D-to-3D Data Lifting,"Xingyu Miao, Haoran Duan, Quanhao Qian, Jiuniu Wang, Yang Long, Ling Shao, Deli Zhao, Ran Xu, Gongjie Zhang",Main,https://openaccess.thecvf.com/content/ICCV2025/html/Miao_Towards_Scalable_Spatial_Intelligence_via_2D-to-3D_Data_Lifting_ICCV_2025_paper.html,https://openaccess.thecvf.com/content/ICCV2025/papers/Miao_Towards_Scalable_Spatial_Intelligence_via_2D-to-3D_Data_Lifting_ICCV_2025_paper.pdf,http://arxiv.org/abs/2507.18678
