No,Type,Title,Authors,Kind,Part,DOI,Paper_Link
21,Dataset,"ICDAR 2025 Competition on Historical Map Text Detection, Recognition, and Linking","Yijun Lin, Solenn Tual, Zekun Li, Leeje Jang, Yao-Yi Chiang, Jerod Weinman, Joseph Chazalon, Edwin Carlinet, Julien Perret, Nathalie Abadie, Bertrand Duménieu, Ta-Chien Chan, Hsiung-Ming Liao, Wen-Rong Su, Mengjie Zou, Tianhao Dai, Rémi Petitpierre, Beatrice Vaienti, Frederic Kaplan, Isabella di Lenardo, Youngmin Baek, Michael Hentschel, Yu Nakagome, Ichimura Shuta, Jeongtae Lee, Chankyu Choi",Competition,Part V (LNCS 16027),10.1007/978-3-032-04630-7_33,https://doi.org/10.1007/978-3-032-04630-7_33
22,Dataset,ICDAR 2025 Competition on FEw-Shot Text Line Segmentation of Ancient Handwritten Documents (FEST),"Silvia Zottin, Axel De Nardin, Giuseppe Branca, Claudio Piciarelli, Gian Luca Foresti",Competition,Part V (LNCS 16027),10.1007/978-3-032-04630-7_34,https://doi.org/10.1007/978-3-032-04630-7_34
23,Method,SFDLA: Source-Free Document Layout Analysis,"Sebastian Tewes, Yufan Chen, Omar Moured, Jiaming Zhang, Rainer Stiefelhagen",Full paper,Part I (LNCS 16023),10.1007/978-3-032-04614-7_1,https://doi.org/10.1007/978-3-032-04614-7_1
24,Method,HIP: Hierarchical Point Modeling and Pre-training for Visual Information Extraction,"Rujiao Long, Pengfei Wang, Zhibo Yang, Wenqing Cheng",Full paper,Part I (LNCS 16023),10.1007/978-3-032-04614-7_4,https://doi.org/10.1007/978-3-032-04614-7_4
25,Method,The Return of Structural Handwritten Mathematical Expression Recognition,"Jakob Seitz, Tobias Lengfeld, Radu Timofte",Full paper,Part I (LNCS 16023),10.1007/978-3-032-04614-7_5,https://doi.org/10.1007/978-3-032-04614-7_5
26,Method,PACM: Position-Aware Cross-Modality Decoder for Handwritten Mathematical Expression Recognition,"Zeng Li, Jin Wei, Zhijie Shen, Can Ma, Yaqiang Wu, Yu Zhou",Full paper,Part I (LNCS 16023),10.1007/978-3-032-04614-7_6,https://doi.org/10.1007/978-3-032-04614-7_6
27,Method,From Scribbles to Text: A Novel Transformer-Based Recognition Model for Child Handwriting,"Sahana Rangasrinivasan, Sumi Suresh M. S., Srirangaraj Setlur, Bharat Jayaraman, Venu Govindaraju",Full paper,Part I (LNCS 16023),10.1007/978-3-032-04614-7_7,https://doi.org/10.1007/978-3-032-04614-7_7
28,Method,DCC: Plug-and-Play Dynamic Category Compression for Enhanced Handwritten Text Generation,"Yiming Wang, Hongxi Wei, Heng Wang, Shiwen Sun",Full paper,Part I (LNCS 16023),10.1007/978-3-032-04614-7_8,https://doi.org/10.1007/978-3-032-04614-7_8
29,Method,Template-Guided Cascaded Diffusion for Stylized Handwritten Chinese Text-Line Generation,"Honglie Wang, Minsi Ren, Yan-Ming Zhang, Fei Yin, Cheng-Lin Liu",Full paper,Part I (LNCS 16023),10.1007/978-3-032-04614-7_9,https://doi.org/10.1007/978-3-032-04614-7_9
30,Method,FSTDiff: One-Shot Font Generation via Cross-Font Style Transformation Learning,"Shilin Li, Anna Zhu",Full paper,Part I (LNCS 16023),10.1007/978-3-032-04614-7_10,https://doi.org/10.1007/978-3-032-04614-7_10
