No,Type,Title,Authors,Decision,Paper_Link,PDF_Link
1,Dataset,CAPSUL: A Comprehensive Human Protein Benchmark for Subcellular Localization,"Yicheng Hu, Xinyu Lin, Shulin Li, Wenjie Wang, Fengbin ZHU, Fuli Feng",Accept (Poster),https://openreview.net/forum?id=wJn4WbvSpK,https://openreview.net/pdf?id=wJn4WbvSpK
2,Method,Play to Generalize: Learning to Reason Through Game Play,"Yunfei Xie, Yinsong Ma, Shiyi Lan, Alan Yuille, Junfei Xiao, Chen Wei",Accept (Poster),https://openreview.net/forum?id=u1tsgXPh2o,https://openreview.net/pdf?id=u1tsgXPh2o
3,Method,Quantized Gradient Projection for Memory-Efficient Continual Learning,"Dongjun Kim, Seohyeon Cha, Huancheng Chen, Chaining Wang, Haris Vikalo",Accept (Poster),https://openreview.net/forum?id=xJtxpJ6QdD,https://openreview.net/pdf?id=xJtxpJ6QdD
4,Method,Mixture of Mini Experts: Overcoming the Linear Layer Bottleneck in Multiple Instance Learning,"Daniel Shao, Joel Runevic, Richard Chen, Drew Williamson, Ahrong Kim, Andrew Song, Faisal Mahmood",Accept (Poster),https://openreview.net/forum?id=S5Io33pc78,https://openreview.net/pdf?id=S5Io33pc78
5,Method,Fast and Stable Riemannian Metrics on SPD Manifolds via Cholesky Product Geometry,"Ziheng Chen, Yue Song, Xiaojun Wu, Nicu Sebe",Accept (Poster),https://openreview.net/forum?id=5S8ruWKe8l,https://openreview.net/pdf?id=5S8ruWKe8l
6,Method,Confident Block Diagonal Structure-Aware Invariable Graph Completion for Incomplete Multi-view Clustering,"Shuping Zhao, Chen Yulong, Jie Wen, Lunke Fei, Jinrong Cui, Tingting Chai",Accept (Poster),https://openreview.net/forum?id=YS8zgtES48,https://openreview.net/pdf?id=YS8zgtES48
7,Method,Dual Perspectives on Non-Contrastive Self-Supervised Learning,"Jean Ponce, Basile Terver, Martial Hebert, Michael Arbel",Accept (Poster),https://openreview.net/forum?id=f5MC1G6XhB,https://openreview.net/pdf?id=f5MC1G6XhB
8,Method,Align Your Structures: Generating Trajectories with Structure Pretraining for Molecular Dynamics,"Aniketh Iyengar, Jiaqi Han, Pengwei Sun, Mingjian Jiang, Jianwen Xie, Stefano Ermon",Accept (Poster),https://openreview.net/forum?id=OKQYMeWlGa,https://openreview.net/pdf?id=OKQYMeWlGa
9,Method,Multi-ReduNet: Interpretable Class-Wise Decomposition of ReduNet,"Fengrong Li, Delin Chu",Accept (Poster),https://openreview.net/forum?id=wLcTAJ7DF9,https://openreview.net/pdf?id=wLcTAJ7DF9
10,Method,Pseudo-Non-Linear Data Augmentation: A Constrained Energy Minimization Viewpoint,"Pingbang Hu, Mahito Sugiyama",Accept (Poster),https://openreview.net/forum?id=p9A1oyktVB,https://openreview.net/pdf?id=p9A1oyktVB
11,Method,The Lie of the Average: How Class Incremental Learning Evaluation Deceives You?,"Guannan Lai, Da-Wei Zhou, Xin Yang, Han-Jia Ye",Accept (Poster),https://openreview.net/forum?id=19LHXi9uLw,https://openreview.net/pdf?id=19LHXi9uLw
12,Method,Statistical and structural identifiability in representation learning,"Walter Nelson, Marco Fumero, THEOFANIS KARALETSOS, Francesco Locatello",Accept (Poster),https://openreview.net/forum?id=Wa3cfE3Iay,https://openreview.net/pdf?id=Wa3cfE3Iay
13,Method,Adjusting Prediction Model Through Wasserstein Geodesic for Causal Inference,"Yuguang Yan, Haolin Yang, Zecong Chen, Weilin Chen, Ruichu Cai, Zhifeng Hao",Accept (Poster),https://openreview.net/forum?id=pYLoHuLV45,https://openreview.net/pdf?id=pYLoHuLV45
14,Method,"Fewer Battles, More Gain: An Information-Efficient Framework for Arena-based LLM Evaluation","Zirui Liu, Xianquan Wang, Yan Zhuang, Jiatong Li, Qi Liu, Shuanghong Shen, Mingyue Cheng, Shijin Wang",Accept (Poster),https://openreview.net/forum?id=XUVqFRp9oi,https://openreview.net/pdf?id=XUVqFRp9oi
15,Method,Pretraining Scaling Laws for Generative Evaluations of Language Models,"Rylan Schaeffer, Noam Levi, Brando Miranda, Sanmi Koyejo",Accept (Poster),https://openreview.net/forum?id=Ym33xJYINV,https://openreview.net/pdf?id=Ym33xJYINV
16,Method,TrajTok: What makes for a good trajectory tokenizer in behavior generation?,"Zhiyuan Zhang, Xiaosong Jia, Guanyu Chen, Qifeng Li, Zuxuan Wu, Yu-Gang Jiang, Junchi Yan",Accept (Poster),https://openreview.net/forum?id=Zvy2agYouY,https://openreview.net/pdf?id=Zvy2agYouY
17,Method,SELF-HARMONY: LEARNING TO HARMONIZE SELF-SUPERVISION AND SELF-PLAY IN TEST-TIME REINFORCEMENT LEARNING,"Ru Wang, Wei Huang, Qi Cao, Yusuke Iwasawa, Yutaka Matsuo, Jiaxian Guo",Accept (Poster),https://openreview.net/forum?id=ZzG6oJ5ehI,https://openreview.net/pdf?id=ZzG6oJ5ehI
18,Method,FastVGGT: Fast Visual Geometry Transformer,"You Shen, Zhipeng Zhang, Yansong Qu, Xiawu Zheng, Jiayi Ji, Shengchuan Zhang, Liujuan Cao",Accept (Poster),https://openreview.net/forum?id=asl8NJlIMe,https://openreview.net/pdf?id=asl8NJlIMe
19,Method,World2Minecraft: Occupancy-Driven Simulated Scenes Construction,"Lechao Zhang, Haoran Xu, Jingyu Gong, Xuhong Wang, Yuan Xie, Xin Tan",Accept (Poster),https://openreview.net/forum?id=dc90uPqxWF,https://openreview.net/pdf?id=dc90uPqxWF
20,Method,Decoupling Primitive with Experts: Dynamic Feature Alignment for Compositional Zero-Shot Learning,"Xiao Zhang, Haodong Jing, YONGQIANG MA, Nanning Zheng",Accept (Poster),https://openreview.net/forum?id=hUtTGobe1r,https://openreview.net/pdf?id=hUtTGobe1r
21,Method,Genie Envisioner: A Unified World Foundation Platform for Robotic Manipulation,"Yue Liao, Pengfei Zhou, Siyuan Huang, Donglin Yang, Shengcong Chen, Yuxin Jiang, Yue Hu, Si Liu, Jianlan Luo, Liliang Chen, Shuicheng YAN, Maoqing Yao, Guanghui Ren",Accept (Poster),https://openreview.net/forum?id=fHLtSxDFKC,https://openreview.net/pdf?id=fHLtSxDFKC
22,Method,Stop Wasting Your Tokens: Towards Efficient Runtime Multi-Agent Systems,"Fulin Lin, shaowen chen, Ruishan Fang, Hongwei Wang, Tao Lin",Accept (Poster),https://openreview.net/forum?id=pzFhtpkabh,https://openreview.net/pdf?id=pzFhtpkabh
23,Method,"It's All Just Vectorization: einx, a Universal Notation for Tensor Operations","Florian Fervers, Sebastian Bullinger, Christoph Bodensteiner, Michael Arens",Accept (Oral),https://openreview.net/forum?id=QqvQ3iAdpC,https://openreview.net/pdf?id=QqvQ3iAdpC
24,Method,Low-Pass Filtering Improves Behavioral Alignment of Vision Models,"Max Wolff, Thomas Klein, Evgenia Rusak, Felix Wichmann, Wieland Brendel",Accept (Poster),https://openreview.net/forum?id=YhgBy6jTR8,https://openreview.net/pdf?id=YhgBy6jTR8
25,Method,Hierarchy Decoding: A Training-free Parallel Decoding Strategy for Diffusion Large Language Models,"Xiaojing Qi, Lun Du, Xinyuan Zhang, Lanning Wei, Tao Jin, Da Zheng",Accept (Poster),https://openreview.net/forum?id=ZsIQUjQtdW,https://openreview.net/pdf?id=ZsIQUjQtdW
26,Method,GPG: A Simple and Strong Reinforcement Learning Baseline for Model Reasoning,"Xiangxiang Chu, Hailang Huang, Xiao Zhang, Fei Wei, Yong Wang",Accept (Poster),https://openreview.net/forum?id=inccdtfx8x,https://openreview.net/pdf?id=inccdtfx8x
27,Method,UniSS: Unified Expressive Speech-to-Speech Translation with Your Voice,"Sitong Cheng, Bianweizhen, Xinsheng Wang, Ruibin Yuan, Jianyi Chen, Shunshun Yin, Yike Guo, Wei Xue",Accept (Poster),https://openreview.net/forum?id=5o0ZvYzh6B,https://openreview.net/pdf?id=5o0ZvYzh6B
28,Method,Programming by Backprop: An Instruction is Worth 100 Examples When Finetuning LLMs,"Jonathan Cook, Silvia Sapora, Arash Ahmadian, Akbir Khan, Tim Rocktaeschel, Jakob Foerster, Laura Ruis",Accept (Poster),https://openreview.net/forum?id=y1OWj26FCo,https://openreview.net/pdf?id=y1OWj26FCo
29,Method,WSVD: Weighted Low-Rank Approximation for Fast and Efficient Execution of Low-Precision Vision-Language Models,"Haiyu Wang, Yutong Wang, Jack Jiang, Sai Qian Zhang",Accept (Poster),https://openreview.net/forum?id=zrmQ4koOw9,https://openreview.net/pdf?id=zrmQ4koOw9
30,Method,Scaling Laws Meet Model Architecture: Toward Inference-Efficient LLMs,"Song Bian, Tao Yu, Shivaram Venkataraman, Youngsuk Park",Accept (Poster),https://openreview.net/forum?id=0TmVqOpBbK,https://openreview.net/pdf?id=0TmVqOpBbK
31,Method,Text2Interact: High-Fidelity and Diverse Text-to-Two-Person Interaction Generation,"Qingxuan Wu, Zhiyang Dou, chuan guo, Yiming Huang, Qiao Feng, Bing Zhou, Jian Wang, Lingjie Liu",Accept (Poster),https://openreview.net/forum?id=cthzUgBUn7,https://openreview.net/pdf?id=cthzUgBUn7
32,Method,Know When to Abstain: Optimal Selective Classification with Likelihood Ratios,"Alvin Heng, Harold Soh",Accept (Poster),https://openreview.net/forum?id=RsfaFXBFzM,https://openreview.net/pdf?id=RsfaFXBFzM
33,Method,Sign-SGD via Parameter-Free Optimization,"Daniil Medyakov, Stanko Sergey, Gleb Molodtsov, Philip Zmushko, Grigoriy Evseev, Egor Petrov, Aleksandr Beznosikov",Accept (Poster),https://openreview.net/forum?id=yDLD3D95w3,https://openreview.net/pdf?id=yDLD3D95w3
34,Method,AdaCache: Adaptive Caching and Context Augmentation for Efficient LLM Serving,"Zihao Zeng, Siyi Li, Xinyu Yan, Lei Xiao, Wei Yang Bryan Lim",Accept (Poster),https://openreview.net/forum?id=Bmvx8ybDzo,https://openreview.net/pdf?id=Bmvx8ybDzo
35,Method,RepSpec: Structural Re-parameterized Draft Model Training for Speculative Decoding,"FEIYE HUO, Jianchao Tan, Jiahao Liu, Zixu Jiang, Jiacheng Li, Jingang Wang, Xunliang Cai, Shengli Sun",Accept (Poster),https://openreview.net/forum?id=bqEi97qzzz,https://openreview.net/pdf?id=bqEi97qzzz
36,Method,HiFo-Prompt: Prompting with Hindsight and Foresight for LLM-based Automatic Heuristic Design,"ChentongChen, Mengyuan Zhong, Jialong Shi, Jianyong Sun, Ye Fan",Accept (Poster),https://openreview.net/forum?id=imSLzfZ6av,https://openreview.net/pdf?id=imSLzfZ6av
37,Method,Unlocking the Potential of Weighting Methods in Federated Learning Through Communication Compression,"Valerii Parfenov, Nail Bashirov, Daniil Medyakov, Dmitry Bylinkin, Aleksandr Beznosikov",Accept (Poster),https://openreview.net/forum?id=zOWljZMbCm,https://openreview.net/pdf?id=zOWljZMbCm
