No,Type,Title,Authors,Track,Decision,Paper_Link,PDF_Link
61,Dataset,FrontierCS: Evolving Challenges for Evolving Intelligence,"Qiuyang Mang, Wenhao Chai, Zhifei Li, Huanzhi Mao, Shang Zhou, Alexander Du, Hanchen Li, Shu Liu, Edwin Chen, Yichuan Wang, Xieting Chu, Zerui Cheng, Yuan Xu, Tian Xia, Zirui Wang, Tianneng Shi, Jianzhu Yao, Yilong Zhao, Qizheng Zhang, Charlie Ruan, Zeyu Shen, Kaiyuan Liu, Zhaoyang Hong, Alex Gu, Ziyi Zhang, Runyuan He, Dong Xing, Zerui Li, Zirong Zeng, Yige Jiang, Lufeng Cheng, Ziyi Zhao, Youran Sun, Suyang Zhong, Junpeng Wang, Donglin Li, Wenyuan Huang, Jialiang Gu, Wesley Zheng, Wangmeiyu Zhang, Ruyi Ji, Xuechang Tu, Zihan Zheng, Zhaozi Wang, Zexing Chen, Jingbang Chen, JIALU ZHANG, Aleksandra Korolova, Peter Henderson, Pramod Viswanath, Vijay Ganesh, Saining Xie, Zhuang Liu, Dawn Song, Sewon Min, Ion Stoica, Joseph E Gonzalez, Jingbo Shang, Alvin Cheung",Main,Accept (regular),https://openreview.net/forum?id=qNlU88p8lP,https://openreview.net/pdf?id=qNlU88p8lP
62,Dataset,UltraHorizon: Benchmarking LLM-Agent Capabilities in Ultra Long-Horizon Scenarios,"Haotian Luo, Huaisong Zhang, Xuelin Zhang, Haoyu Wang, Zeyu Qin, Wenjie Lu, Guozheng Ma, Haiying He, Yingsha Xie, Qiyang Zhou, Zixuan Hu, Hongze Mi, Yibo Wang, Naiqiang Tan, Hong Chen, Yi Fung, Chun Yuan, Li Shen",Main,Accept (regular),https://openreview.net/forum?id=qRNtMWrTvo,https://openreview.net/pdf?id=qRNtMWrTvo
63,Dataset,GeoLoom: High-quality Geometric Diagram Generation from Textual Input,"Xiaojing Wei, Ting Zhang, Wei He, Jingdong Wang, Hua Huang",Main,Accept (regular),https://openreview.net/forum?id=pwf3iLt9Wr,https://openreview.net/pdf?id=pwf3iLt9Wr
64,Dataset,Investigating Advanced Reasoning of Large Language Models via Black-Box Environment Interaction,"Congchi Yin, Tianyi Wu, Yankai Shu, Alex Gu, Yun Wang, Jun Shao, xun jiang, Piji Li",Main,Accept (regular),https://openreview.net/forum?id=pLLWX35m6O,https://openreview.net/pdf?id=pLLWX35m6O
65,Dataset,Eating for a Sustainable Planet: Personalized Sustainable Diet Recommendation via Constraint-Aware Decision-Making Modeling,"Ying Jin, Weiqing Min, Mingyu Huang, Shuqiang Jiang",Main,Accept (regular),https://openreview.net/forum?id=oR2LJhbClR,https://openreview.net/pdf?id=oR2LJhbClR
66,Dataset,Trajectory-Aware Spiking DiTs Conversion via Membrane Potential Error-Feedback,"Haoran Fang, Tianxing Man, Xingchen Li, Wanli Shi, Jinjie Fang, Bin Gu",Main,Accept (regular),https://openreview.net/forum?id=nsd26wlIGP,https://openreview.net/pdf?id=nsd26wlIGP
67,Dataset,Benchmarking and Improving Fine-Grained Text-to-Image Alignment via Paired Reinforcement Learning,"Kaihang Pan, Wendong Bu, Yuruo Wu, Kai Shen, Yang Wu, Yun Zhu, Zehan Wang, liyunfei, ZhaoHang, Juncheng Li, Siliang Tang",Main,Accept (regular),https://openreview.net/forum?id=nC1A9GSm3S,https://openreview.net/pdf?id=nC1A9GSm3S
68,Dataset,UFO: Chain-of-Evaluation for Omni-Condition Alignment in Multi-Modal Image Generation,"Danning Zhang, Yijing Lin, Shuhan Zhuang, Mengqi Huang, Shaojin Wu, Shancheng Fang, Zhendong Mao",Main,Accept (regular),https://openreview.net/forum?id=mporzu6RNi,https://openreview.net/pdf?id=mporzu6RNi
69,Dataset,G$^2$TAM: Geometry Grounded Track Anything Model,"Chenming Zhu, Peizhou Cao, Jingli Lin, Wenbo Hu, Yunlong Ran, Jiangmiao Pang, Tai Wang, Xihui Liu",Main,Accept (regular),https://openreview.net/forum?id=mkguKl16Ou,https://openreview.net/pdf?id=mkguKl16Ou
70,Dataset,A²RBench: An Automatic Paradigm for Formally Verifiable Abstract Reasoning Benchmark Generation,"Qingchuan Ma, Yuexiao Ma, Yongkang Xie, Tianyu Xie, Xiawu Zheng, Rongrong Ji",Main,Accept (regular),https://openreview.net/forum?id=mD8DMkl7Tu,https://openreview.net/pdf?id=mD8DMkl7Tu
71,Dataset,Meerkat-VL: Implicit Risk Safety Alignment in Multimodal LLMs via Perceptual Reasoning and Self-Verification,"Peicheng Zhou, Chuanbin Liu, Shancheng Fang, Bowei Pu, Yiwei Sun, Zhangchi Hu, Hongtao Xie",Main,Accept (regular),https://openreview.net/forum?id=lbaBsu0CaY,https://openreview.net/pdf?id=lbaBsu0CaY
72,Dataset,FIRE: Learning to Navigate and Act on Real-World Files via Stateful Reinforcement Learning,"Jingyuan Ma, Zheng Li, Rui Li, Siyao Song, Ying Zeng, MINGHAO LI, Zhifang Sui",Main,Accept (regular),https://openreview.net/forum?id=lHVxzhqYai,https://openreview.net/pdf?id=lHVxzhqYai
73,Dataset,TexEditor: Structure-Preserving Text-Driven Texture Editing,"Bo Zhao, Yihang Liu, Chenfeng Zhang, Huan Yang, Kun Gai, Wei Ji",Main,Accept (regular),https://openreview.net/forum?id=kxUb6VuYbY,https://openreview.net/pdf?id=kxUb6VuYbY
74,Dataset,Anchoring Self-Play for Code Repair,"Caroline Choi, Zeyneb Kaya, Shirley Wu, Tengyu Ma, Tatsunori Hashimoto, Ludwig Schmidt",Main,Accept (regular),https://openreview.net/forum?id=kJ6dvGnV2f,https://openreview.net/pdf?id=kJ6dvGnV2f
75,Dataset,MultiHal: Multilingual Dataset for Knowledge-Graph Grounded Evaluation of LLM Hallucinations,"Ernests Lavrinovics, Russa Biswas, Katja Hose, Johannes Bjerva",Main,Accept (regular),https://openreview.net/forum?id=kGSwStubjL,https://openreview.net/pdf?id=kGSwStubjL
76,Dataset,Towards High-Fidelity CAD Generation via LLM-Driven Program Generation and Text-Based B-Rep Primitive Grounding,"Jiahao Li, Qingwang Zhang, Qiuyu Chen, Guozhan Qiu, Yunzhong Lou, Xiangdong Zhou",Main,Accept (spotlight),https://openreview.net/forum?id=jfOhTGs5G5,https://openreview.net/pdf?id=jfOhTGs5G5
77,Dataset,Turning Drift into Constraint: Robust Reasoning Alignment in Non-Stationary Multi-Stream Environments,"Xiaoyu Yang, En Yu, Wei Duan, Jie Lu",Main,Accept (regular),https://openreview.net/forum?id=jgebUtw1lA,https://openreview.net/pdf?id=jgebUtw1lA
78,Dataset,RoboTwin 2.0: A Scalable Data Generator and Benchmark with Strong Domain Randomization for Robust Bimanual Robotic Manipulation,"Tianxing Chen, Zanxin Chen, Baijun Chen, Zijian Cai, Yibin Liu, Zixuan Li, Qiwei Liang, Xianliang Lin, Yiheng Ge, Zhenyu Gu, Weiliang Deng, Yubin Guo, Tian Nian, Xuanbing Xie, Qiangyu Chen, KailunSu, Tianling Xu, Guodong Liu, Mengkang Hu, Huan-ang Gao, Kaixuan Wang, Zhixuan Liang, Yusen Qin, Xiaokang Yang, Ping Luo, Yao Mu",Main,Accept (regular),https://openreview.net/forum?id=itonej9GIV,https://openreview.net/pdf?id=itonej9GIV
79,Dataset,Med-Scout: Curing MLLMs' Geometric Blindness in Medical Perception via Geometry-Aware RL Post-Training,"Anglin Liu, Ruichao Chen, Yi Lu, Hongxia Xu, Jintai Chen",Main,Accept (regular),https://openreview.net/forum?id=iTkQLqa1Ha,https://openreview.net/pdf?id=iTkQLqa1Ha
80,Dataset,Unsafer in Many Turns: Benchmarking and Defending Multi-Turn Safety Risks in Tool-Using Agents,"Xu Li, Simon Yu, Minzhou Pan, Yiyou Sun, Bo Li, Dawn Song, Xue Lin, Weiyan Shi",Main,Accept (regular),https://openreview.net/forum?id=iSuqYRmG4A,https://openreview.net/pdf?id=iSuqYRmG4A
81,Dataset,Position: Stop Using Culturally Biased Human Cognitive Benchmarks to Evaluate LLMs,Carla Troper,Position,Accept (regular),https://openreview.net/forum?id=XZe75SZOLk,https://openreview.net/pdf?id=XZe75SZOLk
82,Dataset,One Batch Is Enough: A Unified Dataset Condensation Framework for General Time Series Analysis,"Wei Shao, Ziquan Fang, Zheqi Lu, Yongfeng Su, Yuzhu Wang, Yunjun Gao",Main,Accept (regular),https://openreview.net/forum?id=i8FO7f2OYJ,https://openreview.net/pdf?id=i8FO7f2OYJ
83,Dataset,Towards One-to-Many Temporal Grounding,"Qi Xu, Tan Yue, Shihao Chen, Jiahao Meng, Anran Wang, Shunping Ji, Hao Fei, Xiangtai Li",Main,Accept (regular),https://openreview.net/forum?id=hrZCqzmsPW,https://openreview.net/pdf?id=hrZCqzmsPW
84,Dataset,SPADA: A Verifiable Test-Driven Agent for Controllable Parametric CAD Assembly Generation,"Keyou Zheng, Xuyang Su, Jiewu Leng",Main,Accept (regular),https://openreview.net/forum?id=hnV1ku7cd0,https://openreview.net/pdf?id=hnV1ku7cd0
85,Dataset,"Beyond Theorem Proving: Formulation, Framework and Benchmark for Formal Problem-Solving","Qi Liu, Xinhao Zheng, Renqiu Xia, Xingzhi Qi, Qinxiang Cao, Junchi Yan",Main,Accept (spotlight),https://openreview.net/forum?id=hgMZraPlSv,https://openreview.net/pdf?id=hgMZraPlSv
86,Dataset,FiRE: Fine-grained Ranking Evaluation for Machine Translation,"Wenyang Gao, Yinghao Yang, Xi Jin, Jing Li, Yue Zhang",Main,Accept (regular),https://openreview.net/forum?id=hIATBu13gC,https://openreview.net/pdf?id=hIATBu13gC
87,Dataset,Reasoning LLM Improves Speaker Recognition in Long-form TV Dramas,"Yuxuan Li, Lingxi Xie, Xinyue Huo, Jihao Qiu, Jiacheng Shao, Pengfei Chen, Jiannan Ge, Kaiwen Duan, Qi Tian",Main,Accept (regular),https://openreview.net/forum?id=h3TLVeukMA,https://openreview.net/pdf?id=h3TLVeukMA
88,Dataset,Attention Hijacking: Backdooring Text Dataset Distillation via Semantic Anchors,"Hang Ren, Xin Wang, Tong Yue, Chen Wen, Junqing Le",Main,Accept (regular),https://openreview.net/forum?id=g4BWfkULIo,https://openreview.net/pdf?id=g4BWfkULIo
89,Dataset,StormInsight: Hierarchical Environmental Forcing and Vertical Coupling for Weather System Evolution,"Jun Chen, Yan Fang, Minghui Qiu, Yueran Qiu, Lin CHEN, Shuxin Zhong, Yu ZHANG, Kaishun WU",Main,Accept (regular),https://openreview.net/forum?id=fYLR5f1Xq2,https://openreview.net/pdf?id=fYLR5f1Xq2
90,Dataset,RADAR: Defending RAG Dynamically against Retrieval Corruption,"Ziyuan Chen, Yueming Lyu, Yi Liu, Weixiang Han, JING DONG, Caifeng Shan, Tieniu Tan",Main,Accept (regular),https://openreview.net/forum?id=fT3laNA1AO,https://openreview.net/pdf?id=fT3laNA1AO
91,Dataset,LiveOIBench: Can Large Language Models Outperform Human Contestants in Informatics Olympiads?,"Kaijian Zou, Feiyang Xiong, Yunxiang Zhang, Xinliang Frederick Zhang, Yueqi Ren, Jirong Yang, Ayoung Lee, Shitanshu Bhushan, Lu Wang",Main,Accept (regular),https://openreview.net/forum?id=DKoycSNd9W,https://openreview.net/pdf?id=DKoycSNd9W
92,Dataset,WISE: World Knowledge-Informed Semantic Evaluation for Text-to-Image Generation,"Yuwei Niu, Munan Ning, Mengren Zheng, Weiyang Jin, Bin Lin, Peng Jin, Jiaqi Liao, Chaoran Feng, Fanqing Meng, Kun-Peng Ning, Bin Zhu, Li Yuan",Main,Accept (regular),https://openreview.net/forum?id=f1q8dFnxtY,https://openreview.net/pdf?id=f1q8dFnxtY
93,Dataset,From Talking to Singing: A New Challenge for Audio-Visual Deepfake Detection,"Ke Liu, Jiwei Wei, Wenyu Zhang, Shuchang Zhou, Ruikun Chai, Yutao Dai, Chaoning Zhang, Yang Yang",Main,Accept (regular),https://openreview.net/forum?id=eZAos1ZGdz,https://openreview.net/pdf?id=eZAos1ZGdz
94,Dataset,SWE-ABS: Adversarial Benchmark Strengthening Exposes Inflated Success Rates on Test-based Benchmark,"Boxi Yu, Yang Cao, Yuzhong Zhang, Liting Lin, Junjielong Xu, Zhiqing Zhong, Qinghua Xu, Guancheng Wang, Jialun Cao, Shing-Chi Cheung, Pinjia He, Lionel BRIAND",Main,Accept (regular),https://openreview.net/forum?id=eWzojJ9SGF,https://openreview.net/pdf?id=eWzojJ9SGF
95,Dataset,Tokenised Flow Matching for Hierarchical Simulation Based Inference,"Giovanni Charles, Cosmo Santoni, Seth Flaxman, Elizaveta Semenova",Main,Accept (regular),https://openreview.net/forum?id=dblO6FgIvc,https://openreview.net/pdf?id=dblO6FgIvc
96,Dataset,Are Two Datasets Close Enough With Statistical Significance? A Kernel Distributional Closeness Testing Approach,"Zhijian Zhou, Liuhua Peng, Xunye Tian, Mingming Gong, Feng Liu",Main,Accept (regular),https://openreview.net/forum?id=dWuxvV7ekd,https://openreview.net/pdf?id=dWuxvV7ekd
97,Dataset,DetailMaster: Can Your Text-to-Image Model Handle Long Prompts?,"Qirui Jiao, Daoyuan Chen, Yilun Huang, Xika Lin, Ying Shen, Yaliang Li",Main,Accept (regular),https://openreview.net/forum?id=dHH6UrXIQ5,https://openreview.net/pdf?id=dHH6UrXIQ5
98,Dataset,Exploring 3D Dataset Pruning,"Xiaohan Zhao, Xinyi Shang, Jiacheng Liu, Zhiqiang Shen",Main,Accept (regular),https://openreview.net/forum?id=c6vW2XQqq9,https://openreview.net/pdf?id=c6vW2XQqq9
99,Dataset,FloorplanQA: A Benchmark for Spatial Reasoning in LLMs using Structured Representations,"Fedor Rodionov, Abdelrahman Eldesokey, Michael Birsak, John Femiani, Bernard Ghanem, Peter Wonka",Main,Accept (regular),https://openreview.net/forum?id=bcN12UkftY,https://openreview.net/pdf?id=bcN12UkftY
100,Dataset,CRAMER: Control via Request-Aware Masking for Editing Recommenders,"Zhiyuan Su, Naihe Feng, Zhen (Luther) Qin, Ga Wu",Main,Accept (regular),https://openreview.net/forum?id=bNL5b87dVr,https://openreview.net/pdf?id=bNL5b87dVr
101,Dataset,"Decompose, Structure, and Repair: A Neuro-Symbolic Framework for Autoformalization via Operator Trees","Xiaoyang Liu, Zineng Dong, Yifan Bai, Yantao Li, Yuntian Liu, Tao Luo",Main,Accept (regular),https://openreview.net/forum?id=b9PBqFgXp6,https://openreview.net/pdf?id=b9PBqFgXp6
102,Dataset,Hugging Carbon: Quantifying the Training Carbon Emissions of AI Models at Scale,"Xinlei Wang, Ruibo Ming, Jing Qiu, Junhua Zhao, Jinjin Gu",Main,Accept (regular),https://openreview.net/forum?id=b8UehNjsF3,https://openreview.net/pdf?id=b8UehNjsF3
103,Dataset,Rethinking Multimodal Time-Series Forecasting Evaluation,"Haoxin Liu, Yichen Zhou, Rajat Sen, B. Aditya Prakash, Abhimanyu Das",Main,Accept (regular),https://openreview.net/forum?id=auG2Cr76ed,https://openreview.net/pdf?id=auG2Cr76ed
104,Dataset,PixCLIP: Towards Fine-grained Vision-Language Understanding via Any-granularity Pixel-Text Alignment,"Yicheng Xiao, Yu Chen, Hao-Xuan Ma, Jiale Hong, Caorui Li, Lingxiang Wu, Haiyun Guo, Jinqiao Wang",Main,Accept (regular),https://openreview.net/forum?id=ao1SgPdAQm,https://openreview.net/pdf?id=ao1SgPdAQm
105,Dataset,Graph Alignment for Benchmarking Graph Neural Networks and Learning Positional Encodings,"Adrien Lagesse, Marc Lelarge",Main,Accept (regular),https://openreview.net/forum?id=alkWXGgvYP,https://openreview.net/pdf?id=alkWXGgvYP
106,Dataset,"IQA-Spider: Unifying Multi-Granularity Image Quality Assessment with Reasoning, Grounding and Referring","Xinge Peng, Yiting Lu, Xin Li, Zhibo Chen",Main,Accept (regular),https://openreview.net/forum?id=aOxTMMLYuP,https://openreview.net/pdf?id=aOxTMMLYuP
107,Dataset,AICrypto: Evaluating Cryptography Capabilities of Large Language Models,"Yu Wang, Yijian Liu, Liheng Ji, Han Luo, Wenjie Li, Xiaofei Zhou, Chiyun Feng, Puji Wang, Yuhan Cao, Geyuan Zhang, Xiaojian Li, Rongwu Xu, Yilei Chen, Tianxing He",Main,Accept (regular),https://openreview.net/forum?id=aGhhrgnyLJ,https://openreview.net/pdf?id=aGhhrgnyLJ
108,Dataset,Selecting Samples on Graphs: A Unified Dataset Pruning Framework for Lossless Training Acceleration,"Dongyue Wu, Zilin Guo, Xiaoyu Li, Jiajia Liu, Jingdong Chen, Nong Sang, Changxin Gao",Main,Accept (regular),https://openreview.net/forum?id=a3GdvuPItd,https://openreview.net/pdf?id=a3GdvuPItd
109,Dataset,"Scaling, Benchmarking, and Reasoning of Vision-Language Agents for Mobile GUI Navigation","Heng Qu, Yike Liu, Renren Jin, Wenzong Zhang, Pengzhi Gao, Wei Liu, Jian Luan",Main,Accept (regular),https://openreview.net/forum?id=Zyjrz6R7zn,https://openreview.net/pdf?id=Zyjrz6R7zn
110,Dataset,Embodied-DETR: End-to-End Temporal 3D Object Detection in Egocentric Views,"Ziheng Ding, Xiaze Zhang, Yuejie Zhang, lifeng chen, Rui Feng",Main,Accept (regular),https://openreview.net/forum?id=ZEODIzlKwZ,https://openreview.net/pdf?id=ZEODIzlKwZ
111,Dataset,Orchestrating Spatial Semantics via a Zone-Graph Paradigm for Intricate Indoor Scene Generation,"Meisheng Zhang, Shizhao Sun, Yang Zhao, Ziyuan Liu, Zhijun Gao, Jiang Bian",Main,Accept (regular),https://openreview.net/forum?id=Z3cAYsB72W,https://openreview.net/pdf?id=Z3cAYsB72W
112,Dataset,Efficient Multi-modal Dataset Distillation via Analytic Parameter Matching,"Deyu Bo, Xinchao Wang",Main,Accept (regular),https://openreview.net/forum?id=Yh4dMR5mJ0,https://openreview.net/pdf?id=Yh4dMR5mJ0
113,Dataset,Reward Hacking Benchmark: Measuring Exploits in LLM Agents with Tool Use,Kunvar Thaman,Main,Accept (regular),https://openreview.net/forum?id=YMA0ByEdVj,https://openreview.net/pdf?id=YMA0ByEdVj
114,Dataset,Mind Your Margin and Boundary: Are Your Distilled Datasets Truly Robust?,"Muquan Li, Yingyi Ma, Yihong Huang, Hang Gou, KE QIN, Ming Li, Yuan-Fang Li, Tao He",Main,Accept (spotlight),https://openreview.net/forum?id=Y3K0pPyVcs,https://openreview.net/pdf?id=Y3K0pPyVcs
115,Dataset,Debate with Images: Detecting Deceptive Behaviors in Multimodal Large Language Models,"Sitong Fang, Shiyi Hou, Kaile Wang, Boyuan Chen, Donghai Hong, Jiayi Zhou, Juntao Dai, Yaodong Yang, Jiaming Ji",Main,Accept (regular),https://openreview.net/forum?id=XgvVGrvhuv,https://openreview.net/pdf?id=XgvVGrvhuv
116,Dataset,Beyond Benchmarks: Toward Causally Faithful Evaluation of Large Language Models,"Zhengshuyuan Tian, Wanling Gao, Chuanxin Lan, Chenxi Wang, Lei Wang, Guoxin Kang, Zhengxin Yang, Yunyou Huang, Xuehai Hong, Jianfeng Zhan",Main,Accept (regular),https://openreview.net/forum?id=XAp0VUy20q,https://openreview.net/pdf?id=XAp0VUy20q
117,Dataset,Building Social World Model with Large Language Models,"Haofei Yu, Yining Zhao, Guanyu Lin, Jiaxuan You",Main,Accept (regular),https://openreview.net/forum?id=Wxqr2fkZmX,https://openreview.net/pdf?id=Wxqr2fkZmX
118,Dataset,FT-Dojo: Towards Autonomous LLM Fine-Tuning with Language Agents,"Qizheng Li, Yifei Zhang, Xiao Yang, Xu Yang, Zhuo Wang, Bowen Xian, Weiqing Liu, Jiang Bian",Main,Accept (regular),https://openreview.net/forum?id=Ws2RhhBir4,https://openreview.net/pdf?id=Ws2RhhBir4
