No,Type,Title,Authors,Volume,Issue,Published,Status,DOI,Paper_Link
111,Method,SwapInpaint2: Towards high structural consistency in identity-guided inpainting via background-preserving GAN inversion,"Honglei Li, Yifan Zhang, Wenmin Wang, Shenyong Zhang, Shixiong Zhang",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.110969,https://doi.org/10.1016/j.patcog.2024.110969
112,Method,NLA-GNN: Non-local information aggregated graph neural network for heterogeneous graph embedding,"Siheng Wang, Guitao Cao, Wenming Cao, Yan Li",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.110940,https://doi.org/10.1016/j.patcog.2024.110940
113,Method,Semantic-Constraint Matching for transformer-based weakly supervised object localization,"Yiwen Cao, Yukun Su, Wenjun Wang, Yanxia Liu, Qingyao Wu",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.110971,https://doi.org/10.1016/j.patcog.2024.110971
114,Method,Joint estimation for multisource Gaussian graphical models based on transfer learning,"Yuqi Zhang, Yuehan Yang",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.110964,https://doi.org/10.1016/j.patcog.2024.110964
115,Method,Driving mutual advancement of 3D reconstruction and inpainting for masked faces,"Guosong Zhu, Zhen Qin, Erqiang Zhou, Yi Ding, Zhiguang Qin",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.110975,https://doi.org/10.1016/j.patcog.2024.110975
116,Method,Masked contrastive graph representation learning for age estimation,"Yuntao Shou, Xiangyong Cao, Huan Liu, Deyu Meng",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.110974,https://doi.org/10.1016/j.patcog.2024.110974
117,Method,TBNet: A texture and boundary-aware network for small weak object detection in remote-sensing imagery,"Zheng Li, Yongcheng Wang, Dongdong Xu, Yunxiao Gao, Tianqi Zhao",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.110976,https://doi.org/10.1016/j.patcog.2024.110976
118,Method,A coded knowledge distillation framework for image classification based on adaptive JPEG encoding,"Ahmed H. Salamah, Shayan Mohajer Hamidi, En-Hui Yang",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.110966,https://doi.org/10.1016/j.patcog.2024.110966
119,Method,HTR-VT: Handwritten text recognition with vision transformer,"Yuting Li, Dexiong Chen, Tinglong Tang, Xi Shen",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.110967,https://doi.org/10.1016/j.patcog.2024.110967
120,Method,Object matching of visible–infrared image based on attention mechanism and feature fusion,"Wuxin Li, Qian Chen, Guohua Gu, Xiubao Sui",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.110972,https://doi.org/10.1016/j.patcog.2024.110972
121,Method,ASF-Net: Robust video deraining via temporal alignment and online adaptive learning,"Xinwei Xue, Jia He, Long Ma, Xiangyu Meng, Wenlin Li, Risheng Liu",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.110973,https://doi.org/10.1016/j.patcog.2024.110973
122,Method,Dealing with partial labels by knowledge distillation,"Guangtai Wang, Jintao Huang, Yiqiang Lai, Chi-Man Vong",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.110965,https://doi.org/10.1016/j.patcog.2024.110965
123,Method,Trajectory-User Linking via Multi-Scale Graph Attention Network,"Yujie Li, Tao Sun, Zezhi Shao, Yiqiang Zhen, Yongjun Xu, Fei Wang",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.110978,https://doi.org/10.1016/j.patcog.2024.110978
124,Method,Defending adversarial attacks in Graph Neural Networks via tensor enhancement,"Jianfu Zhang, Yan Hong, Dawei Cheng, Liqing Zhang, Qibin Zhao",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.110954,https://doi.org/10.1016/j.patcog.2024.110954
125,Method,GC3: Grouped convolutional color constancy,"Song Zhengguang, Li Zhijiang, Cao Liqin, Jiao Lei, Zhang Xuan",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.110957,https://doi.org/10.1016/j.patcog.2024.110957
126,Method,Group link prediction in bipartite graphs with graph neural networks,"Shijie Luo, He Li, Jianbin Huang, Xiaoke Ma, Jiangtao Cui, Shaojie Qiao, Jaesoo Yoo",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.110977,https://doi.org/10.1016/j.patcog.2024.110977
127,Method,ERAT:Eyeglasses removal with attention,"Haitao Zhang, Jingtao Guo",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.110970,https://doi.org/10.1016/j.patcog.2024.110970
128,Method,Target recognition via discriminant information and geometrical structure co-learning using radar sensor network,"Hao Wan, Xu Si, Peikun Zhu, Jing Liang",157,,2025-1,Issue/Volume,10.1016/j.patcog.2024.110931,https://doi.org/10.1016/j.patcog.2024.110931
129,Method,Global attention module and cascade fusion network for steel surface defect detection,"Guanghu Liu, Maoxiang Chu, Rongfen Gong, Zehao Zheng",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.110979,https://doi.org/10.1016/j.patcog.2024.110979
130,Method,Homogeneous and heterogeneous relational graph for visible-infrared person re-identification,"Yujian Feng, Feng Chen, Jian Yu, Yimu Ji, Fei Wu, Shangdon Liu, Xiao-Yuan Jing",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.110981,https://doi.org/10.1016/j.patcog.2024.110981
131,Method,Webly supervised 3D shape recognition,"Xizhong Yang, Qi Guo, Wenbin Chen, Mofei Song",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.110982,https://doi.org/10.1016/j.patcog.2024.110982
132,Method,MSNet: Multi-Scale Network for Object Detection in Remote Sensing Images,"Tao Gao, Shilin Xia, Mengkun Liu, Jing Zhang, Ting Chen, Ziqi Li",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.110983,https://doi.org/10.1016/j.patcog.2024.110983
133,Method,Preterm infant limb movement recognition with graph and convolution fusion network,"Xianfu Bao, Xiaofeng Guo, Peng Lin, Huafei Huang, Jiuwen Cao",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.110980,https://doi.org/10.1016/j.patcog.2024.110980
134,Method,ZooKT: Task-adaptive knowledge transfer of Model Zoo for few-shot learning,"Baoquan Zhang, Bingqi Shan, Aoxue Li, Chuyao Luo, Yunming Ye, Zhenguo Li",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.110960,https://doi.org/10.1016/j.patcog.2024.110960
135,Method,Quaternion Nuclear Norm Minus Frobenius Norm Minimization for color image reconstruction,"Yu Guo, Guoqing Chen, Tieyong Zeng, Qiyu Jin, Michael Kwok-Po Ng",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.110986,https://doi.org/10.1016/j.patcog.2024.110986
136,Method,TFformer: A time–frequency domain bidirectional sequence-level attention based transformer for interpretable long-term sequence forecasting,"Tianlong Zhao, Lexin Fang, Xiang Ma, Xuemei Li, Caiming Zhang",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.110994,https://doi.org/10.1016/j.patcog.2024.110994
137,Method,Residual k-Nearest Neighbors Label Distribution Learning,"Jing Wang, Fu Feng, Jianhui Lv, Xin Geng",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.111006,https://doi.org/10.1016/j.patcog.2024.111006
138,Method,PSSS-EEG: A Probabilistic-masking Self-Supervised Swin-transformer model for EEG-based drowsiness recognition,"Jiaming Zhang, Fangzuo Zhang, Hongtao Wei",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.111005,https://doi.org/10.1016/j.patcog.2024.111005
139,Method,A novel multi-modal fusion method based on uncertainty-guided meta-learning,"Duoyi Zhang, Md Abul Bashar, Richi Nayak",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.110993,https://doi.org/10.1016/j.patcog.2024.110993
140,Method,MNN: Mixed nearest-neighbors for self-supervised learning,"Xianzhong Long, Chen Peng, Yun Li",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.110998,https://doi.org/10.1016/j.patcog.2024.110998
141,Method,Low-rank sparse fully-connected tensor network for tensor completion,"Jinshi Yu, Zhifu Li, Ge Ma, Jingwen Wang, Tao Zou, Guoxu Zhou",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.111000,https://doi.org/10.1016/j.patcog.2024.111000
142,Method,Dynamic convolutional time series forecasting based on adaptive temporal bilateral filtering,"Dandan Zhang, Zhiqiang Zhang, Nanguang Chen, Yun Wang",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.110985,https://doi.org/10.1016/j.patcog.2024.110985
143,Method,Estimation of video sequence homography based on a first-order estimation method,"Qixuan Zheng, Muyu Li, Hong Yan",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.110999,https://doi.org/10.1016/j.patcog.2024.110999
144,Method,Revisiting 3D point cloud analysis with Markov process,"Chenru Jiang, Wuwei Ma, Kaizhu Huang, Qiufeng Wang, Xi Yang, Weiguang Zhao, Junwei Wu, Xinheng Wang, Jimin Xiao, Zhenxing Niu",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.110997,https://doi.org/10.1016/j.patcog.2024.110997
145,Method,Luminance decomposition and reconstruction for high dynamic range Video Quality Assessment,"Jifan Yang, Zhongyuan Wang, Baojin Huang, Jiaxin Ai, Yuhong Yang, Jing Xiao, Zixiang Xiong",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.111011,https://doi.org/10.1016/j.patcog.2024.111011
146,Method,Residual network with self-adaptive time step size,"Xiyuan Li, Xin Zou, Weiwei Liu",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.111008,https://doi.org/10.1016/j.patcog.2024.111008
147,Method,DCFusion: Difference correlation-driven fusion mechanism of infrared and visible images,"Min Li, Enguang Zuo, Feng Li, Cheng Chen, Chaoxun Guo, Pei Liu, Yunling Wang, Xiaoyi Lv, Chen Chen",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.111002,https://doi.org/10.1016/j.patcog.2024.111002
148,Method,5-D spatial–temporal information-based infrared small target detection in complex environments,"Yuan Luo, Xiaorun Li, Shuhan Chen",158,,2025-2,Issue/Volume,10.1016/j.patcog.2024.111003,https://doi.org/10.1016/j.patcog.2024.111003
