No,Type,Title,Authors,Volume,DOI,Paper_Link
741,Method,An Infectious Disease Spread Simulation Based on Large Language Model Decision Making,"Yonchanok Khaokaew, Ruochen Kong, Andreas Züfle, Hao Xue, Taylor Anderson, Chandini Raina MacIntyre, Matthew Scotch, Flora D. Salim, David J. Heslop",10.1145/3770855,10.1145/3770855.3818983,https://doi.org/10.1145/3770855.3818983
742,Method,Redefining Maritime Anomaly Detection via Equation-Grounded Synthetic Anomalies,"Youngseok Hwang, Sungho Bae, Dohun Lee, Jaeeun Seo, Jeehong Kim, Wonhee Lee, Hyunwoo Park",10.1145/3770855,10.1145/3770855.3818984,https://doi.org/10.1145/3770855.3818984
743,Method,TokaMind: A Multi-Modal Transformer Foundation Model for Tokamak Plasma Dynamics,"Tobia Boschi, Andrea Loreti, Nicola C. Amorisco, Rodrigo H. Ordonez-Hurtado, Cécile Rousseau, George K. Holt, Eszter Székely, Alexander Whittle, Samuel Jackson, Adriano Agnello, Stanislas Pamela, Alessandra Pascale, Robert Akers, Juan Bernabe-Moreno, Vassil Alexandrov, Mykhaylo Zayats",10.1145/3770855,10.1145/3770855.3818986,https://doi.org/10.1145/3770855.3818986
744,Method,Rethinking Scientific Modeling: Toward Physically Consistent and Simulation-Executable Programmatic Generation,"Yongqing Jiang, Jianze Wang, Zhiqi Shen, Zhenghong Lin, Jiayuan Wang, Yijian Yang, Kaoshan Dai, Haoran Luo",10.1145/3770855,10.1145/3770855.3818987,https://doi.org/10.1145/3770855.3818987
745,Method,BrainNetGFM: A Graph-Based Foundation Model for Brain Network Construction Integrating Individualized Geometry and Joint Self-Supervised Learning,"Chunzhi Zhao, Tulay Adali, Jing Sui, Dailin Wen, Shile Qi, Vince D. Calhoun",10.1145/3770855,10.1145/3770855.3818988,https://doi.org/10.1145/3770855.3818988
746,Method,VCAgent: A Mutation-Guided Self-Reflective Agent Framework for Virtual Cell Modeling,"Zhiyun Li, Rong Han, Xiaoyu Wang, Guofeng Zhang, Weixi Gao, Yusheng Su, Zihan Tian, Xiaohong Liu, Guangyu Wang",10.1145/3770855,10.1145/3770855.3818989,https://doi.org/10.1145/3770855.3818989
747,Method,Single-Cell Spatial Proteomics Clustering by Decoupling Spatiality and Expression,"Benyu Wu, Shan Zhang, Yuequn Wang, Liangrui Ren, Wei Du, Jun Wang, Carlotta Domeniconi, Guoxian Yu",10.1145/3770855,10.1145/3770855.3818990,https://doi.org/10.1145/3770855.3818990
748,Method,TCRTSdesign: End-to-End Co-Design of Antigen-Specific TCR Sequences and Structures,"Yang Xiao, Yu Zhao, Fandi Wu, Chenchen Qin, Tianxu Lv, Bing He, Xiao Liu, Jianhua Yao",10.1145/3770855,10.1145/3770855.3818991,https://doi.org/10.1145/3770855.3818991
749,Method,TGD-CSP: Reliable Crystal Structure Prediction with Template-Guided Diffusion and Energy-Based Optimization,"Lu Yang, Tiantian Xu, Xiufeng Liu, Xu Cheng, Fan Shi, Shengyong Chen",10.1145/3770855,10.1145/3770855.3818992,https://doi.org/10.1145/3770855.3818992
750,Method,AnalogAgent: Self-Improving Analog Circuit Design Automation with LLM Agents,"Zhixuan Bao, Zhuoyi Lin, Jiageng Wang, Jinhai Hu, Yuan Gao, Yaoxin Wu, Xiaoli Li, Xun Xu",10.1145/3770855,10.1145/3770855.3818993,https://doi.org/10.1145/3770855.3818993
