No,Type,Title,Authors,Track,DOI,Paper_Link,PDF_Link
407,Method,Peak Wave Period And Direction Estimation Using 3D Fft On Monoscopic Videos,"Paris, Nicolas; Marchand, Sylvain; Gomez-Krämer, Petra",T2: Computer and Robot Vision,10.1007/978-3-032-31438-3_36,https://doi.org/10.1007/978-3-032-31438-3_36,https://link.springer.com/content/pdf/10.1007/978-3-032-31438-3_36
408,Method,Cross-Domain Human Action Recognition From Multiview Motion And Textual Descriptions,"Porto, Yannick; Martins, Renato; Chalumeau, Thomas; Demonceaux, Cédric",T2: Computer and Robot Vision,10.1007/978-3-032-31438-3_37,https://doi.org/10.1007/978-3-032-31438-3_37,https://link.springer.com/content/pdf/10.1007/978-3-032-31438-3_37
409,Method,Src-Conv: Statistical Recalibration Convolution For Amorphous Fire And Smoke Detection,"Nan, Ding; Haozheng, Sun; Wenyu, Luo; Masaki, Minami; Jinhui, Chen",T2: Computer and Robot Vision,10.1007/978-3-032-31438-3_41,https://doi.org/10.1007/978-3-032-31438-3_41,https://link.springer.com/content/pdf/10.1007/978-3-032-31438-3_41
410,Method,A General Framework For Adapting Foundation Models To Specialized Domains: A Case Study In Sewer Defect Classification,"Babé, Aloïs; Cuingnet, Remi; Scuturici, Mihaela; Miguet, Serge",T2: Computer and Robot Vision,10.1007/978-3-032-31438-3_42,https://doi.org/10.1007/978-3-032-31438-3_42,https://link.springer.com/content/pdf/10.1007/978-3-032-31438-3_42
411,Method,Scene-Aware Emotion Recognition In Comics With Llms,"Mushtaq, Umer; Burie, Jean-Christophe; Doucet, Antoine; Rigaud, Christophe",T2: Computer and Robot Vision,10.1007/978-3-032-31438-3_44,https://doi.org/10.1007/978-3-032-31438-3_44,https://link.springer.com/content/pdf/10.1007/978-3-032-31438-3_44
412,Method,Lidar-Driven Morphological Feature Spaces For Interactive Scene Analysis,"Guiotte, Florent; Lefèvre, Sébastien; Corpetti, Thomas",T2: Computer and Robot Vision,10.1007/978-3-032-31438-3_45,https://doi.org/10.1007/978-3-032-31438-3_45,https://link.springer.com/content/pdf/10.1007/978-3-032-31438-3_45
413,Method,Multimodal Abstractive Summarization Of Instructional Videos With Vision-Language Models,"Nazir, Maham; Aqeel, Muhammad; Zhang, Richong; Setti, Francesco",T2: Computer and Robot Vision,10.1007/978-3-032-31438-3_46,https://doi.org/10.1007/978-3-032-31438-3_46,https://link.springer.com/content/pdf/10.1007/978-3-032-31438-3_46
414,Method,Gaze-Guided Multimodal Llms For Social Scene Understanding,"Nasiriboukani, Shayan; Awais, Muhammad; Atito, Sara",T2: Computer and Robot Vision,10.1007/978-3-032-31452-9_2,https://doi.org/10.1007/978-3-032-31452-9_2,https://link.springer.com/content/pdf/10.1007/978-3-032-31452-9_2
415,Method,Mmla-Yolo11N: Neck Slimming With Dynamic Upsampling And Lightweight Attention For Steel Surface Defect Detection,Peijun Liang,T2: Computer and Robot Vision,10.1007/978-3-032-31452-9_3,https://doi.org/10.1007/978-3-032-31452-9_3,https://link.springer.com/content/pdf/10.1007/978-3-032-31452-9_3
416,Method,Multi-View Projection For Unsupervised Domain Adaptation In 3D Semantic Segmentation,"Caunes, Andrew; Chateau, Thierry; Fremont, Vincent",T2: Computer and Robot Vision,10.1007/978-3-032-31452-9_4,https://doi.org/10.1007/978-3-032-31452-9_4,https://link.springer.com/content/pdf/10.1007/978-3-032-31452-9_4
417,Method,Improving Temporal Action Segmentation Via Constraint-Aware Decoding,"Ee, Yeo Keat; Debaditya, Roy; Li, Chen; Zhang, Hao; Fernando, Basura",T2: Computer and Robot Vision,10.1007/978-3-032-31452-9_5,https://doi.org/10.1007/978-3-032-31452-9_5,https://link.springer.com/content/pdf/10.1007/978-3-032-31452-9_5
