No,Type,Title,Authors,Decision,Paper_Link,PDF_Link
1,Dataset,MSD: A Benchmark Dataset for Floor Plan Generation of Building Complexes,"Casper van Engelenburg, Fatemeh Mostafavi, Emanuel Kuhn, Yuntae Jeon, Michael Franzen, Matthias Standfest, Jan Gemert, Seyran Khademi",Poster,https://eccv.ecva.net/virtual/2024/poster/2064,
2,Dataset,3DGazeNet: Generalizing Gaze Estimation with Weak Supervision from Synthetic Views,"Evangelos Ververas, Polydefkis Gkagkos, Jiankang Deng, Michail C Doukas, Jia Guo, Stefanos Zafeiriou",Poster,https://eccv.ecva.net/virtual/2024/poster/2247,
3,Dataset,SemGrasp: Semantic Grasp Generation via Language Aligned Discretization,"Kailin Li, Jingbo Wang, Lixin Yang, Cewu Lu, Bo Dai",Oral,https://eccv.ecva.net/virtual/2024/poster/1361,
4,Dataset,BRAVE: Broadening the visual encoding of vision-language models,"Oguzhan Fatih Kar, Alessio Tonioni, Petra Poklukar, Achin Kulshrestha, Amir Zamir, Federico Tombari",Oral,https://eccv.ecva.net/virtual/2024/poster/2001,
5,Dataset,When Pedestrian Detection Meets Multi-Modal Learning: Generalist Model and Benchmark Dataset,"Yi Zhang, Wang Zeng, Sheng Jin, Chen Qian, Ping Luo, Wentao Liu",Poster,https://eccv.ecva.net/virtual/2024/poster/236,
6,Dataset,HIMO: A New Benchmark for Full-Body Human Interacting with Multiple Objects,"Xintao Lv, Liang Xu, Yichao Yan, Xin Jin, Congsheng Xu, Wu Shuwen, Yifan Liu, Lincheng Li, Mengxiao Bi, Wenjun Zeng, Xiaokang Yang",Poster,https://eccv.ecva.net/virtual/2024/poster/2123,
7,Dataset,You Only Learn One Query: Learning Unified Human Query for Single-Stage Multi-Person Multi-Task Human-Centric Perception,"Sheng Jin, Shuhuai Li, Tong Li, Wentao Liu, Chen Qian, Ping Luo",Poster,https://eccv.ecva.net/virtual/2024/poster/2556,
8,Dataset,LayoutDETR: Detection Transformer Is a Good Multimodal Layout Designer,"Ning Yu, Chia-Chih Chen, Zeyuan Chen, Rui Meng, Gang Wu, Paul W Josel, Juan Carlos Niebles, Caiming Xiong, Ran Xu",Poster,https://eccv.ecva.net/virtual/2024/poster/939,
9,Dataset,E.T. the Exceptional Trajectory: Text-to-camera-trajectory generation with character awareness,"Robin Courant, Nicolas Dufour, Xi WANG, Marc Christie, Vicky Kalogeiton",Poster,https://eccv.ecva.net/virtual/2024/poster/1401,
10,Dataset,HumanRefiner: Benchmarking Abnormal Human Generation and Refining with Coarse-to-fine Pose-Reversible Guidance,"Guian Fang, Wenbiao Yan, Yuanfan Guo, Jianhua Han, Zutao Jiang, Hang Xu, Shengcai Liao, Xiaodan Liang",Poster,https://eccv.ecva.net/virtual/2024/poster/197,
11,Dataset,Textual-Visual Logic Challenge: Understanding and Reasoning in Text-to-Image Generation,"Peixi Xiong, Michael A Kozuch, Nilesh Jain",Poster,https://eccv.ecva.net/virtual/2024/poster/763,
12,Dataset,EvSign: Sign Language Recognition and Translation with Streaming Events,"Pengyu Zhang, Hao Yin, Zeren Wang, Wenyue Chen, Sheng Ming Li, Dong Wang, Huchuan Lu, XU JIA",Poster,https://eccv.ecva.net/virtual/2024/poster/1839,
13,Dataset,QUAR-VLA: Vision-Language-Action Model for Quadruped Robots,"Pengxiang Ding, Han Zhao, Wenjie Zhang, Wenxuan Song, Min Zhang, Siteng Huang, Ningxi Yang, Donglin Wang",Poster,https://eccv.ecva.net/virtual/2024/poster/1103,
14,Dataset,MMBENCH: Is Your Multi-Modal Model an All-around Player?,"Yuan Liu, Haodong Duan, Yuanhan Zhang, Bo Li, Songyang Zhang, Wangbo Zhao, Yike Yuan, Jiaqi Wang, Conghui He, Ziwei Liu, Kai Chen, Dahua Lin",Oral,https://eccv.ecva.net/virtual/2024/poster/2003,
15,Dataset,Unsupervised Exposure Correction,"Ruodai Cui, Li Niu, Guosheng Hu",Poster,https://eccv.ecva.net/virtual/2024/poster/624,
16,Dataset,SceneScript: Reconstructing Scenes With An Autoregressive Structured Language Model,"Armen Avetisyan, Christopher Xie, Henry Howard-Jenkins, Tsun-Yi Yang, Samir Aroudj, Suvam Patra, Fuyang Zhang, Luke Holland, Duncan Frost, Campbell Orme, Jakob Engel, Edward Miller, Richard Newcombe, Vasileios Balntas",Poster,https://eccv.ecva.net/virtual/2024/poster/200,
17,Dataset,Benchmarking the Robustness of Cross-view Geo-localization Models,"Qingwang Zhang, Yingying Zhu",Poster,https://eccv.ecva.net/virtual/2024/poster/2096,
18,Dataset,Groma: Localized Visual Tokenization for Grounding Multimodal Large Language Models,"Chuofan Ma, Yi Jiang, Jiannan Wu, Zehuan Yuan, Qi Xiaojuan",Poster,https://eccv.ecva.net/virtual/2024/poster/1114,
19,Dataset,Defect Spectrum: A Granular Look of Large-scale Defect Datasets with Rich Semantics,"Shuai Yang, ZhiFei Chen, Pengguang Chen, Xi Fang, Yixun Liang, Shu Liu, Yingcong Chen",Poster,https://eccv.ecva.net/virtual/2024/poster/432,
20,Dataset,3D Single-object Tracking in Point Clouds with High Temporal Variation,"Qiao Wu, Kun Sun, Pei An, Mathieu Salzmann, Yanning Zhang, Jiaqi Yang",Poster,https://eccv.ecva.net/virtual/2024/poster/1372,
21,Dataset,BugNIST - a Large Volumetric Dataset for Detection under Domain Shift,"Patrick Jensen, Vedrana Dahl, Rebecca Engberg, Carsten Gundlach, Hans Martin Kjer, Anders Bjorholm Dahl",Poster,https://eccv.ecva.net/virtual/2024/poster/2286,
22,Dataset,ScanReason: Empowering 3D Visual Grounding with Reasoning Capabilities,"CHENMING ZHU, Tai Wang, Wenwei Zhang, Kai Chen, Xihui Liu",Poster,https://eccv.ecva.net/virtual/2024/poster/1489,
23,Dataset,Pose-Aware Self-Supervised Learning with Viewpoint Trajectory Regularization,"Jiayun Wang, Yubei Chen, Stella Yu",Oral,https://eccv.ecva.net/virtual/2024/oral/1624,
