No,Type,Title,Authors,Volume,Issue,Published,Status,DOI,Paper_Link
83,Method,Bridging Perspectives: A Survey on Cross-view Collaborative Intelligence with Egocentric-Exocentric Vision,"Yuping He, Yifei Huang, Guo Chen, Lidong Lu, Baoqi Pei, Jilan Xu, Tong Lu, Yoichi Sato",134,2,2026-1-13,Issue/Volume,10.1007/s11263-025-02608-y,https://doi.org/10.1007/s11263-025-02608-y
84,Method,Exploiting Class-agnostic Visual Prior for Few-shot Keypoint Detection,"Changsheng Lu, Hao Zhu, Piotr Koniusz",134,2,2026-1-16,Issue/Volume,10.1007/s11263-025-02671-5,https://doi.org/10.1007/s11263-025-02671-5
85,Method,Dynamic Knowledge Transfer for Mitigating Spurious Correlations in Deep Learning,"Xiaoling Zhou, Zhemg Lee, Wei Ye, Shikun Zhang",134,2,2026-1-16,Issue/Volume,10.1007/s11263-025-02656-4,https://doi.org/10.1007/s11263-025-02656-4
86,Method,Selective Volume Mixup for Video Action Recognition,"Yi Tan, Zhaofan Qiu, Yanbin Hao, Ting Yao, Tao Mei",134,2,2026-1-17,Issue/Volume,10.1007/s11263-025-02605-1,https://doi.org/10.1007/s11263-025-02605-1
87,Method,Large Foundation Model Empowered Region-aware Underwater Image Captioning,"Huanyu Li, Li Li, Hao Wang, Weibo Zhang, Peng Ren",134,2,2026-1-17,Issue/Volume,10.1007/s11263-025-02650-w,https://doi.org/10.1007/s11263-025-02650-w
88,Method,AmPLe: Supporting Vision-Language Models via Adaptive-Debiased Ensemble Multi-Prompt Learning,"Fei Song, Yi Li, Jiangmeng Li, Rui Wang, Changwen Zheng, Fanjiang Xu, Hui Xiong",134,2,2026-1-17,Issue/Volume,10.1007/s11263-025-02591-4,https://doi.org/10.1007/s11263-025-02591-4
89,Method,SLNMapping: Super Lightweight Neural Mapping in Large-Scale Scenes,"Chenhui Shi, Fulin Tang, Hao Wei, Yihong Wu",134,2,2026-1-19,Issue/Volume,10.1007/s11263-025-02581-6,https://doi.org/10.1007/s11263-025-02581-6
90,Method,Multi-view Surface Reconstruction Using Normal and Reflectance Cues,"Robin Bruneau, Baptiste Brument, Yvain Quéau, Jean Mélou, François Bernard Lauze, Jean-Denis Durou, Lilian Calvet",134,2,2026-1-19,Issue/Volume,10.1007/s11263-025-02628-8,https://doi.org/10.1007/s11263-025-02628-8
91,Method,CAT++: Enhancing 3D Annotations with Hierarchical-Interleaved Encoding and Attention-Conditioned Implicit Representation,"Xiaoyan Qian, Chang Liu, Xiaojuan Qi, Siewchong Tan, Edmund Y. Lam, Ngai Wong",134,2,2026-1-20,Issue/Volume,10.1007/s11263-025-02704-z,https://doi.org/10.1007/s11263-025-02704-z
92,Method,Knowing Where to Focus: Attention-Guided Alignment for Text-based Person Search,"Lei Tan, Weihao Li, Pingyang Dai, Jie Chen, Liujuan Cao, Rongrong Ji",134,2,2026-1-20,Issue/Volume,10.1007/s11263-025-02717-8,https://doi.org/10.1007/s11263-025-02717-8
93,Method,"A Decade of Action Quality Assessment: Largest Systematic Survey of Trends, Challenges, and Future Directions","Hao Yin, Paritosh Parmar, Daoliang Xu, Yang Zhang, Tianyou Zheng, Weiwei Fu",134,2,2026-1-20,Issue/Volume,10.1007/s11263-025-02672-4,https://doi.org/10.1007/s11263-025-02672-4
94,Method,Weakly Supervised Salient Object Detection with Text Supervision,"Zhihao Wu, Jie Wen, Linlin Shen, Xiaopeng Fan, Yong Xu, Jian Yang, David Zhang",134,2,2026-1-20,Issue/Volume,10.1007/s11263-025-02728-5,https://doi.org/10.1007/s11263-025-02728-5
95,Method,Efficient Vision Transformer with Token Sparsification for Event-Based Object Tracking,"Jiqing Zhang, Xin Yang, Haoming Tang, Yuanchen Wang, Baocai Yin, Huibing Wang, Xianping Fu",134,2,2026-1-20,Issue/Volume,10.1007/s11263-025-02666-2,https://doi.org/10.1007/s11263-025-02666-2
96,Method,Locality Optimization Refinement with Deformation for Shape Matching via Functional Maps,"Yifan Xia, Jiayi Ma",134,2,2026-1-20,Issue/Volume,10.1007/s11263-025-02642-w,https://doi.org/10.1007/s11263-025-02642-w
97,Method,HarmoniDPO: Video-guided Audio Generation via Preference-Optimized Diffusion,"Wenshuo Peng, Kaipeng Zhang",134,2,2026-1-21,Issue/Volume,10.1007/s11263-025-02636-8,https://doi.org/10.1007/s11263-025-02636-8
