No,Type,Title,Authors,Track,Paper_Link,PDF_Link,arXiv_Link
12,Dataset,Point2Pose: A Generative Framework for 3D Human Pose Estimation with Multi-View Point Cloud Dataset,"Hyunsoo Lee, Daeum Jeon, Hyeokjae Oh",Main,https://openaccess.thecvf.com/content/WACV2026/html/Lee_Point2Pose_A_Generative_Framework_for_3D_Human_Pose_Estimation_with_WACV_2026_paper.html,https://openaccess.thecvf.com/content/WACV2026/papers/Lee_Point2Pose_A_Generative_Framework_for_3D_Human_Pose_Estimation_with_WACV_2026_paper.pdf,https://arxiv.org/abs/2512.10321
13,Dataset,SeqFeedNet: Sequential Feature Feedback Network for Background Subtraction,"Yu-Shun Huang, Jing-Ming Guo, Yi-Xiang Yang",Main,https://openaccess.thecvf.com/content/WACV2026/html/Huang_SeqFeedNet_Sequential_Feature_Feedback_Network_for_Background_Subtraction_WACV_2026_paper.html,https://openaccess.thecvf.com/content/WACV2026/papers/Huang_SeqFeedNet_Sequential_Feature_Feedback_Network_for_Background_Subtraction_WACV_2026_paper.pdf,
14,Dataset,Crash2DocAI: Automated Integration of Post-Crash Car Part Images into Technical Reports,"Vaclav Divis, Jessica Giovagnola, Khalil Ben Chikha, Marek Hrúz",Main,https://openaccess.thecvf.com/content/WACV2026/html/Divis_Crash2DocAI_Automated_Integration_of_Post-Crash_Car_Part_Images_into_Technical_WACV_2026_paper.html,https://openaccess.thecvf.com/content/WACV2026/papers/Divis_Crash2DocAI_Automated_Integration_of_Post-Crash_Car_Part_Images_into_Technical_WACV_2026_paper.pdf,
15,Dataset,MuseDance: A Diffusion-based Music-Driven Image Animation System,"Zhikang Dong, Weituo Hao, Ju-Chiang Wang, Peng Zhang, Pawel Polak",Main,https://openaccess.thecvf.com/content/WACV2026/html/Dong_MuseDance_A_Diffusion-based_Music-Driven_Image_Animation_System_WACV_2026_paper.html,https://openaccess.thecvf.com/content/WACV2026/papers/Dong_MuseDance_A_Diffusion-based_Music-Driven_Image_Animation_System_WACV_2026_paper.pdf,
16,Dataset,Deepfake Detection that Generalizes Across Benchmarks,"Andrii Yermakov, Jan Cech, Jiri Matas, Mario Fritz",Main,https://openaccess.thecvf.com/content/WACV2026/html/Yermakov_Deepfake_Detection_that_Generalizes_Across_Benchmarks_WACV_2026_paper.html,https://openaccess.thecvf.com/content/WACV2026/papers/Yermakov_Deepfake_Detection_that_Generalizes_Across_Benchmarks_WACV_2026_paper.pdf,https://arxiv.org/abs/2508.06248
17,Dataset,SceneEval: Evaluating Semantic Coherence in Text-Conditioned 3D Indoor Scene Synthesis,"Hou In Ivan Tam, Hou In Derek Pun, Austin T. Wang, Angel X. Chang, Manolis Savva",Main,https://openaccess.thecvf.com/content/WACV2026/html/Tam_SceneEval_Evaluating_Semantic_Coherence_in_Text-Conditioned_3D_Indoor_Scene_Synthesis_WACV_2026_paper.html,https://openaccess.thecvf.com/content/WACV2026/papers/Tam_SceneEval_Evaluating_Semantic_Coherence_in_Text-Conditioned_3D_Indoor_Scene_Synthesis_WACV_2026_paper.pdf,https://arxiv.org/abs/2503.14756
18,Dataset,Stroke Modeling Enables Vectorized Character Generation with Large Vectorized Glyph Model,"Xinyue Zhang, Haolong Li, Jiawei Ma, Chen Ye",Main,https://openaccess.thecvf.com/content/WACV2026/html/Zhang_Stroke_Modeling_Enables_Vectorized_Character_Generation_with_Large_Vectorized_Glyph_WACV_2026_paper.html,https://openaccess.thecvf.com/content/WACV2026/papers/Zhang_Stroke_Modeling_Enables_Vectorized_Character_Generation_with_Large_Vectorized_Glyph_WACV_2026_paper.pdf,https://arxiv.org/abs/2511.11119
19,Dataset,Improved Wildfire Spread Prediction with Time-Series Data and the WSTS+ Benchmark,"Saad Lahrichi, Jake Bova, Jesse Johnson, Jordan Malof",Main,https://openaccess.thecvf.com/content/WACV2026/html/Lahrichi_Improved_Wildfire_Spread_Prediction_with_Time-Series_Data_and_the_WSTS_WACV_2026_paper.html,https://openaccess.thecvf.com/content/WACV2026/papers/Lahrichi_Improved_Wildfire_Spread_Prediction_with_Time-Series_Data_and_the_WSTS_WACV_2026_paper.pdf,https://arxiv.org/abs/2502.12003
20,Dataset,MedROV: Towards Real-Time Open-Vocabulary Detection Across Diverse Medical Imaging Modalities,"Tooba Tehreem Sheikh, Jean Lahoud, Rao Muhammad Anwer, Fahad Shahbaz Khan, Salman Khan, Hisham Cholakkal",Main,https://openaccess.thecvf.com/content/WACV2026/html/Sheikh_MedROV_Towards_Real-Time_Open-Vocabulary_Detection_Across_Diverse_Medical_Imaging_Modalities_WACV_2026_paper.html,https://openaccess.thecvf.com/content/WACV2026/papers/Sheikh_MedROV_Towards_Real-Time_Open-Vocabulary_Detection_Across_Diverse_Medical_Imaging_Modalities_WACV_2026_paper.pdf,https://arxiv.org/abs/2511.20650
21,Dataset,SeaClips: A Video Dataset for Maritime Object Detection.,"Franziska Denk, Christian Rankl, Shaban Almouahed, David Moser, Robert Sablatnig",Main,https://openaccess.thecvf.com/content/WACV2026/html/Denk_SeaClips_A_Video_Dataset_for_Maritime_Object_Detection._WACV_2026_paper.html,https://openaccess.thecvf.com/content/WACV2026/papers/Denk_SeaClips_A_Video_Dataset_for_Maritime_Object_Detection._WACV_2026_paper.pdf,
