No,Type,Title,Authors,Volume,Paper_Link,PDF_Link,Code_Link
1,Method,The surrogate Gibbs-posterior of a corrected stochastic MALA: Towards uncertainty quantification for neural networks,"Sebastian Bieringer, Gregor Kasieczka, Maximilian F. Steffen, Mathias Trabs",27,https://www.jmlr.org/papers/v27/22-0483.html,https://www.jmlr.org/papers/volume27/22-0483/22-0483.pdf,https://github.com/sbieringer/csMALA
2,Method,Online Detection of Changes in Moment--Based Projections: When to Retrain Deep Learners or Update Portfolios?,Ansgar Steland,27,https://www.jmlr.org/papers/v27/23-0274.html,https://www.jmlr.org/papers/volume27/23-0274/23-0274.pdf,
3,Method,Efficient frequent directions algorithms for approximate decomposition of matrices and higher-order tensors,"Maolin Che, Yimin Wei, Hong Yan",27,https://www.jmlr.org/papers/v27/23-0737.html,https://www.jmlr.org/papers/volume27/23-0737/23-0737.pdf,
4,Method,Identifying Weight-Variant Latent Causal Models,"Yuhang Liu, Zhen Zhang, Dong Gong, Mingming Gong, Biwei Huang, Anton van den Hengel, Kun Zhang, Javen Qinfeng Shi",27,https://www.jmlr.org/papers/v27/23-1023.html,https://www.jmlr.org/papers/volume27/23-1023/23-1023.pdf,https://sites.google.com/view/yuhangliu/projects/suave
5,Method,Classification Under Local Differential Privacy with Model Reversal and Model Averaging,"Caihong Qin, Yang Bai",27,https://www.jmlr.org/papers/v27/24-0290.html,https://www.jmlr.org/papers/volume27/24-0290/24-0290.pdf,
6,Method,"Stochastic Gradient Methods: Bias, Stability and Generalization","Shuang Zeng, Yunwen Lei",27,https://www.jmlr.org/papers/v27/24-0637.html,https://www.jmlr.org/papers/volume27/24-0637/24-0637.pdf,
7,Method,Extending Mean-Field Variational Inference via Entropic Regularization: Theory and Computation,"Bohan Wu, David M. Blei",27,https://www.jmlr.org/papers/v27/24-1057.html,https://www.jmlr.org/papers/volume27/24-1057/24-1057.pdf,
8,Method,skwdro: a library for Wasserstein distributionally robust machine learning,"Florian Vincent, WaÃ¯ss Azizian, Franck Iutzeler, JÃ©rÃ´me Malick",27,https://www.jmlr.org/papers/v27/24-1840.html,https://www.jmlr.org/papers/volume27/24-1840/24-1840.pdf,https://github.com/iutzeler/skwdro
9,Method,Guaranteed Nonconvex Low-Rank Tensor Estimation via Scaled Gradient Descent,Tong Wu,27,https://www.jmlr.org/papers/v27/25-0012.html,https://www.jmlr.org/papers/volume27/25-0012/25-0012.pdf,https://github.com/twugithub/Tensor-ScaledGD
10,Method,A Data-Augmented Contrastive Learning Approach to Nonparametric Density Estimation,"Chenghao Li, Yuanyuan Lin",27,https://www.jmlr.org/papers/v27/25-0376.html,https://www.jmlr.org/papers/volume27/25-0376/25-0376.pdf,https://github.com/Li-Chenqhao/DANNCE
11,Method,Nonlocal Techniques for the Analysis of Deep ReLU Neural Network Approximations,"Cornelia Schneider, Mario Ullrich, Jan VybÃ­ral",27,https://www.jmlr.org/papers/v27/25-0746.html,https://www.jmlr.org/papers/volume27/25-0746/25-0746.pdf,
12,Method,Nonlinear function-on-function regression by RKHS,"Peijun Sang, Bing Li",27,https://www.jmlr.org/papers/v27/25-1017.html,https://www.jmlr.org/papers/volume27/25-1017/25-1017.pdf,
13,Method,UQLM: A Python Package for Uncertainty Quantification in Large Language Models,"Dylan Bouchard, Mohit Singh Chauhan, David Skarbrevik, Ho-Kyeong Ra, Viren Bajaj, Zeya Ahmad",27,https://www.jmlr.org/papers/v27/25-1557.html,https://www.jmlr.org/papers/volume27/25-1557/25-1557.pdf,https://github.com/cvs-health/uqlm
14,Method,A Reinforcement Learning Approach in Multi-Phase Second-Price Auction Design,"Rui Ai, Boxiang Lyu, Zhaoran Wang, Zhuoran Yang, Michael I. Jordan",27,https://www.jmlr.org/papers/v27/22-1194.html,https://www.jmlr.org/papers/volume27/22-1194/22-1194.pdf,https://github.com/Air-8/SPA_CLUB
15,Method,Error Analysis for Deep ReLU Feedforward Density-Ratio Estimation with Bregman Divergence,"Siming Zheng, Guohao Shen, Yuanyuan Lin, Jian Huang",27,https://www.jmlr.org/papers/v27/23-0425.html,https://www.jmlr.org/papers/volume27/23-0425/23-0425.pdf,
16,Method,Flexible Functional Treatment Effect Estimation,"Jiayi Wang, Raymond K. W. Wong, Xiaoke Zhang, Kwun Chuen Gary Chan",27,https://www.jmlr.org/papers/v27/23-0944.html,https://www.jmlr.org/papers/volume27/23-0944/23-0944.pdf,
17,Method,Neural Network Parameter-optimization of Gaussian Pre-marginalized Directed Acyclic Graphs,Mehrzad Saremi,27,https://www.jmlr.org/papers/v27/23-1249.html,https://www.jmlr.org/papers/volume27/23-1249/23-1249.pdf,https://github.com/msaremi/sn2
18,Method,Extrapolated Markov Chain Oversampling Method for Imbalanced Text Classification,"Aleksi Avela, Pauliina Ilmonen",27,https://www.jmlr.org/papers/v27/24-0428.html,https://www.jmlr.org/papers/volume27/24-0428/24-0428.pdf,https://github.com/AleksiAvela/emco
19,Method,An Anytime Algorithm for Good Arm Identification,"Marc Jourdan, AndrÃ©e Delahaye-Duriez, ClÃ©mence RÃ©da",27,https://www.jmlr.org/papers/v27/24-0680.html,https://www.jmlr.org/papers/volume27/24-0680/24-0680.pdf,
20,Method,Simulation-based Calibration of Uncertainty Intervals under Approximate Bayesian Estimation,"Terrance D. Savitsky, Julie Gershunskaya",27,https://www.jmlr.org/papers/v27/24-1139.html,https://www.jmlr.org/papers/volume27/24-1139/24-1139.pdf,
21,Method,Learning Bayesian Network Classifiers to Minimize Class Variable Parameters,"Shouta Sugahara, Koya Kato, James Cussens, Maomi Ueno",27,https://www.jmlr.org/papers/v27/24-1901.html,https://www.jmlr.org/papers/volume27/24-1901/24-1901.pdf,
22,Method,Nonparametric Estimation of a Factorizable Density using Diffusion Models,"Hyeok Kyu Kwon, Dongha Kim, Ilsang Ohn, Minwoo Chae",27,https://www.jmlr.org/papers/v27/25-0121.html,https://www.jmlr.org/papers/volume27/25-0121/25-0121.pdf,
23,Method,The Distribution of Ridgeless Least Squares Interpolators,"Qiyang Han, Xiaocong Xu",27,https://www.jmlr.org/papers/v27/25-0458.html,https://www.jmlr.org/papers/volume27/25-0458/25-0458.pdf,
24,Method,"LazyDINO: Fast, Scalable, and Efficiently Amortized Bayesian Inversion via Structure-Exploiting and Surrogate-Driven Measure Transport","Lianghao Cao, Joshua Chen, Michael Brennan, Thomas O'Leary-Roseberry, Youssef Marzouk, Omar Ghattas",27,https://www.jmlr.org/papers/v27/25-0858.html,https://www.jmlr.org/papers/volume27/25-0858/25-0858.pdf,https://github.com/dinoSciML/dinox
25,Method,A Common Interface for Automatic Differentiation,"Guillaume Dalle, Adrian Hill",27,https://www.jmlr.org/papers/v27/25-1024.html,https://www.jmlr.org/papers/volume27/25-1024/25-1024.pdf,https://github.com/JuliaDiff/DifferentiationInterface.jl
26,Method,Refined Risk Bounds for Unbounded Losses via Transductive Priors,"Jian Qian, Alexander Rakhlin, Nikita Zhivotovskiy",27,https://www.jmlr.org/papers/v27/25-2745.html,https://www.jmlr.org/papers/volume27/25-2745/25-2745.pdf,
27,Method,Decorrelated Local Linear Estimator: Inference for Non-linear Effects in High-dimensional Additive Models,"Zijian Guo, Wei Yuan, Cunhui Zhang",27,https://www.jmlr.org/papers/v27/22-1436.html,https://www.jmlr.org/papers/volume27/22-1436/22-1436.pdf,
28,Method,Communication-efficient Distributed Statistical Inference for Massive Data with Heterogeneous Auxiliary Information,"Miaomiao Yu, Zhongfeng Jiang, Jiaxuan Li, Yong Zhou",27,https://www.jmlr.org/papers/v27/23-0440.html,https://www.jmlr.org/papers/volume27/23-0440/23-0440.pdf,
29,Method,Generative Bayesian Inference with GANs,"Yuexi Wang, Veronika Rockova",27,https://www.jmlr.org/papers/v27/23-0946.html,https://www.jmlr.org/papers/volume27/23-0946/23-0946.pdf,
30,Method,Exploring Novel Uncertainty Quantification through Forward Intensity Function Modeling,"Yudong Wang, Zhi-Sheng Ye, Cheng Yong Tang",27,https://www.jmlr.org/papers/v27/23-1465.html,https://www.jmlr.org/papers/volume27/23-1465/23-1465.pdf,
31,Method,Persistence Diagrams Estimation of Multivariate Piecewise HÃ¶lder-continuous Signals,Hugo Henneuse,27,https://www.jmlr.org/papers/v27/24-0456.html,https://www.jmlr.org/papers/volume27/24-0456/24-0456.pdf,
32,Method,CHANI: Correlation-based Hawkes Aggregation of Neurons with bio-Inspiration,"Sophie Jaffard, Samuel Vaiter, Patricia Reynaud-Bouret",27,https://www.jmlr.org/papers/v27/24-0783.html,https://www.jmlr.org/papers/volume27/24-0783/24-0783.pdf,https://github.com/SophieJaffard/CHANI
33,Method,Finite Neural Networks as Mixtures of Gaussian Processes: From Provable Error Bounds to Prior Selection,"Steven Adams, Andrea PatanÃ¨, Morteza Lahijanian, Luca Laurenti",27,https://www.jmlr.org/papers/v27/24-1199.html,https://www.jmlr.org/papers/volume27/24-1199/24-1199.pdf,
34,Method,Optimization and Generalization of Gradient Descent for Shallow ReLU Networks with Minimal Width,"Yunwen Lei, Puyu Wang, Yiming Ying, Ding-Xuan Zhou",27,https://www.jmlr.org/papers/v27/24-2030.html,https://www.jmlr.org/papers/volume27/24-2030/24-2030.pdf,
35,Method,Adaptive Forward Stepwise: A Method for High Sparsity Regression,"Ivy Zhang, Robert Tibshirani",27,https://www.jmlr.org/papers/v27/25-0151.html,https://www.jmlr.org/papers/volume27/25-0151/25-0151.pdf,
36,Method,Optimizing Attention with Mirror Descent: Generalized Max-Margin Token Selection,"Addison Kristanto Julistiono, Davoud Ataee Tarzanagh, Navid Azizan",27,https://www.jmlr.org/papers/v27/25-0549.html,https://www.jmlr.org/papers/volume27/25-0549/25-0549.pdf,https://github.com/addskj2002/AttentionMD
37,Method,Hierarchical Causal Models,"Eli N. Weinstein, David M. Blei",27,https://www.jmlr.org/papers/v27/25-0899.html,https://www.jmlr.org/papers/volume27/25-0899/25-0899.pdf,https://github.com/EWeinstein/HCM
38,Method,Reparameterized Complex-valued Neurons Can Efficiently Learn More than Real-valued Neurons via Gradient Descent,"Jin-Hui Wu, Shao-Qun Zhang, Yuan Jiang, Zhi-Hua Zhou",27,https://www.jmlr.org/papers/v27/25-1106.html,https://www.jmlr.org/papers/volume27/25-1106/25-1106.pdf,
39,Method,Unsupervised Feature Selection via Nonnegative Orthogonal Constrained Regularized Minimization,"Yan Li, Defeng Sun, Liping Zhang",27,https://www.jmlr.org/papers/v27/23-0157.html,https://www.jmlr.org/papers/volume27/23-0157/23-0157.pdf,
40,Method,A causal fused lasso for interpretable heterogeneous treatment effects estimation,"Oscar Hernan Madrid Padilla, Yanzhen Chen, Carlos Misael Madrid Padilla, Gabriel Ruiz",27,https://www.jmlr.org/papers/v27/23-0535.html,https://www.jmlr.org/papers/volume27/23-0535/23-0535.pdf,
41,Method,Bayesian Inference of Contextual Bandit Policies via Empirical Likelihood,"Jiangrong Ouyang, Mingming Gong, Howard Bondell",27,https://www.jmlr.org/papers/v27/23-0958.html,https://www.jmlr.org/papers/volume27/23-0958/23-0958.pdf,https://github.com/jr-ouyang/CtxBandit
42,Method,Convergence and complexity of block majorization-minimization for constrained block-Riemannian optimization,"Yuchen Li, Laura Balzano, Deanna Needell, Hanbaek Lyu",27,https://www.jmlr.org/papers/v27/24-0020.html,https://www.jmlr.org/papers/volume27/24-0020/24-0020.pdf,
43,Method,Two-way Node Popularity Model for Directed and Bipartite Networks,"Bing-Yi Jing, Ting Li, Jiangzhou Wang, Ya Wang",27,https://www.jmlr.org/papers/v27/24-0526.html,https://www.jmlr.org/papers/volume27/24-0526/24-0526.pdf,https://github.com/MiaCora/Two-way-Node-Popularity-Model
44,Method,A Symplectic Analysis of Alternating Mirror Descent,"Jonas E. Katona, Xiuyuan Wang, Andre Wibisono",27,https://www.jmlr.org/papers/v27/24-0792.html,https://www.jmlr.org/papers/volume27/24-0792/24-0792.pdf,https://github.com/jonaskat87/AMD
45,Method,Contrasting Local and Global Modeling with Machine Learning and Satellite Data: A Case Study Estimating Tree Canopy Height in African Savannas,"Esther Rolf, Lucia Gordon, Milind Tambe, Andrew Davies",27,https://www.jmlr.org/papers/v27/24-1592.html,https://www.jmlr.org/papers/volume27/24-1592/24-1592.pdf,https://github.com/estherrolf/tree_mapping/
46,Method,Boosted Control Functions: Distribution Generalization and Invariance in Confounded Models,"Nicola Gnecco, Jonas Peters, Sebastian Engelke, Niklas Pfister",27,https://www.jmlr.org/papers/v27/24-2207.html,https://www.jmlr.org/papers/volume27/24-2207/24-2207.pdf,https://github.com/nicolagnecco/bcf-numerical-experiments
47,Method,DCatalyst: A Unified Accelerated Framework for Decentralized Optimization,"TIanyu Cao, Xiaokai Chen, Gesualdo Scutari",27,https://www.jmlr.org/papers/v27/25-0185.html,https://www.jmlr.org/papers/volume27/25-0185/25-0185.pdf,
48,Method,Covariate-dependent Hierarchical Dirichlet Processes,"Huizi Zhang, Sara Wade, Natalia Bochkina",27,https://www.jmlr.org/papers/v27/25-0668.html,https://www.jmlr.org/papers/volume27/25-0668/25-0668.pdf,
49,Method,Online Bernstein-von Mises theorem,"Jeyong Lee, Junhyeok Choi, Minwoo Chae",27,https://www.jmlr.org/papers/v27/25-0989.html,https://www.jmlr.org/papers/volume27/25-0989/25-0989.pdf,
50,Method,Transformers Can Overcome the Curse of Dimensionality: A Theoretical Study from an Approximation Perspective,"Yuling Jiao, Yanming Lai, Yang Wang, Bokai Yan",27,https://www.jmlr.org/papers/v27/25-1214.html,https://www.jmlr.org/papers/volume27/25-1214/25-1214.pdf,
51,Method,The Role of Contextual Information in Best Arm Identification,"Masahiro Kato, Kaito Ariu",27,https://www.jmlr.org/papers/v27/22-0358.html,https://www.jmlr.org/papers/volume27/22-0358/22-0358.pdf,
52,Method,A Functional-Space Mean-Field Theory of Partially-Trained Three-Layer Neural Networks,"Zhengdao Chen, Eric Vanden-Eijnden, Joan Bruna",27,https://www.jmlr.org/papers/v27/22-1232.html,https://www.jmlr.org/papers/volume27/22-1232/22-1232.pdf,
53,Method,Inference with non-differentiable surrogate loss in a general high-dimensional classification framework,"Muxuan Liang, Yang Ning, Maureen A Smith, Ying-Qi Zhao",27,https://www.jmlr.org/papers/v27/23-0126.html,https://www.jmlr.org/papers/volume27/23-0126/23-0126.pdf,https://github.com/muxuanliang/InferClassHighDim
54,Method,Knowledge Cascade: Reverse Knowledge Distillation on Nonparametric Multivariate Functional Estimation,"Luyang Fang, Haoran Lu, Yongkai Chen, Wenxuan Zhong, Ping Ma",27,https://www.jmlr.org/papers/v27/23-0359.html,https://www.jmlr.org/papers/volume27/23-0359/23-0359.pdf,https://github.com/LuyangFang/KCas
55,Method,Neural Exploitation and Exploration of Contextual Bandits,"Yikun Ban, Yuchen Yan, Arindam Banerjee, Jingrui He",27,https://www.jmlr.org/papers/v27/23-0582.html,https://www.jmlr.org/papers/volume27/23-0582/23-0582.pdf,
56,Method,Causal Influences over Social Learning Networks,"Mert Kayaalp, Ali H. Sayed",27,https://www.jmlr.org/papers/v27/23-0910.html,https://www.jmlr.org/papers/volume27/23-0910/23-0910.pdf,
57,Method,Do We Need to Penalize Variance of Losses for Learning with Label Noise?,"Yexiong Lin, Yu Yao, Yuxuan Du, Jun Yu, Bo Han, Mingming Gong, Tongliang Liu",27,https://www.jmlr.org/papers/v27/23-1102.html,https://www.jmlr.org/papers/volume27/23-1102/23-1102.pdf,
58,Method,Nonparametric generative modeling for time series via SchrÃ¶dinger bridge,"Mohamed Hamdouche, Pierre Henry-LabordÃ¨re, HuyÃªn Pham",27,https://www.jmlr.org/papers/v27/23-1162.html,https://www.jmlr.org/papers/volume27/23-1162/23-1162.pdf,
59,Method,Sparse Topic Modeling via Spectral Decomposition and Thresholding,"Huy Tran, Yating Liu, Claire Donnat",27,https://www.jmlr.org/papers/v27/23-1344.html,https://www.jmlr.org/papers/volume27/23-1344/23-1344.pdf,https://github.com/yatingliu2548/topic-modeling
60,Method,Probabilistic Rainfall Downscaling: Joint Generalized Neural Models with Censored Spatial Gaussian Copula,"David Huk, Rilwan A. Adewoyin, Ritabrata Dutta",27,https://www.jmlr.org/papers/v27/23-1381.html,https://www.jmlr.org/papers/volume27/23-1381/23-1381.pdf,https://github.com/Huk-David/SpaDep_VCop/tree/4Paper
61,Method,"Global FrÃ©chet Manifold Learning for Random Objects, With Application to Low-Dimensional Wasserstein Representations of Distributional Data","Ãlvaro Gajardo, Hans-Georg MÃ¼ller",27,https://www.jmlr.org/papers/v27/23-1392.html,https://www.jmlr.org/papers/volume27/23-1392/23-1392.pdf,
62,Method,A Convex Framework for Confounding Robust Inference,"Kei Ishikawa, Niao He, Takafumi Kanamori",27,https://www.jmlr.org/papers/v27/23-1434.html,https://www.jmlr.org/papers/volume27/23-1434/23-1434.pdf,https://github.com/kstoneriv3/confounding-robust-inference
63,Method,Kernel-based Distributed Learning Beyond Least Squares,"Heng Lian, Xu Guo",27,https://www.jmlr.org/papers/v27/23-1592.html,https://www.jmlr.org/papers/volume27/23-1592/23-1592.pdf,
64,Method,"Why ""Classic"" Transformers Are Shallow and A Depth-Enabling Technique","Yueyao Yu, Yin Zhang",27,https://www.jmlr.org/papers/v27/24-0169.html,https://www.jmlr.org/papers/volume27/24-0169/24-0169.pdf,
65,Method,"Bayes-Optimal Fair Classification with Linear Disparity Constraints via Pre-, In-, and Post-processing","Xianli Zeng, Kevin Jiang, Guang Cheng, Edgar Dobriban",27,https://www.jmlr.org/papers/v27/24-0188.html,https://www.jmlr.org/papers/volume27/24-0188/24-0188.pdf,https://github.com/XianliZeng/Bayes-Optimal-Fair-Classification
66,Method,Investigating the Histogram Loss in Regression,"Ehsan Imani, Kai Luedemann, Sam Scholnick-Hughes, Esraa Elelimy, Martha White",27,https://www.jmlr.org/papers/v27/24-0260.html,https://www.jmlr.org/papers/volume27/24-0260/24-0260.pdf,https://github.com/marthawhite/Histogram_loss
67,Method,Optimal Approximation and Generalization Errors for Deep Convolutional Neural Networks,"Jinxin Wang, Shao-Bo Lin",27,https://www.jmlr.org/papers/v27/24-0314.html,https://www.jmlr.org/papers/volume27/24-0314/24-0314.pdf,https://github.com/DataScienceGroupOfManagement/eDCNN-maxpooling
68,Method,Approximations and Learning for Continuous State and Action MDPs under Average Cost Criteria,"Ali D. Kara, Serdar YÃ¼ksel",27,https://www.jmlr.org/papers/v27/24-0395.html,https://www.jmlr.org/papers/volume27/24-0395/24-0395.pdf,
69,Method,Minimax density estimation in the adversarial framework under local differential privacy,"MÃ©lisande Albert, Juliette Chevallier, BÃ©atrice Laurent, Ousmane Sacko",27,https://www.jmlr.org/papers/v27/24-0494.html,https://www.jmlr.org/papers/volume27/24-0494/24-0494.pdf,
70,Method,A Mean-Field Analysis of Neural Stochastic Gradient Descent-Ascent for Functional Minimax Optimization,"Yuchen Zhu, Yufeng Zhang, Zhaoran Wang, Zhuoran Yang, Xiaohong Chen",27,https://www.jmlr.org/papers/v27/24-0554.html,https://www.jmlr.org/papers/volume27/24-0554/24-0554.pdf,
71,Method,"Nonparametric Partial Disentanglement via Mechanism Sparsity: Sparse Actions, Interventions and Sparse Temporal Dependencies","SÃ©bastien Lachapelle, Pau RodrÃ­guez LÃ³pez, Yash Sharma, Katie Everett, RÃ©mi Le Priol, Alexandre Lacoste, Simon Lacoste-Julien",27,https://www.jmlr.org/papers/v27/24-0771.html,https://www.jmlr.org/papers/volume27/24-0771/24-0771.pdf,https://github.com/slachapelle/disentanglement_via_mechanism_sparsity
72,Method,Corruptions of Supervised Learning Problems: Typology and Mitigations,"Laura Iacovissi, Nan Lu, Robert C. Williamson",27,https://www.jmlr.org/papers/v27/24-0808.html,https://www.jmlr.org/papers/volume27/24-0808/24-0808.pdf,
73,Method,Differentially Private Best-Arm Identification,"Achraf Azize, Marc Jourdan, Aymen Al Marjani, Debabrota Basu",27,https://www.jmlr.org/papers/v27/24-0880.html,https://www.jmlr.org/papers/volume27/24-0880/24-0880.pdf,https://github.com/achraf-azize/DP-BAI
74,Method,Vector-Valued Gaussian Processes for Approximating Divergence- or Rotation-free Vector Fields,"Quoc Thong Le Gia, Ian Hugh Sloan, Holger Wendland",27,https://www.jmlr.org/papers/v27/24-0885.html,https://www.jmlr.org/papers/volume27/24-0885/24-0885.pdf,
75,Method,Stochastic Differential Equations models for Least-Squares Stochastic Gradient Descent,"Adrien Schertzer, Loucas Pillaud-Vivien",27,https://www.jmlr.org/papers/v27/24-1025.html,https://www.jmlr.org/papers/volume27/24-1025/24-1025.pdf,
76,Method,A Fully Parameter-Free Second-Order Algorithm for Convex-Concave Minimax Problems,"Jun-Lin Wang, Zi Xu, Hui-Ling Zhang",27,https://www.jmlr.org/papers/v27/24-1035.html,https://www.jmlr.org/papers/volume27/24-1035/24-1035.pdf,
77,Method,Limiting Over-Smoothing and Over-Squashing of Graph Message Passing by Deep Scattering Transforms,"Yuanhong Jiang, Dongmian Zou, Xiaoqun Zhang, Yu Guang Wang",27,https://www.jmlr.org/papers/v27/24-1075.html,https://www.jmlr.org/papers/volume27/24-1075/24-1075.pdf,https://github.com/jyh6681/DSMP
78,Method,Multi-relational Network Autoregression Model with Latent Group Structures,"Yimeng Ren, Xuening Zhu, Ganggang Xu, Yanyuan Ma",27,https://www.jmlr.org/papers/v27/24-1191.html,https://www.jmlr.org/papers/volume27/24-1191/24-1191.pdf,https://github.com/MelodyRen1998/GTNAR/
79,Method,Enhancing Accuracy in Generative Models via Knowledge Transfer,"Xinyu Tian, Xiaotong Shen",27,https://www.jmlr.org/papers/v27/24-1291.html,https://www.jmlr.org/papers/volume27/24-1291/24-1291.pdf,
80,Method,Demographic Parity in Regression and Classification Within the Unawareness Framework,"Vincent Divol, Solenne Gaucher",27,https://www.jmlr.org/papers/v27/24-1338.html,https://www.jmlr.org/papers/volume27/24-1338/24-1338.pdf,
81,Method,Differentially Private Estimation and Inference in High-Dimensional Regression with FDR Control,"Zhanrui Cai, Sai Li, Xintao Xia, Linjun Zhang",27,https://www.jmlr.org/papers/v27/24-1413.html,https://www.jmlr.org/papers/volume27/24-1413/24-1413.pdf,
82,Method,Beyond Unconstrained Features: Neural Collapse for Shallow Neural Networks with General Data,"Wanli Hong, Shuyang Ling",27,https://www.jmlr.org/papers/v27/24-1429.html,https://www.jmlr.org/papers/volume27/24-1429/24-1429.pdf,
83,Method,Asymptotics of Stochastic Gradient Descent with Dropout Regularization in Linear Models,"Jiaqi Li, Johannes Schmidt-Hieber, Wei Biao Wu",27,https://www.jmlr.org/papers/v27/24-1484.html,https://www.jmlr.org/papers/volume27/24-1484/24-1484.pdf,
84,Method,Almost Sure Convergence of Linear Temporal Difference Learning with Arbitrary Features,"Jiuqi Wang, Shangtong Zhang",27,https://www.jmlr.org/papers/v27/24-1538.html,https://www.jmlr.org/papers/volume27/24-1538/24-1538.pdf,
85,Method,Convergence of Noise-Free Sampling Algorithms with Regularized Wasserstein Proximals,"Fuqun Han, Stanley Osher, Wuchen Li",27,https://www.jmlr.org/papers/v27/24-1560.html,https://www.jmlr.org/papers/volume27/24-1560/24-1560.pdf,
86,Method,Best Arm Identification with Minimal Regret,"Junwen Yang, Vincent Y. F. Tan, Tianyuan Jin",27,https://www.jmlr.org/papers/v27/24-1612.html,https://www.jmlr.org/papers/volume27/24-1612/24-1612.pdf,
87,Method,On the Relevance of Byzantine Robust Optimization Against Data Poisoning,"Sadegh Farhadkhani, Rachid Guerraoui, Nirupam Gupta, Rafael Pinot",27,https://www.jmlr.org/papers/v27/24-1748.html,https://www.jmlr.org/papers/volume27/24-1748/24-1748.pdf,
