No,Type,Title,Authors,Track,Issue,Paper_Link,PDF_Link
1,Dataset,GLCF: A Global-Local Multimodal Coherence Analysis Framework for Talking Face Generation Detection,"Xiaocan Chen, Qilin Yin, Jiarui Liu, Wei Lu, Xiangyang Luo, Jiantao Zhou",AAAI Technical Track on Application Domains,Vol. 39 No. 1: AAAI-25 Technical Tracks 1,https://ojs.aaai.org/index.php/AAAI/article/view/31982,https://ojs.aaai.org/index.php/AAAI/article/view/31982/34137
2,Dataset,Each Fake News Is Fake in Its Own Way: An Attribution Multi-Granularity Benchmark for Multimodal Fake News Detection,"Hao Guo, Zihan Ma, Zhi Zeng, Minnan Luo, Weixin Zeng, Jiuyang Tang, Xiang Zhao",AAAI Technical Track on Application Domains,Vol. 39 No. 1: AAAI-25 Technical Tracks 1,https://ojs.aaai.org/index.php/AAAI/article/view/31999,https://ojs.aaai.org/index.php/AAAI/article/view/31999/34154
3,Dataset,CoPRA: Bridging Cross-domain Pretrained Sequence Models with Complex Structures for Protein-RNA Binding Affinity Prediction,"Rong Han, Xiaohong Liu, Tong Pan, Jing Xu, Xiaoyu Wang, Wuyang Lan, Zhenyu Li, Zixuan Wang, Jiangning Song, Guangyu Wang, Ting Chen",AAAI Technical Track on Application Domains,Vol. 39 No. 1: AAAI-25 Technical Tracks 1,https://ojs.aaai.org/index.php/AAAI/article/view/32001,https://ojs.aaai.org/index.php/AAAI/article/view/32001/34156
4,Dataset,ViFactCheck: A New Benchmark Dataset and Methods for Multi-Domain News Fact-Checking In Vietnamese,"Tran Thai Hoa, Tran Quang Duy, Khanh Quoc Tran, Kiet Van Nguyen",AAAI Technical Track on Application Domains,Vol. 39 No. 1: AAAI-25 Technical Tracks 1,https://ojs.aaai.org/index.php/AAAI/article/view/32008,https://ojs.aaai.org/index.php/AAAI/article/view/32008/34163
5,Dataset,Vox-UDA: Voxel-wise Unsupervised Domain Adaptation for Cryo-Electron Subtomogram Segmentation with Denoised Pseudo-Labeling,"Haoran Li, Xingjian Li, Jiahua Shi, Huaming Chen, Bo Du, Daisuke Kihara, Johan Barthelemy, Jun Shen, Min Xu",AAAI Technical Track on Application Domains,Vol. 39 No. 1: AAAI-25 Technical Tracks 1,https://ojs.aaai.org/index.php/AAAI/article/view/32019,https://ojs.aaai.org/index.php/AAAI/article/view/32019/34174
6,Dataset,Graph-Based Cross-Domain Knowledge Distillation for Cross-Dataset Text-to-Image Person Retrieval,"Bingjun Luo, Jinpeng Wang, Zewen Wang, Junjie Zhu, Xibin Zhao",AAAI Technical Track on Application Domains,Vol. 39 No. 1: AAAI-25 Technical Tracks 1,https://ojs.aaai.org/index.php/AAAI/article/view/32037,https://ojs.aaai.org/index.php/AAAI/article/view/32037/34192
7,Dataset,A Simple and Comprehensive Benchmark for Single-Cell Transcriptomics,"Jiaxin Qi, Yan Cui, Kailei Guo, Xiaomin Zhang, Jianqiang Huang, Gaogang Xie",AAAI Technical Track on Application Domains,Vol. 39 No. 1: AAAI-25 Technical Tracks 1,https://ojs.aaai.org/index.php/AAAI/article/view/32049,https://ojs.aaai.org/index.php/AAAI/article/view/32049/34204
8,Dataset,Towards Better Robustness Against Natural Corruptions in Document Tampering Localization,"Huiru Shao, Kaizhu Huang, Wei Wang, Xiaowei Huang, Qiufeng Wang",AAAI Technical Track on Application Domains,Vol. 39 No. 1: AAAI-25 Technical Tracks 1,https://ojs.aaai.org/index.php/AAAI/article/view/32052,https://ojs.aaai.org/index.php/AAAI/article/view/32052/34207
9,Dataset,Vision Transformers Beat WideResNets on Small Scale Datasets Adversarial Robustness,"Juntao Wu, Ziyu Song, Xiaoyu Zhang, Shujun Xie, Longxin Lin, Ke Wang",AAAI Technical Track on Application Domains,Vol. 39 No. 1: AAAI-25 Technical Tracks 1,https://ojs.aaai.org/index.php/AAAI/article/view/32073,https://ojs.aaai.org/index.php/AAAI/article/view/32073/34228
10,Dataset,Multi-Modal Latent Variables for Cross-Individual Primary Visual Cortex Modeling and Analysis,"Yu Zhu, Bo Lei, Chunfeng Song, Wanli Ouyang, Shan Yu, Tiejun Huang",AAAI Technical Track on Application Domains,Vol. 39 No. 1: AAAI-25 Technical Tracks 1,https://ojs.aaai.org/index.php/AAAI/article/view/32111,https://ojs.aaai.org/index.php/AAAI/article/view/32111/34266
11,Dataset,SocialSim: Towards Socialized Simulation of Emotional Support Conversation,"Zhuang Chen, Yaru Cao, Guanqun Bi, Jincenzi Wu, Jinfeng Zhou, Xiyao Xiao, Si Chen, Hongning Wang, Minlie Huang",AAAI Technical Track on Cognitive Modeling & Cognitive Systems,Vol. 39 No. 2: AAAI-25 Technical Tracks 2,https://ojs.aaai.org/index.php/AAAI/article/view/32116,https://ojs.aaai.org/index.php/AAAI/article/view/32116/34271
12,Dataset,CraftFactory: A Conditioned Control Policy Benchmark for Compositional Generalization,"Jinbing Hou, Youpeng Zhao, Jian Zhao",AAAI Technical Track on Cognitive Modeling & Cognitive Systems,Vol. 39 No. 2: AAAI-25 Technical Tracks 2,https://ojs.aaai.org/index.php/AAAI/article/view/32121,https://ojs.aaai.org/index.php/AAAI/article/view/32121/34276
13,Dataset,DARR: A Dual-Branch Arithmetic Regression Reasoning Framework for Solving Machine Number Reasoning,"Chengtai Li, Yee Yang Tan, Yuting He, Jianfeng Ren, Ruibin Bai, Yitian Zhao, Heng Yu, Xudong Jiang",AAAI Technical Track on Cognitive Modeling & Cognitive Systems,Vol. 39 No. 2: AAAI-25 Technical Tracks 2,https://ojs.aaai.org/index.php/AAAI/article/view/32127,https://ojs.aaai.org/index.php/AAAI/article/view/32127/34282
