key,title,authors,venue,year,preprint,decision,reason
shafait2008sixpagesegmentation,Performance Evaluation and Benchmarking of Six-Page Segmentation Algorithms,"Shafait, Faisal and Keysers, Daniel and Breuel, Thomas M.",IEEE Trans. Pattern Anal. Mach. Intell.,2008,no,included,
almazan2014wordspotting,Word Spotting and Recognition with Embedded Attributes,"Almaz\'an, Jon and Gordo, Albert and Forn\'es, Alicia and Valveny, Ernest",IEEE Trans. Pattern Anal. Mach. Intell.,2014,no,included,
rath2007wordspotting,Word Spotting for Historical Documents,"Rath, Toni M. and Manmatha, R.",Int. J. Document Analysis and Recognition (IJDAR),2007,no,included,
rusinol2015segmentationfree,Efficient Segmentation-Free Keyword Spotting in Historical Document Collections,"Rusi\~nol, Mar\ccal and Aldavert, David and Toledo, Ricardo and Llad\'os, Josep",Pattern Recognition,2015,no,included,
sudholt2016phocnet,PHOCNet: A Deep CNN for Word Spotting in Handwritten Documents,"Sudholt, Sebastian and Fink, Gernot A.",Proc. Int. Conf. Frontiers in Handwriting Recognition (ICFHR),2016,no,included,
wilkinson2017neuralctrlf,Neural Ctrl-F: Segmentation-Free Query-by-String Word Spotting,"Wilkinson, Tomas and Lindstr\""om, Jonas and Brun, Anders",Proc. IEEE/CVF Int. Conf. Comput. Vis. (ICCV),2017,no,included,
pyreddy1997tintin,TINTIN: A System for Retrieval in Text Tables,"Pyreddy, Pallavi and Croft, W. Bruce",Proc. ACM Int. Conf. Digital Libraries,1997,no,included,
xu2020layoutlm,LayoutLM: Pre-training of Text and Layout for Document Image Understanding,"Xu, Yiheng and Li, Minghao and Cui, Lei and Huang, Shaohan and Wei, Furu and Zhou, Ming",Proc. ACM SIGKDD Int. Conf. Knowledge Discovery and Data Mining,2020,no,included,
xu2021layoutlmv2,LayoutLMv2: Multi-modal Pre-training for Visually-Rich Document Understanding,"Xu, Yang and Xu, Yiheng and Lv, Tengchao and Cui, Lei and Wei, Furu and Wang, Guoxin and others",Proc. Annu. Meeting Assoc. Comput. Linguistics (ACL),2021,no,included,
huang2022layoutlmv3,LayoutLMv3: Pre-training for Document AI with Unified Text and Image Masking,"Huang, Yupan and Lv, Tengchao and Cui, Lei and Lu, Yutong and Wei, Furu",Proc. ACM Int. Conf. Multimedia (ACM MM),2022,no,included,
wang2022lilt,LiLT: A Simple yet Effective Language-Independent Layout Transformer for Structured Document Understanding,"Wang, Jiapeng and Jin, Lianwen and Ding, Kai",Proc. Annu. Meeting Assoc. Comput. Linguistics (ACL),2022,no,included,
huang2022ernielayout,ERNIE-Layout: Layout Knowledge Enhanced Pre-training for Visually-rich Document Understanding,"Peng, Qiming and Pan, Yinxu and Wang, Wenjin and Luo, Bin and Zhang, Zhenyu and Huang, Zhengjie and others",Findings of EMNLP,2022,no,included,
kim2022donut,OCR-free Document Understanding Transformer,"Kim, Geewook and Hong, Teakgyu and Yim, Moonbin and Nam, Jeongyeon and Park, Jinyoung and Yim, Jinyeong and others",Proc. Eur. Conf. Comput. Vis. (ECCV),2022,no,included,
davis2022dessurt,End-to-End Document Recognition and Understanding with Dessurt,"Davis, Brian and Morse, Bryan and Price, Brian and Tensmeyer, Chris and Wigington, Curtis and Morariu, Vlad",Proc. Eur. Conf. Comput. Vis. Workshops (ECCVW),2022,no,included,
tang2023udop,"Unifying Vision, Text, and Layout for Universal Document Processing","Tang, Zineng and Yang, Ziyi and Wang, Guoxin and Fang, Yuwei and Liu, Yang and Zhu, Chenguang and others",Proc. IEEE/CVF Conf. Comput. Vis. Pattern Recognit. (CVPR),2023,no,included,
smith2007tesseract,An Overview of the Tesseract OCR Engine,"Smith, Ray",Proc. Int. Conf. Document Analysis and Recognition (ICDAR),2007,no,included,
shi2017crnn,An End-to-End Trainable Neural Network for Image-Based Sequence Recognition and Its Application to Scene Text Recognition,"Shi, Baoguang and Bai, Xiang and Yao, Cong",IEEE Trans. Pattern Anal. Mach. Intell.,2017,no,included,
li2023trocr,TrOCR: Transformer-Based Optical Character Recognition with Pre-trained Models,"Li, Minghao and Lv, Tengchao and Chen, Jingye and Cui, Lei and Lu, Yijuan and Florencio, Dinei and others",Proc. AAAI Conf. Artificial Intelligence,2023,no,included,
zhong2019publaynet,PubLayNet: Largest Dataset Ever for Document Layout Analysis,"Zhong, Xu and Tang, Jianbin and Jimeno Yepes, Antonio",Proc. Int. Conf. Document Analysis and Recognition (ICDAR),2019,no,included,
lu-etal-2025-bounding,A Bounding Box is Worth One Token: Interleaving Layout and Text in a Large Language Model for Document Understanding,"Lu, Jinghui and Yu, Haiyang and Wang, Yanjie and others",Proc. Annu. Meeting Assoc. Comput. Linguistics (ACL),2025,no,included,
liaodoclayllm2025,DocLayLLM: An Efficient Multi-modal Extension of Large Language Models for Text-rich Document Understanding,"Liao, Wenhui and Wang, Jiapeng and Li, Hongliang and Wang, Chengyu and Huang, Jun and Jin, Lianwen",Proc. IEEE/CVF Conf. Comput. Vis. Pattern Recognit. (CVPR),2025,no,included,
zhua2025,A Simple yet Effective Layout Token in Large Language Models for Document Understanding,"Zhu, Zhaoqing and Luo, Chuwei and Shao, Zirui and Gao, Feiyu and Xing, Hangdi and Zheng, Qi and others",Proc. IEEE/CVF Conf. Comput. Vis. Pattern Recognit. (CVPR),2025,no,included,
chengraphbased2025,Graph-based Document Structure Analysis,"Chen, Yufan and Liu, Ruiping and Zheng, Junwei and Wen, Di and Peng, Kunyu and Zhang, Jiaming and others",Proc. Int. Conf. Learning Representations (ICLR),2025,no,included,
zanibbi2004tablesurvey,"A Survey of Table Recognition: Models, Observations, Transformations, and Inferences","Zanibbi, Richard and Blostein, Dorothea and Cordy, James R.",Int. J. Document Analysis and Recognition (IJDAR),2004,no,included,
embley2006tableparadigms,Table-Processing Paradigms: A Research Survey,"Embley, David W. and Hurst, Matthew and Lopresti, Daniel and Nagy, George",Int. J. Document Analysis and Recognition (IJDAR),2006,no,included,
qasim2019tablegnn,Rethinking Table Recognition Using Graph Neural Networks,"Qasim, Shah Rukh and Mahmood, Hassan and Shafait, Faisal",Proc. Int. Conf. Document Analysis and Recognition (ICDAR),2019,no,included,
nassar2022tableformer,TableFormer: Table Structure Understanding with Transformers,"Nassar, Ahmed and Livathinos, Nikolaos and Lysak, Maksym and Staar, Peter",Proc. IEEE/CVF Conf. Comput. Vis. Pattern Recognit. (CVPR),2022,no,included,
smock2022pubtables,PubTables-1M: Towards Comprehensive Table Extraction from Unstructured Documents,"Smock, Brandon and Pesala, Rohith and Abraham, Robin",Proc. IEEE/CVF Conf. Comput. Vis. Pattern Recognit. (CVPR),2022,no,included,
zheng-etal-2024-multimodal,Multimodal Table Understanding,"Zheng, Mingyu and Feng, Xinwei and Si, Qingyi and others",Proc. Annu. Meeting Assoc. Comput. Linguistics (ACL),2024,no,included,
methani2020plotqa,PlotQA: Reasoning over Scientific Plots,"Methani, Nitesh and Ganguly, Pritha and Khapra, Mitesh M. and Kumar, Pratyush",Proc. IEEE/CVF Winter Conf. Appl. Comput. Vis. (WACV),2020,no,included,
masry2022chartqa,ChartQA: A Benchmark for Question Answering about Charts with Visual and Logical Reasoning,"Masry, Ahmed and Long, Do Xuan and Tan, Jia Qing and Joty, Shafiq and Hoque, Enamul",Findings of ACL,2022,no,included,
wangcharxiv2024,CharXiv: Charting Gaps in Realistic Chart Understanding in Multimodal LLMs,"Wang, Zirui and Xia, Mengzhou and He, Luxi and Chen, Howard and Liu, Yitao and Zhu, Richard and others",Adv. Neural Inf. Process. Syst. (NeurIPS),2024,no,included,
masry-etal-2024-chartinstruct,ChartInstruct: Instruction Tuning for Chart Comprehension and Reasoning,"Masry, Ahmed and Shahmohammadi, Mehrad and Parvez, Md Rizwan and others",Findings of ACL,2024,no,included,
chen2024onechart,OneChart: Purify the Chart Structural Extraction via One Auxiliary Token,"Chen, Jinyue and Kong, Lingyu and Wei, Haoran and Liu, Chenglong and Ge, Zheng and Zhao, Liang and others",Proc. ACM Int. Conf. Multimedia (ACM MM),2024,no,included,
xuchartmoe2025,ChartMoE: Mixture of Diversely Aligned Expert Connector for Chart Understanding,"Xu, Zhengzhuo and Qu, Bowen and Qi, Yiyan and Du, SiNan and Xu, Chengjin and Yuan, Chun and others",Proc. Int. Conf. Learning Representations (ICLR),2025,no,included,
chen2025charthqa,Chart-HQA: A Benchmark for Hypothetical Question Answering in Charts,"Chen, Xiangnan and Fang, Yuancheng and Xiao, Qian and Li, Juncheng and Lin, Jun and Tang, Siliang and Yang, Yi and Zhuang, Yueting",Proc. ACM Int. Conf. Multimedia (ACM MM),2025,no,included,
chen-etal-2025-unmasking,Unmasking Deceptive Visuals: Benchmarking Multimodal Large Language Models on Misleading Chart Question Answering,"Chen, Zixin and Song, Sicheng and Shum, KaShun and others",Proc. Conf. Empirical Methods Natural Language Process. (EMNLP),2025,no,included,
chan2000mathrecognition,Mathematical Expression Recognition: A Survey,"Chan, Kam-Fai and Yeung, Dit-Yan",Int. J. Document Analysis and Recognition (IJDAR),2000,no,included,
zanibbi2012mathretrieval,Recognition and Retrieval of Mathematical Expressions,"Zanibbi, Richard and Blostein, Dorothea",Int. J. Document Analysis and Recognition (IJDAR),2012,no,included,
aizawa2013ntcir10math,NTCIR-10 Math Pilot Task Overview,"Aizawa, Akiko and Kohlhase, Michael and Ounis, Iadh",Proc. NTCIR-10,2013,no,included,
zanibbi2016ntcir12mathir,NTCIR-12 MathIR Task Overview,"Zanibbi, Richard and Aizawa, Akiko and Kohlhase, Michael and Ounis, Iadh and Topic, Goran and Davila, Kenny",Proc. NTCIR-12,2016,no,included,
zanibbi2016multistagemath,Multi-Stage Math Formula Search: Using Appearance-Based Similarity Metrics at Scale,"Zanibbi, Richard and Davila, Kenny and Kane, Andrew and Tompa, Frank Wm.",Proc. Int. ACM SIGIR Conf. Res. Develop. Inf. Retrieval,2016,no,included,
wang2024unimernet,UniMERNet: A Universal Network for Real-World Mathematical Expression Recognition,"Wang, Bin and Gu, Zhuangcheng and Liang, Guang and Xu, Chao and Zhang, Bo and Shi, Botian and He, Conghui",arXiv preprint arXiv:2404.15254,2024,yes,included,
blechernougat2024,Nougat: Neural Optical Understanding for Academic Documents,"Blecher, Lukas and Cucurull, Guillem and Scialom, Thomas and Stojnic, Robert",Proc. Int. Conf. Learning Representations (ICLR),2024,no,included,
cdm2025,Image Over Text: Transforming Formula Recognition Evaluation with Character Detection Matching,"Wang, Bin and Wu, Fan and Ouyang, Linke and Gu, Zhuangcheng and Zhang, Rui and Xia, Renqiu and Shi, Botian and Zhang, Bo and He, Conghui",Proc. IEEE/CVF Conf. Comput. Vis. Pattern Recognit. (CVPR),2025,no,included,
jaume2019funsd,FUNSD: A Dataset for Form Understanding in Noisy Scanned Documents,"Jaume, Guillaume and Ekenel, Hazim Kemal and Thiran, Jean-Philippe",Proc. ICDAR Workshops,2019,no,included,
huang2019sroie,ICDAR2019 Competition on Scanned Receipt OCR and Information Extraction,"Huang, Zheng and Chen, Kai and He, Jianhua and Bai, Xiang and Karatzas, Dimosthenis and Lu, Shijian and others",Proc. Int. Conf. Document Analysis and Recognition (ICDAR),2019,no,included,
lee2022formnet,FormNet: Structural Encoding beyond Sequential Modeling in Form Document Information Extraction,"Lee, Chen-Yu and Li, Chun-Liang and Dozat, Timothy and Perot, Vincent and Su, Guolong and Hua, Nan and others",Proc. Annu. Meeting Assoc. Comput. Linguistics (ACL),2022,no,included,
perot-etal-2024-lmdx,LMDX: Language Model-based Document Information Extraction and Localization,"Perot, Vincent and Kang, Kai and Luisier, Florian and others",Findings of ACL,2024,no,included,
masrfund2024,SRFUND: A Multi-Granularity Hierarchical Structure Reconstruction Benchmark in Form Understanding,"Ma, Jiefeng and Wang, Yan and Liu, Chenyu and Du, Jun and Hu, Yu and Zhang, Zhenrong and others",Adv. Neural Inf. Process. Syst. (NeurIPS),2024,no,included,
ji-etal-2026-unikie,UNIKIE-BENCH: Benchmarking Large Multimodal Models for Key Information Extraction in Visual Documents,"Ji, Yifan and Xu, Zhipeng and Liu, Zhenghao and others",Proc. Annu. Meeting Assoc. Comput. Linguistics (ACL),2026,no,included,
nandedkar2016spods,"SPODS: A Dataset of Color-Official Documents and Detection of Logo, Stamp, and Signature","Nandedkar, Abhijit and Mukherjee, Jayanta and Sural, Shamik",Proc. ICVGIP Satellite Workshops,2017,no,included,
younas2017dstar,D-StaR: A Generic Method for Stamp Segmentation from Document Images,"Younas, Junaid and Afzal, Muhammad Zeshan and Malik, Muhammad Imran and Shafait, Faisal and Lukowicz, Paul and Ahmed, Sheraz",Proc. Int. Conf. Document Analysis and Recognition (ICDAR),2017,no,included,
mandal2011signaturecrf,Signature Segmentation from Machine Printed Documents Using Conditional Random Field,"Mandal, Ranju and Roy, Partha Pratim and Pal, Umapada",Proc. Int. Conf. Document Analysis and Recognition (ICDAR),2011,no,included,
nandedkar2015textgraphics,Text-Graphics Separation to Detect Logo and Stamp from Color Document Images: A Spectral Approach,"Nandedkar, Abhijit and Mukhopadhyay, Jayanta and Sural, Shamik",Proc. Int. Conf. Document Analysis and Recognition (ICDAR),2015,no,included,
ju2025dkds,DKDS: A Benchmark Dataset of Degraded Kuzushiji Documents with Seals for Detection and Binarization,Ju and Yamashita and Kameko and Mori,arXiv preprint arXiv:2511.09117,2025,yes,included,
zramdini1998fontrecognition,Optical Font Recognition Using Typographical Features,"Zramdini, Abdelwahab and Ingold, Rolf",IEEE Trans. Pattern Anal. Mach. Intell.,1998,no,included,
marinai2006fontadaptive,Font Adaptive Word Indexing of Modern Printed Documents,"Marinai, Simone and Marino, Emanuele and Soda, Giovanni",IEEE Trans. Pattern Anal. Mach. Intell.,2006,no,included,
wang2015deepfont,DeepFont: Identify Your Font from an Image,"Wang, Zhangyang and Yang, Jianchao and Jin, Hailin and Shechtman, Eli and Agarwala, Aseem and Brandt, Jonathan and others",Proc. ACM Int. Conf. Multimedia (ACM MM),2015,no,included,
tsuji2021fontusagetrends,Using Robust Regression to Find Font Usage Trends,"Tsuji and Uchida, Seiichi and Iwana, Brian Kenji",Proc. ICDAR Workshops,2021,no,included,
yasukochi2023fontstyleusage,Analyzing Font Style Usage and Contextual Factors in Real Images,"Yasukochi, Naoya and Hayashi, Hideaki and Haraguchi, Daichi and Uchida, Seiichi",Proc. Int. Conf. Document Analysis and Recognition (ICDAR),2023,no,included,
textar2025,TexTAR: Textual Attribute Recognition in Multi-domain and Multi-lingual Document Images,Anonymous,arXiv preprint arXiv:2509.13151,2025,yes,included,
gunther2024latechunking,Late Chunking: Contextual Chunk Embeddings Using Long-Context Embedding Models,"G\""unther, Michael and Mohr, Isabelle and Wang, Bo and Xiao, Han",arXiv preprint arXiv:2409.04701,2024,yes,included,
jimenoyepes2024financialchunking,Financial Report Chunking for Effective Retrieval Augmented Generation,"Jimeno-Yepes, Antonio and You, Yao and Milczek, Jan and Laverde, Sebastian and Li, Renyu",arXiv preprint arXiv:2402.05131,2024,yes,included,
visualchunk2025,Vision-Guided Chunking Is All You Need,Tripathi and Odapally and Das and Allu and Ahmed,arXiv preprint arXiv:2506.16035,2025,yes,included,
qin2026semanticlayoutchunking,Enhancing RAG System Performance Through Semantic Layout Chunking,Qin and Sun and French and Liu,Proc. Int. Conf. Artificial Intelligence,2026,no,included,
qu2025semanticchunking,On the Effectiveness of Semantic Chunking,"Qu, Renyi and others",Findings of NAACL,2025,no,included,
hichunk2025,HiChunk: Hierarchical Document Chunking,Anonymous,arXiv preprint arXiv:2509.11552,2025,yes,included,
duarte2024lumberchunker,LumberChunker: Long-Form Narrative Document Segmentation,"Duarte, Andr\'e V. and others",arXiv preprint arXiv:2406.17526,2024,yes,included,
zhoubeyond2026,Beyond Chunk-Then-Embed: A Comprehensive Taxonomy and Evaluation of Document Chunking Strategies for Information Retrieval,"Zhou, Yongjie and Wang, Shuai and Koopman, Bevan and Zuccon, Guido",Proc. Int. ACM SIGIR Conf. Res. Develop. Inf. Retrieval,2026,no,included,
bruch2024fusionfunctions,An Analysis of Fusion Functions for Hybrid Retrieval,"Bruch, Sebastian and Gai, Siyu and Ingber, Amir",ACM Trans. Inf. Syst.,2024,no,included,
zongtowards2025,Towards Lossless Token Pruning in Late-Interaction Retrieval Models,"Zong, Yuxuan and Piwowarski, Benjamin",Proc. Int. ACM SIGIR Conf. Res. Develop. Inf. Retrieval,2025,no,included,
schlattcomparing2026,Comparing Token Pruning Approaches for Multi-Vector Retrieval,"Schlatt, Ferdinand and Barschel, Hanno and Hagen, Matthias",Proc. Int. ACM SIGIR Conf. Res. Develop. Inf. Retrieval,2026,no,included,
kankanampatia2026,A Voronoi Cell Formulation for Principled Token Pruning in Late-Interaction Retrieval Models,"Kankanampati, Yash and Zong, Yuxuan and Tomeh, Nadi and Piwowarski, Benjamin and Le Roux, Joseph",Proc. Int. ACM SIGIR Conf. Res. Develop. Inf. Retrieval,2026,no,included,
scheererwarp2025,WARP: An Efficient Engine for Multi-Vector Retrieval,"Scheerer, Jan Luca and Zaharia, Matei and Potts, Christopher and Alonso, Gustavo and Khattab, Omar",Proc. Int. ACM SIGIR Conf. Res. Develop. Inf. Retrieval,2025,no,included,
yangcolbertsar2026,ColBERTSaR: Sparsified ColBERT Index via Product Quantization,"Yang, Eugene and Yates, Andrew and Lawrie, Dawn J. and Mayfield, James and Samuel, Saron and Jha, Rohan",Proc. Int. ACM SIGIR Conf. Res. Develop. Inf. Retrieval,2026,no,included,
macdonalda2026,A Replicability Study of Joint Product Quantisation for Effective Space-Efficient Dense Retrieval,"Macdonald, Craig and Shen, Zhlli and Tonellotto, Nicola",Proc. Int. ACM SIGIR Conf. Res. Develop. Inf. Retrieval,2026,no,included,
xiaometaembed2026,MetaEmbed: Scaling Multimodal Retrieval at Test-Time with Flexible Late Interaction,"Xiao, Zilin and Ma, Qi and Gu, Mengting and Chen, Chun-cheng and Chen, Xintao and Ordonez, Vicente and others",Proc. Int. Conf. Learning Representations (ICLR),2026,no,included,
xiangwhen2026,When to Use Graphs in RAG: A Comprehensive Analysis for Graph Retrieval-Augmented Generation,"Xiang, Zhishang and Wu, Chuanjie and Zhang, Qinggang and Chen, Shengyuan and Hong, Zijin and Huang, Xiao and others",Proc. Int. Conf. Learning Representations (ICLR),2026,no,included,
huiterative2026,Iterative Multi-Granular RAG with Contextual Hierarchical Graph,"Hu, Yanli and Liu, Teng and Zhou, Zhuangyi and Zeng, Weixin and Tan, Zhen and Zhao, Xiang",Proc. AAAI Conf. Artificial Intelligence,2026,no,included,
zhangbridging2025,Bridging Modalities: Improving Universal Multimodal Retrieval by Multimodal Large Language Models,"Zhang, Xin and Zhang, Yanzhao and Xie, Wen and Li, Mingxin and Dai, Ziqi and Long, Dingkun and others",Proc. IEEE/CVF Conf. Comput. Vis. Pattern Recognit. (CVPR),2025,no,included,
ma2024dse,Unifying Multimodal Retrieval via Document Screenshot Embedding,"Ma, Xueguang and Lin, Sheng-Chieh and Li, Minghan and Chen, Wenhu and Lin, Jimmy",Proc. Conf. Empirical Methods Natural Language Process. (EMNLP),2024,no,included,
fayssecolpali2025,ColPali: Efficient Document Retrieval with Vision Language Models,"Faysse, Manuel and Sibille, Hugues and Wu, Tony and Omrani, Bilel and Viaud, Gautier and Hudelot, C\'eline and others",Proc. Int. Conf. Learning Representations (ICLR),2025,no,included,
yuvisrag2025,VisRAG: Vision-based Retrieval-augmented Generation on Multi-modality Documents,"Yu, Shi and Tang, Chaoyue and Xu, Bokai and Cui, Junbo and Ran, Junhao and Yan, Yukun and others",Proc. Int. Conf. Learning Representations (ICLR),2025,no,included,
tanakavdocrag2025,VDocRAG: Retrieval-Augmented Generation over Visually-Rich Documents,"Tanaka, Ryota and Iki, Taichi and Hasegawa, Taku and Nishida, Kyosuke and Saito, Kuniko and Suzuki, Jun",Proc. IEEE/CVF Conf. Comput. Vis. Pattern Recognit. (CVPR),2025,no,included,
chensvrag2025,SV-RAG: LoRA-Contextualizing Adaptation of MLLMs for Long Document Understanding,"Chen, Jian and Zhang, Ruiyi and Zhou, Yufan and Yu, Tong and Dernoncourt, Franck and Gu, Jiuxiang and others",Proc. Int. Conf. Learning Representations (ICLR),2025,no,included,
cho2024m3docvqa,M3DocRAG: Multi-modal Retrieval is What You Need for Multi-page Multi-document Understanding,"Cho, Jaemin and Mahata, Debanjan and Irsoy, Ozan and He, Yujie and Bansal, Mohit",arXiv preprint arXiv:2411.04952,2024,yes,included,
suri2025visdom,VisDoM: Multi-Document QA with Visually Rich Elements Using Multimodal Retrieval-Augmented Generation,"Suri, Manan and Mathur, Puneet and Dernoncourt, Franck and Goswami, Kanika and Rossi, Ryan A. and Manocha, Dinesh",Proc. Conf. North American Chapter Assoc. Comput. Linguistics (NAACL),2025,no,included,
wang-etal-2025-vidorag,ViDoRAG: Visual Document Retrieval-Augmented Generation via Dynamic Iterative Reasoning Agents,"Wang, Qiuchen and Ding, Ruixue and Chen, Zehui and Wu, Weiqi and Wang, Shihang and Xie, Pengjun and Zhao, Feng",Proc. Conf. Empirical Methods Natural Language Process. (EMNLP),2025,no,included,
liregionrag2026,RegionRAG: Region-level Retrieval-Augmented Generation for Visual Document Understanding,"Li, Yinglu and Lu, Zhiying and Liu, Zhihang and Sun, Yiwei and Liu, Chuanbin and Xie, Hongtao",Proc. AAAI Conf. Artificial Intelligence,2026,no,included,
ma-etal-2025-visa,VISA: Retrieval Augmented Generation with Visual Source Attribution,"Ma, Xueguang and Zhuang, Shengyao and Koopman, Bevan and others",Proc. Annu. Meeting Assoc. Comput. Linguistics (ACL),2025,no,included,
wangregionslm2026,RegionSLM: Region-aware Question Answering on Document Screenshots,"Wang, Chao and Fan, Hehe and Yang, Huichen and Karimi, Sarvnaz and Yao, Lina and Yang, Yi",Proc. Int. ACM SIGIR Conf. Res. Develop. Inf. Retrieval,2026,no,included,
vennam3grounder2026,M3Grounder: Mask-Based Multi-Span and Multi-Granular Grounding for Document QA,"Venna, Venkata Kesav and Gunda, Sai Madhusudan and Jinka, Jyothi Swaroopa and Rachakonda, Hrithik Sagar and Srinivasan, Anirudh and Sarvadevabhatla, Ravi Kiran",Proc. IEEE/CVF Conf. Comput. Vis. Pattern Recognit. (CVPR),2026,no,included,
yuvisual2026,Visual Document Understanding and Reasoning: A Multi-Agent Collaboration Framework with Agent-Wise Adaptive Test-Time Scaling,"Yu, Xinlei and Xu, Chengming and Chen, Zhangquan and Zhang, Yudong and Lu, Shilin and Yang, Cheng and others",Proc. IEEE/CVF Conf. Comput. Vis. Pattern Recognit. (CVPR),2026,no,included,
liulook2026,Look as You Think: Unifying Reasoning and Visual Evidence Attribution for Verifiable Document RAG via Reinforcement Learning,"Liu, Shuochen and Luo, Pengfei and Zhang, Chao and Chen, Yuhao and Zhang, Haotian and Liu, Qi and others",Proc. AAAI Conf. Artificial Intelligence,2026,no,included,
sourati-etal-2026-lad,LAD-RAG: Layout-aware Dynamic RAG for Visually-Rich Document Understanding,"Sourati, Zhivar and Wang, Zheng and Liu, Marianne Menglin and others",Proc. Annu. Meeting Assoc. Comput. Linguistics (ACL),2026,no,included,
ju-etal-2025-mire,MIRe: Enhancing Multimodal Queries Representation via Fusion-Free Modality Interaction for Multimodal Retrieval,"Ju, Yeong-Joon and Kim, Ho-Joong and Lee, Seong-Whan",Proc. Annu. Meeting Assoc. Comput. Linguistics (ACL),2025,no,included,
zeng-etal-2025-enhancing,Enhancing Multimodal Retrieval via Complementary Information Extraction and Alignment,"Zeng, Delong and Xie, Yuexiang and Li, Yaliang and others",Proc. Annu. Meeting Assoc. Comput. Linguistics (ACL),2025,no,included,
tian-etal-2025-core,CoRe-MMRAG: Cross-Source Knowledge Reconciliation for Multimodal RAG,"Tian, Yang and Liu, Fan and Zhang, Jingyuan and others",Proc. Annu. Meeting Assoc. Comput. Linguistics (ACL),2025,no,included,
zhugood2026,Good Ranks Follow Good Answers: Unsupervised Answer-Driven Reranking for Multimodal Document QA,"Zhu, Keyu and Shen, Shuanghong and Wang, Xianquan and Zhang, Kai and Wang, Shijin and Liu, Qi and others",Proc. Int. ACM SIGIR Conf. Res. Develop. Inf. Retrieval,2026,no,included,
wang-etal-2025-infogain,InfoGain-RAG: Boosting Retrieval-Augmented Generation through Document Information Gain-based Reranking and Filtering,"Wang, Zihan and Liang, Zihan and Shao, Zhou and others",Proc. Conf. Empirical Methods Natural Language Process. (EMNLP),2025,no,included,
sundynamicrag2025,DynamicRAG: Leveraging Outputs of Large Language Model as Feedback for Dynamic Reranking in Retrieval-Augmented Generation,"Sun, Jiashuo and Zhong, Xianrui and Zhou, Sizhe and Han, Jiawei",Adv. Neural Inf. Process. Syst. (NeurIPS),2025,no,included,
yurankrag2024,RankRAG: Unifying Context Ranking with Retrieval-Augmented Generation in LLMs,"Yu, Yue and Ping, Wei and Liu, Zihan and Wang, Boxin and You, Jiaxuan and Zhang, Chao and others",Adv. Neural Inf. Process. Syst. (NeurIPS),2024,no,included,
wangmaferw2025,MaFeRw: Query Rewriting with Multi-Aspect Feedbacks for Retrieval-Augmented Large Language Models,"Wang, Yujing and Zhang, Hainan and Pang, Liang and Guo, Binghui and Zheng, Hongwei and Zheng, Zhiming",Proc. AAAI Conf. Artificial Intelligence,2025,no,included,
mengsuit2026,Suit the Remedy to the Retriever: Interpretable Query Optimization with Retriever Preference Alignment for Vision-Language Retrieval,"Meng, Guanghao and Wang, Jinpeng and Zhu, Jieming and Zhang, Letian and Jiang, Yong and Zhao, Dan and others",Proc. AAAI Conf. Artificial Intelligence,2026,no,included,
uzanguided2026,Guided Query Refinement: Multimodal Hybrid Retrieval with Test-Time Optimization,"Uzan, Omri and Yehudai, Asaf and Pony, Roi and Shnarch, Eyal and Gera, Ariel",Proc. Int. Conf. Learning Representations (ICLR),2026,no,included,
parkhierarchical2024,Hierarchical Visual Feature Aggregation for OCR-Free Document Understanding,"Park, Jaeyoo and Choi, Jin Young and Park, Jeonghyung and Han, Bohyung",Adv. Neural Inf. Process. Syst. (NeurIPS),2024,no,included,
zhangdockylin2025,DocKylin: A Large Multimodal Model for Visual Document Understanding with Efficient Visual Slimming,"Zhang, Jiaxin and Yang, Wentao and Lai, Songxuan and Xie, Zecheng and Jin, Lianwen",Proc. AAAI Conf. Artificial Intelligence,2025,no,included,
chenefficient2024,Efficient Large Multi-modal Models via Visual Context Compression,"Chen, Jieneng and Ye, Luoxin and He, Ju and Wang, Zhao-Yang and Khashabi, Daniel and Yuille, Alan",Adv. Neural Inf. Process. Syst. (NeurIPS),2024,no,included,
wen-etal-2025-token,Token Pruning in Multimodal Large Language Models: Are We Solving the Right Problem?,"Wen, Zichen and Gao, Yifeng and Li, Weijia and others",Proc. Annu. Meeting Assoc. Comput. Linguistics (ACL),2025,no,included,
liao-etal-2026-using,Are We Using the Right Benchmark: An Evaluation Framework for Visual Token Compression Methods,"Liao, Chenfei and Wang, Wensong and Wen, Zichen and others",Proc. Annu. Meeting Assoc. Comput. Linguistics (ACL),2026,no,included,
niu-etal-2024-ragtruth,RAGTruth: A Hallucination Corpus for Developing Trustworthy Retrieval-Augmented Language Models,"Niu, Cheng and Wu, Yuanhao and Zhu, Juno and others",Proc. Annu. Meeting Assoc. Comput. Linguistics (ACL),2024,no,included,
sunredeep2025,ReDeEP: Detecting Hallucination in Retrieval-Augmented Generation via Mechanistic Interpretability,"Sun, Zhongxiang and Zang, Xiaoxue and Zheng, Kai and Xu, Jun and Zhang, Xiao and Yu, Weijie and others",Proc. Int. Conf. Learning Representations (ICLR),2025,no,included,
songmeasuring2025,Measuring and Enhancing Trustworthiness of LLMs in RAG through Grounded Attributions and Learning to Refuse,"Song, Maojia and Sim, Shang Hong and Bhardwaj, Rishabh and Chieu, Hai Leong and Majumder, Navonil and Poria, Soujanya",Proc. Int. Conf. Learning Representations (ICLR),2025,no,included,
