key,title,authors,venue,year,preprint,decision,reason
mmdocrag2025,Benchmarking Retrieval-Augmented Multimodal Generation for Document Question Answering,"Dong, Kuicai and Chang, Yujing and Zhang, Xin and Goh Xin Deik, Derrick and Li, Dexun and Ding, Ruiming and Liu, Yong","Adv. Neural Inf. Process. Syst. (NeurIPS), Datasets and Benchmarks Track",2025,no,included,
docHaystacks2024,Document Haystacks: Vision-Language Reasoning over Piles of 1000+ Documents,Anonymous,arXiv preprint arXiv:2411.16740,2024,yes,included,
longdocurl2024,"LongDocURL: A Comprehensive Multimodal Long Document Benchmark Integrating Understanding, Reasoning and Locating","Deng, Chao and others",arXiv preprint arXiv:2412.18424,2024,yes,included,
hu2024mragbench,MRAG-Bench: Vision-Centric Evaluation for Retrieval-Augmented Multimodal Models,"Hu, Wenbo and others",Proc. Int. Conf. Learning Representations (ICLR),2025,no,included,
wu2025visualrag,Visual-RAG: Benchmarking Text-to-Image Retrieval Augmented Generation for Visual Knowledge Intensive Queries,Wu and others,arXiv preprint arXiv:2502.16636,2025,yes,included,
lu2022scienceqa,Learn to Explain: Multimodal Reasoning via Thought Chains for Science Question Answering,"Lu, Pan and Mishra, Swaroop and Xia, Tanglin and Qiu, Liang and Chang, Kai-Wei and Zhu, Song-Chun and Tafjord, Oyvind and Clark, Peter and Kalyan, Ashwin",Adv. Neural Inf. Process. Syst. (NeurIPS),2022,no,included,
ding2023pdfvqa,PDF-VQA: A New Dataset for Real-World VQA on PDF Documents,"Ding, Yihao and Luo, Siwen and Chung, Hyunsuk and Han, Soyeon Caren",arXiv preprint arXiv:2304.06447,2023,yes,included,
lu2004docimageretrieval,Information Retrieval in Document Image Databases,"Lu, Yue and Tan, Chew Lim",IEEE Trans. Knowledge and Data Engineering,2004,no,included,
liu2008mobileretriever,Mobile Retriever: Access to Digital Documents from Their Physical Source,"Liu, Xu and Doermann, David",Int. J. Document Analysis and Recognition (IJDAR),2008,no,included,
liu2023instancelevel,End-to-End Learning of Representations for Instance-Level Document Image Retrieval,"Liu, Li and Lu, Yue and Suen, Ching Y.",Applied Soft Computing,2023,no,included,
teiletche2025modernvbert,ModernVBERT: Towards Smaller Visual Document Retrievers,"Teiletche, Paul and Mac\'e, Quentin and Conti, Max and Loison, Ant\'onio and Viaud, Gautier and Colombo, Pierre and Faysse, Manuel",arXiv preprint arXiv:2510.01149,2025,yes,included,
xu2022xfund,XFUND: A Benchmark Dataset for Multilingual Visually Rich Form Understanding,"Xu, Yiheng and Lv, Tengchao and Cui, Lei and Wang, Guoxin and Lu, Yijuan and Florencio, Dinei and Zhang, Cha and Wei, Furu",Findings of ACL,2022,no,included,
schimanski2026pdfqa,"pdfQA: Diverse, Challenging, and Realistic Question Answering over PDFs","Schimanski, Tobias and Kolli, Imene and Fan, Yu and Saeid Vaghefi, Ario and Ni, Jingwei and Ash, Elliott and Leippold, Markus",arXiv preprint arXiv:2601.02285,2026,yes,included,
citevqa2026,CiteVQA: Benchmarking Evidence Attribution for Trustworthy Document Intelligence,Anonymous,arXiv preprint arXiv:2605.12882,2026,yes,included,
arial2025,ARIAL: An Agentic Framework for Document VQA with Precise Answer Localization,Anonymous,arXiv preprint arXiv:2511.18192,2025,yes,included,
