BibKey,Title,Authors,Year,Venue,DOI,URL,CitedInPaper,Link,LinkType
sun-etal-2026-good,When Good OCR Is Not Enough: Benchmarking OCR Robustness for Retrieval-Augmented Generation,"Sun, Lin and Huang, Jingang and Zhang, Linglin and Jia, Change and Cheng, Zhengwei and Zhang, Xiangzheng",2026,Proc. Annu. Meeting Assoc. Comput. Linguistics: Industry Track (ACL),,https://aclanthology.org/2026.acl-industry.60/,yes,https://aclanthology.org/2026.acl-industry.60/,paper
zhangocr2025,OCR Hinders RAG: Evaluating the Cascading Impact of OCR on Retrieval-Augmented Generation,"Zhang, Junyuan and Zhang, Qintong and Wang, Bin and Ouyang, Linke and Wen, Zichen and Li, Ying and Chow, Ka-Ho and He, Conghui and Zhang, Wentao",2025,Proc. IEEE/CVF Int. Conf. Comput. Vis. (ICCV),,https://openaccess.thecvf.com/content/ICCV2025/html/Zhang_OCR_Hinders_RAG_Evaluating_the_Cascading_Impact_of_OCR_on_ICCV_2025_paper.html,yes,https://openaccess.thecvf.com/content/ICCV2025/html/Zhang_OCR_Hinders_RAG_Evaluating_the_Cascading_Impact_of_OCR_on_ICCV_2025_paper.html,paper
gao-etal-2026-strunrag,StruNRAG: Evaluation of OCR-Induced Structural Noise on RAG Robustness,"Gao, Mengna and Yin, Dapeng and Zhu, Shuyue and others",2026,Findings Assoc. Comput. Linguistics: ACL,,https://aclanthology.org/2026.findings-acl.955/,yes,https://aclanthology.org/2026.findings-acl.955/,paper
singh2026devanagariocr,Can OCR-VLMs Read Devanagari? A Stress-Test Benchmark and Post-Correction Study,"Singh, Aditya Pratap",2026,arXiv preprint arXiv:2606.29213,,,,https://arxiv.org/abs/2606.29213,arXiv
bhat2026savior,SAVIOR: Sample-efficient Adaptation of Vision-Language Models for OCR Representation,"Bhat, Akshata A. and Naganna, S. and Haq, Saiful and Khatri, P. and Tamataam, K. C. R. and Arun, N. and others",2026,Proc. IEEE/CVF Winter Conf. Appl. Comput. Vis. Workshops (WACVW),,,yes,https://scholar.google.com/scholar?q=SAVIOR%3A+Sample-efficient+Adaptation+of+Vision-Language+Models+for+OCR+Representation,Scholar search
zhou2026emorag,EmoRAG: Evaluating RAG Robustness to Symbolic Perturbations,"Zhou, Xiaoyu and Li, Xin and Peng, Yifan and Xu, Ming and Zhang, Xiang and Yu, Ming and others",2026,Proc. ACM SIGKDD Int. Conf. Knowledge Discovery and Data Mining,,https://doi.org/10.1145/3770854.3780238,,https://doi.org/10.1145/3770854.3780238,paper
napolitanobenchmarking2026,Benchmarking Visual LLMs Resilience to Unanswerable Questions on Visually Rich Documents,"Napolitano, Davide and Cagliero, Luca and Battiloro, Fabrizio",2026,Proc. AAAI Conf. Artificial Intelligence,,https://ojs.aaai.org/index.php/AAAI/article/view/37759,,https://ojs.aaai.org/index.php/AAAI/article/view/37759,paper
zhangqerag2026,QE-RAG: A Robust Retrieval-Augmented Generation Benchmark for Query Entry Errors,"Zhang, Kepu and Sun, Zhongxiang and Yu, Weijie and Zang, Xiaoxue and Zheng, Kai and Song, Yang and others",2026,Proc. Int. ACM SIGIR Conf. Res. Develop. Inf. Retrieval,10.1145/3805712.3808610,,,https://doi.org/10.1145/3805712.3808610,paper
salemievaluating2024,Evaluating Retrieval Quality in Retrieval-Augmented Generation,"Salemi, Alireza and Zamani, Hamed",2024,Proc. Int. ACM SIGIR Conf. Res. Develop. Inf. Retrieval,10.1145/3626772.3657957,,yes,https://doi.org/10.1145/3626772.3657957,paper
cuconasuthe2024,The Power of Noise: Redefining Retrieval for RAG Systems,"Cuconasu, Florin and Trappolini, Giovanni and Siciliano, Federico and Filice, Simone and Campagnano, Cesare and Maarek, Yoelle and others",2024,Proc. Int. ACM SIGIR Conf. Res. Develop. Inf. Retrieval,10.1145/3626772.3657834,,,https://doi.org/10.1145/3626772.3657834,paper
lilong2025,Long Context vs. RAG: Strategies for Processing Long Documents in LLMs,"Li, Xinze and Bai, Yushi and Jin, Bowen and Zhu, Fengbin and Pan, Liangming and Cao, Yixin",2025,Proc. Int. ACM SIGIR Conf. Res. Develop. Inf. Retrieval,10.1145/3726302.3731690,,yes,https://doi.org/10.1145/3726302.3731690,paper
jinlongcontext2025,Long-Context LLMs Meet RAG: Overcoming Challenges for Long Inputs in RAG,"Jin, Bowen and Yoon, Jinsung and Han, Jiawei and Arik, Sercan",2025,Proc. Int. Conf. Learning Representations (ICLR),,https://openreview.net/forum?id=oU3tpaR8fm,,https://openreview.net/forum?id=oU3tpaR8fm,paper
levy-etal-2025-documents,"More Documents, Same Length: Isolating the Challenge of Multiple Documents in RAG","Levy, Shahar and Mazor, Nir and Shalmon, Lihi and others",2025,Findings Assoc. Comput. Linguistics: EMNLP,,https://aclanthology.org/2025.findings-emnlp.1064/,yes,https://aclanthology.org/2025.findings-emnlp.1064/,paper
tang2025mtvqa,MTVQA: Benchmarking Multilingual Text-Centric Visual Question Answering,"Tang, Jingqun and Liu, Qi and Ye, Yongjie and Lu, Jinghui and Wei, Shu and Lin, Chunhui and Li, Wanqing and Mahmood, Mohamad Fitri Faiz Bin and Feng, Hao and Zhao, Zhen and He, Yangfan and Lu, Kuan and Wang, Yanjie and Liu, Yuliang and Liu, Hao and Bai, Xiang and Huang, Can",2025,Findings of ACL,,https://aclanthology.org/2025.findings-acl.404/,yes,https://aclanthology.org/2025.findings-acl.404/,paper
osmulski2025miraclvision,"MIRACL-VISION: A Large, Multilingual, Visual Document Retrieval Benchmark","Osmulski, Radek and Moreira, Gabriel de Souza P. and Ak, Ronay and Xu, Mengyao and Schifferer, Benedikt and Oldridge, Even",2025,arXiv preprint arXiv:2505.11651,,,yes,https://arxiv.org/abs/2505.11651,arXiv
indicvisionbench2026,IndicVisionBench: Benchmarking Cultural and Multilingual Understanding in VLMs,"Faraz, Ali and Akash and Khan, Shaharukh and Kolla, Raja and Patidar, Akshat and Goswami, Suranjan and Ravi, Abhinav and Khatri, Chandra and Agarwal, Shubham",2026,Proc. Int. Conf. Learning Representations (ICLR),,https://openreview.net/forum?id=LmJoLn04iL,yes,https://openreview.net/forum?id=LmJoLn04iL,paper
nath2025indicdlp,IndicDLP: A Foundational Dataset for Multi-lingual and Multi-domain Document Layout Parsing,"Nath, Oikantik and Kukkala, Sahithi and Khapra, Mitesh M. and Sarvadevabhatla, Ravi Kiran",2025,Proc. Int. Conf. Document Analysis and Recognition (ICDAR),,https://doi.org/10.1007/978-3-032-04614-7_2,yes,https://doi.org/10.1007/978-3-032-04614-7_2,paper
vijayan2025indicstr,Scene Text Recognition: An Indic Perspective,"Vijayan, Vishal P. and Chanda, Sukalpa and Doermann, David S. and Krishnan, Narayanan C.",2025,Int. J. Document Analysis and Recognition (IJDAR),,,yes,https://scholar.google.com/scholar?q=Scene+Text+Recognition%3A+An+Indic+Perspective,Scholar search
yueseavision2026,SEA-Vision: A Multilingual Benchmark for Comprehensive Document and Scene Text Understanding in Southeast Asia,"Yue, Pengfei and Zhao, Xingran and Chen, Juntao and Hou, Peng and Longchao, Wang and Lin, Jianghang and others",2026,Proc. IEEE/CVF Conf. Comput. Vis. Pattern Recognit. (CVPR),,https://openaccess.thecvf.com/content/CVPR2026/html/Yue_SEA-Vision_A_Multilingual_Benchmark_for_Comprehensive_Document_and_Scene_Text_CVPR_2026_paper.html,yes,https://openaccess.thecvf.com/content/CVPR2026/html/Yue_SEA-Vision_A_Multilingual_Benchmark_for_Comprehensive_Document_and_Scene_Text_CVPR_2026_paper.html,paper
sun2025visrag2,VisRAG 2.0: Evidence-Guided Multi-Image Reasoning in Visual Retrieval-Augmented Generation,"Sun, Yubo and Peng, Chunyi and Yan, Yukun and Yu, Shi and Liu, Zhenghao and Mei, Sen and Chen, Chi and Sun, Maosong",2025,arXiv preprint arXiv:2510.09733,,,yes,https://arxiv.org/abs/2510.09733,arXiv
most2025lostocr,Lost in OCR Translation? Vision-Based Approaches to Robust Document Retrieval,"Most, Alexander and Winjum, Joseph and Biswas, Ayan and Jones, Shawn and Ranasinghe, Nishath Rajiv and O'Malley, Dan and Bhattarai, Manish",2025,Proc. ACM Symp. Document Engineering (DocEng),,,yes,https://arxiv.org/abs/2505.05666,arXiv
piryani2025multiocrqa,Evaluating Robustness of LLMs in Question Answering on Multilingual Noisy OCR Data,"Piryani, Bhawna and Mozafari, Jamshid and Abdallah, Abdelrahman and Doucet, Antoine and Jatowt, Adam",2025,arXiv preprint arXiv:2502.16781,,,yes,https://arxiv.org/abs/2502.16781,arXiv
yan2025docpruner,DocPruner: A Storage-Efficient Framework for Multi-Vector Visual Document Retrieval via Adaptive Patch-Level Embedding Pruning,"Yan, Yibo and Xu, Guangwei and Zou, Xin and Liu, Shuliang and Kwok, James and Hu, Xuming",2025,arXiv preprint arXiv:2509.23883,,,yes,https://arxiv.org/abs/2509.23883,arXiv
beyondgrid2026,Beyond the Grid: Layout-Informed Multi-Vector Retrieval with Parsed Visual Document Representations,"Yan, Yibo and Ou, Mingdong and Cao, Yi and Zou, Xin and Liu, Shuliang and Huo, Jiahao and Huang, Yu and Kwok, James and Hu, Xuming",2026,arXiv preprint arXiv:2603.01666,,https://arxiv.org/abs/2603.01666,yes,https://arxiv.org/abs/2603.01666,paper
cmrag2025,CMRAG: Co-modality-based Visual Document Retrieval and Question Answering,"Chen, Wang and Yu, Wenhan and Qi, Guanqiang and Li, Weikang and Li, Yang and Sha, Lei and Xia, Deguo and Huang, Jizhou",2025,arXiv preprint arXiv:2509.02123,,,yes,https://arxiv.org/abs/2509.02123,arXiv
meng2025vlm2vecv2,"VLM2Vec-V2: Advancing Multimodal Embedding for Videos, Images, and Visual Documents","Meng, Rui and Jiang, Ziyan and Liu, Ye and Su, Mingyi and Yang, Xinyi and Fu, Yuepeng and Qin, Can and Chen, Zeyuan and Xu, Ran and Xiong, Caiming and Zhou, Yingbo and Chen, Wenhu and Yavuz, Semih",2025,arXiv preprint arXiv:2507.04590,,,yes,https://arxiv.org/abs/2507.04590,arXiv
moreira2026nemotroncolembed,Nemotron ColEmbed V2: Top-Performing Late Interaction Embedding Models for Visual Document Retrieval,"Moreira, Gabriel de Souza P. and Ak, Ronay and Xu, Mengyao and Holworthy, Oliver and Schifferer, Benedikt and Yu, Zhiding and Babakhin, Yauhen and Osmulski, Radek and Cai, Jiarui and Chesler, Ryan and Liu, Bo and Oldridge, Even",2026,arXiv preprint arXiv:2602.03992,,https://arxiv.org/abs/2602.03992,yes,https://arxiv.org/abs/2602.03992,paper
nandi2024vducomparative,Visual Document Understanding: A Comparative Review of Modern Methods,"Nandi, Kalyan and Sathya, S. Siva",2024,Proc. Int. Conf. Computer Vision and Image Processing (CVIP),,,yes,https://scholar.google.com/scholar?q=Visual+Document+Understanding%3A+A+Comparative+Review+of+Modern+Methods,Scholar search
li2025dotsocr,dots.ocr: Multilingual Document Layout Parsing in a Single Vision-Language Model,"Li, Yumeng and Yang, Guang and Liu, Hao and Wang, Bowen and Zhang, Colin",2025,arXiv preprint arXiv:2512.02498,,,yes,https://arxiv.org/abs/2512.02498,arXiv
li2025monkeyocr,MonkeyOCR: Document Parsing with a Structure-Recognition-Relation Triplet Paradigm,"Li, Zhang and Liu, Yuliang and Liu, Qiang and Ma, Zhiyin and Zhang, Ziyang and Zhang, Shuo and Yang, Biao and Guo, Zidun and Zhang, Jiarui and Wang, Xinyu and Bai, Xiang",2025,arXiv preprint arXiv:2506.05218,,,yes,https://arxiv.org/abs/2506.05218,arXiv
cui2025paddleocrvl,PaddleOCR-VL: Boosting Multilingual Document Parsing via a 0.9B Ultra-Compact Vision-Language Model,"Cui, Cheng and Sun, Ting and Liang, Suyin and Gao, Tingquan and Zhang, Zelun and Liu, Jiaxuan and Wang, Xueqing and Zhou, Changda and Liu, Hongen and Lin, Manhui and Zhang, Yue and Zhang, Yubo and Zheng, Handong and Zhang, Jing and Zhang, Jun and Liu, Yi and Yu, Dianhai and Ma, Yanjun",2025,arXiv preprint arXiv:2510.14528,,,yes,https://arxiv.org/abs/2510.14528,arXiv
wei2025deepseekocr,DeepSeek-OCR: Contexts Optical Compression,"Wei, Haoran and Sun, Yaofeng and Li, Yukun",2025,arXiv preprint arXiv:2510.18234,,,yes,https://arxiv.org/abs/2510.18234,arXiv
li2025readoc,READoc: A Unified Benchmark for Realistic Document Structured Extraction,"Li, Zichao and Abulaiti, Aizier and Lu, Yaojie and Chen, Xuanang and Zheng, Jia and Lin, Hongyu and Han, Xianpei and Jiang, Shanshan and Dong, Bin and Sun, Le",2025,Findings of ACL,,https://aclanthology.org/2025.findings-acl.1128/,,https://aclanthology.org/2025.findings-acl.1128/,paper
qiao2025reproducibility,"Reproducibility, Replicability, and Insights into Visual Document Retrieval with Late Interaction","Qiao, Jingfen and Ju, Jia-Huei and Ma, Xinyu and Kanoulas, Evangelos and Yates, Andrew",2025,Proc. Int. ACM SIGIR Conf. Res. Develop. Inf. Retrieval,10.1145/3726302.3730285,,yes,https://doi.org/10.1145/3726302.3730285,paper
hkrag2025,HKRAG: Holistic Knowledge Retrieval-Augmented Generation over Visually-Rich Documents,"Tong, Anyang and Niu, Xiang and Liu, ZhiPing and Tian, Chang and Wei, Yanyan and Shi, Zenglin and Wang, Meng",2025,arXiv preprint arXiv:2511.20227,,,yes,https://arxiv.org/abs/2511.20227,arXiv
hybridvector2025,Hybrid-Vector Retrieval for Visually Rich Documents: Combining Single-Vector Efficiency and Multi-Vector Accuracy,"Kim, Juyeon and Lee, Geon and Choi, Dongwon and Kim, Taeuk and Shin, Kijung",2026,Findings Assoc. Comput. Linguistics: ACL,,https://aclanthology.org/2026.findings-acl.54/,yes,https://aclanthology.org/2026.findings-acl.54/,paper
lfrag2026,LFRAG: Layout-oriented Fine-grained Retrieval-Augmented Generation on Multimodal Document Understanding,"Zhu, Yifan and Mi, Yu and Lu, Yue and Guan, Yanchu and Chu, Zhixuan",2026,arXiv preprint arXiv:2605.22829,,https://arxiv.org/abs/2605.22829,yes,https://arxiv.org/abs/2605.22829,paper
icdarw2025docvqarag,Enhancing Document VQA Models via Retrieval-Augmented Generation,"López, Eric and Llabrés, Artemis and Valveny, Ernest",2025,Document Analysis and Recognition --- ICDAR 2025 Workshops,10.1007/978-3-032-09368-4_6,,,https://doi.org/10.1007/978-3-032-09368-4_6,paper
qin2026lmsretrieval,"LMS-Retrieval: Layout-Aware, Modality-Aware, Structure-Aware Document Retrieval","Qin, Man and French, Tim and Liu, Wei",2026,Document Analysis and Recognition --- ICDAR 2026,10.1007/978-3-032-36039-7_8,,yes,https://doi.org/10.1007/978-3-032-36039-7_8,paper
liu2025screenshot,Any Information Is Just Worth One Single Screenshot: Unifying Search with Visualized Information Retrieval,"Liu, Zheng and Liu, Ze and Liang, Zhengyang and Zhou, Junjie and Xiao, Shitao and Gao, Chao and Zhang, Chen Jason and Lian, Defu",2025,Proc. Annu. Meeting Assoc. Comput. Linguistics (ACL),,https://aclanthology.org/2025.acl-long.943/,yes,https://aclanthology.org/2025.acl-long.943/,paper
liu2026lookmiddle,Structural Anchor Pruning: Training-Free Multi-Vector Compression for Visual Document Retrieval,"Liu, Zhuchenyang and Hu, Ziyu and Zhang, Yao and Xiao, Yu",2026,arXiv preprint arXiv:2601.20107,,https://arxiv.org/abs/2601.20107,yes,https://arxiv.org/abs/2601.20107,paper
li2022tablestructure,Table Structure Recognition and Form Parsing by End-to-End Object Detection and Relation Parsing,"Li, Xiao-Hui and Yin, Fei and Dai, Hao-Sen and Liu, Cheng-Lin",2022,Pattern Recognition,,,yes,https://scholar.google.com/scholar?q=Table+Structure+Recognition+and+Form+Parsing+by+End-to-End+Object+Detection+and+Relation+Parsing,Scholar search
zhong2020imagetable,"Image-Based Table Recognition: Data, Model, and Evaluation","Zhong, Xu and ShafieiBavani, Elaheh and Jimeno Yepes, Antonio",2020,Proc. Eur. Conf. Comput. Vis. (ECCV),,,,https://scholar.google.com/scholar?q=Image-Based+Table+Recognition%3A+Data%2C+Model%2C+and+Evaluation,Scholar search
zhao2025tabpedia,TabPedia: Towards Comprehensive Visual Table Understanding with Concept Synergy,"Zhao, Weichao and Feng, Hao and Liu, Qi and Tang, Jingqun and Wu, Binghong and Liao, Lei and Wei, Shu and Ye, Yongjie and Liu, Hao and Zhou, Wengang and others",2025,Adv. Neural Inf. Process. Syst. (NeurIPS),,,,https://scholar.google.com/scholar?q=TabPedia%3A+Towards+Comprehensive+Visual+Table+Understanding+with+Concept+Synergy,Scholar search
zhao2024doclayoutyolo,DocLayout-YOLO: Enhancing Document Layout Analysis through Diverse Synthetic Data and Global-to-Local Adaptive Perception,"Zhao, Zhiyuan and Kang, Hengrui and Wang, Bin and He, Conghui",2024,arXiv preprint arXiv:2410.12628,,,,https://arxiv.org/abs/2410.12628,arXiv
dimt2026competition,ICDAR 2025 Competition on End-to-End Document Image Machine Translation Towards Complex Layouts,"Zhang, Yaping and Liang, Yupu and Zhang, Zhiyang and Chen, Zhiyuan and Xiang, Lu and Zhao, Yang and Zhou, Yu and Zong, Chengqing",2026,arXiv preprint arXiv:2603.09392,,https://doi.org/10.1007/978-3-032-04630-7_29,,https://doi.org/10.1007/978-3-032-04630-7_29,paper
datagen2026survey,Beyond Human Annotation: Recent Advances in Data Generation Methods for Document Intelligence,"Ying, Dehao and Yu, Fengchang and Chen, Haihua and Jiang, Changjiang and Li, Yurong and Lu, Wei",2026,arXiv preprint arXiv:2601.12318,,,yes,https://arxiv.org/abs/2601.12318,arXiv
mmdocrag2025,Benchmarking Retrieval-Augmented Multimodal Generation for Document Question Answering,"Dong, Kuicai and Chang, Yujing and Huang, Shijie and Wang, Yasheng and Tang, Ruiming and Liu, Yong",2025,Adv. Neural Inf. Process. Syst. (NeurIPS),,,yes,https://scholar.google.com/scholar?q=Benchmarking+Retrieval-Augmented+Multimodal+Generation+for+Document+Question+Answering,Scholar search
longdocurl2024,"LongDocURL: A Comprehensive Multimodal Long Document Benchmark Integrating Understanding, Reasoning and Locating","Deng, Chao and Yuan, Jiale and Bu, Pi and Wang, Peijie and Li, Zhong-Zhi and Xu, Jian and Li, Xiao-Hui and Gao, Yuan and Song, Jun and Zheng, Bo and Liu, Cheng-Lin",2025,Proc. Annu. Meeting Assoc. Comput. Linguistics (ACL),,https://aclanthology.org/2025.acl-long.57/,yes,https://aclanthology.org/2025.acl-long.57/,paper
lu2004docimageretrieval,Information Retrieval in Document Image Databases,"Lu, Yue and Tan, Chew Lim",2004,IEEE Trans. Knowledge and Data Engineering,,,yes,https://scholar.google.com/scholar?q=Information+Retrieval+in+Document+Image+Databases,Scholar search
teiletche2025modernvbert,ModernVBERT: Towards Smaller Visual Document Retrievers,"Teiletche, Paul and Macé, Quentin and Conti, Max and Loison, Antonio and Viaud, Gautier and Colombo, Pierre and Faysse, Manuel",2026,Proc. Int. Conf. Mach. Learn. (ICML),,https://openreview.net/forum?id=TyVJlSHke2,yes,https://openreview.net/forum?id=TyVJlSHke2,paper
citevqa2026,CiteVQA: Benchmarking Evidence Attribution for Trustworthy Document Intelligence,"Ma, Dongsheng and Li, Jiayu and Wang, Zhengren and Wang, Yijie and Kong, Jiahao and Zeng, Weijun and Xiao, Jutao and Yang, Jie and Zhang, Wentao and Wang, Bin and He, Conghui",2026,arXiv preprint arXiv:2605.12882,,https://arxiv.org/abs/2605.12882,yes,https://arxiv.org/abs/2605.12882,paper
arial2025,ARIAL: An Agentic Framework for Document VQA with Precise Answer Localization,"Mohammadshirazi, Ahmad and Neogi, Pinaki Prasad Guha and Kulshrestha, Dheeraj and Ramnath, Rajiv",2025,arXiv preprint arXiv:2511.18192,,,yes,https://arxiv.org/abs/2511.18192,arXiv
page2021prisma,The PRISMA 2020 Statement: An Updated Guideline for Reporting Systematic Reviews,"Page, Matthew J. and McKenzie, Joanne E. and Bossuyt, Patrick M. and Boutron, Isabelle and Hoffmann, Tammy C. and Mulrow, Cynthia D. and others",2021,BMJ,10.1136/bmj.n71,,yes,https://doi.org/10.1136/bmj.n71,paper
wu2025molorag,MoLoRAG: Bootstrapping Document Understanding via Multi-modal Logic-aware Retrieval,"Wu, Xixi and Tan, Yanchao and Hou, Nan and Zhang, Ruiyang and Cheng, Hong",2025,Proc. Conf. Empirical Methods Natural Language Process. (EMNLP),,https://aclanthology.org/2025.emnlp-main.708/,yes,https://aclanthology.org/2025.emnlp-main.708/,paper
harley2015rvlcdip,Evaluation of Deep Convolutional Nets for Document Image Classification and Retrieval,"Harley, Adam W. and Ufkes, Alex and Derpanis, Konstantinos G.",2015,Proc. Int. Conf. Document Analysis and Recognition (ICDAR),,,,https://scholar.google.com/scholar?q=Evaluation+of+Deep+Convolutional+Nets+for+Document+Image+Classification+and+Retrieval,Scholar search
xing2024dochienet,DocHieNet: A Large and Diverse Dataset for Document Hierarchy Parsing,"Xing, Hangdi and Cheng, Changxu and Gao, Feiyu and Shao, Zirui and Yu, Zhi and Bu, Jiajun and Zheng, Qi and Yao, Cong",2024,Proc. Conf. Empirical Methods Natural Language Process. (EMNLP),,,,https://scholar.google.com/scholar?q=DocHieNet%3A+A+Large+and+Diverse+Dataset+for+Document+Hierarchy+Parsing,Scholar search
he2023icld3ie,ICL-D3IE: In-Context Learning with Diverse Demonstrations Updating for Document Information Extraction,"He, Jiabang and Wang, Lei and Hu, Yi and Liu, Ning and Liu, Hui and Xu, Xing and Shen, Heng Tao",2023,Proc. IEEE/CVF Int. Conf. Comput. Vis. (ICCV),,,,https://scholar.google.com/scholar?q=ICL-D3IE%3A+In-Context+Learning+with+Diverse+Demonstrations+Updating+for+Document+Information+Extraction,Scholar search
hikey2026,HiKEY: Hierarchical Multimodal Retrieval for Open-Domain Document Question Answering,"Shin, Joongmin and Shim, Gyuho and Park, Jeongbae and Seo, Jaehyung and Lim, Heuiseok",2026,Proc. Annu. Meeting Assoc. Comput. Linguistics (ACL),,https://aclanthology.org/2026.acl-long.818/,yes,https://aclanthology.org/2026.acl-long.818/,paper
masry2025colflor,ColFlor: Towards BERT-Size Vision-Language Document Retrieval Models,"Masry, Ahmed and Hoque, Enamul",2025,Proc. IEEE Int. Workshop Mach. Learn. Signal Process. (MLSP),,,yes,https://scholar.google.com/scholar?q=ColFlor%3A+Towards+BERT-Size+Vision-Language+Document+Retrieval+Models,Scholar search
masry2025colmate,ColMate: Contrastive Late Interaction and Masked Text for Multimodal Document Retrieval,"Masry, Ahmed and Thakkar, Megh and Bechard, Patrice and Madhusudhan, Sathwik Tejaswi and Awal, Rabiul and Mishra, Shambhavi and Suresh, Akshay Kalkunte and Daruru, Srivatsava and Hoque, Enamul and Gella, Spandana and others",2025,Proc. Conf. Empirical Methods Natural Language Process.: Industry Track (EMNLP),,https://aclanthology.org/2025.emnlp-industry.145/,yes,https://aclanthology.org/2025.emnlp-industry.145/,paper
ding2025vrdiu,VRD-IU: Lessons from Visually Rich Document Intelligence and Understanding,"Ding, Yihao and Han, Soyeon Caren and Li, Yan and Poon, Josiah",2025,arXiv preprint arXiv:2506.01388,,,yes,https://arxiv.org/abs/2506.01388,arXiv
vrdqasurvey2025,"Survey on Question Answering over Visually Rich Documents: Methods, Challenges, and Trends","Barboule, Camille and Piwowarski, Benjamin and Chabot, Yoan",2025,arXiv preprint arXiv:2501.02235,,,yes,https://arxiv.org/abs/2501.02235,arXiv
dhouib2023docparser,DocParser: End-to-End OCR-free Information Extraction from Visually Rich Documents,"Dhouib, Mohamed and Bettaieb, Ghassen and Shabou, Aymen",2023,Proc. Int. Conf. Document Analysis and Recognition (ICDAR),,,yes,https://arxiv.org/abs/2304.12484,arXiv
rightway2025,Are We on the Right Way for Assessing Document Retrieval-Augmented Generation?,"Shen, Wenxuan and Wang, Mingjia and Wang, Yaochen and Chen, Dongping and Yang, Junjie and Wan, Yao and Lin, Weiwei",2025,arXiv preprint arXiv:2508.03644,,,yes,https://arxiv.org/abs/2508.03644,arXiv
irpapers2026,irpapers: A Visual Document Benchmark for Scientific Retrieval and Question Answering,"Shorten, Connor and Skaburskas, Augustas and Jones, Daniel M. and Pierse, Charles and Esposito, Roberto and Trengrove, John and Dilocker, Etienne and van Luijt, Bob",2026,arXiv preprint arXiv:2602.17687,,https://arxiv.org/abs/2602.17687,yes,https://arxiv.org/abs/2602.17687,paper
nguyen2025serval,Serval: Surprisingly Effective Zero-Shot Visual Document Retrieval Powered by Large Vision and Language Models,"Nguyen, Thong and Lei, Yibin and Ju, Jia-Huei and Yates, Andrew",2025,Proc. Conf. Empirical Methods Natural Language Process. (EMNLP),,https://aclanthology.org/2025.emnlp-main.1568/,yes,https://aclanthology.org/2025.emnlp-main.1568/,paper
mortaheb2025ragcheck,RAG-Check: Evaluating Multimodal Retrieval Augmented Generation Performance,"Mortaheb, Matin and Khojastepour, Mohammad A. Amir and Chakradhar, Srimat T. and Ulukus, Sennur",2025,arXiv preprint arXiv:2501.03995,,,,https://arxiv.org/abs/2501.03995,arXiv
liu2026textmonkey,TextMonkey: An OCR-free Large Multimodal Model for Understanding Document,"Liu, Yuliang and Yang, Biao and Liu, Qiang and Li, Zhang and Ma, Zhiyin and Zhang, Shuo and Bai, Xiang",2026,IEEE Trans. Pattern Anal. Mach. Intell.,10.1109/tpami.2026.3653415,,yes,https://doi.org/10.1109/tpami.2026.3653415,paper
guan2025tokenfd,A Token-level Text Image Foundation Model for Document Understanding,"Guan, Tongkun and Wang, Zining and Fu, Pei and Guo, Zhengtao and Shen, Wei and Zhou, Kai and Yue, Tiezhu and Duan, Chen and Sun, Hao and Jiang, Qianyi and Luo, Junfeng and Yang, Xiaokang",2025,Proc. IEEE/CVF Int. Conf. Comput. Vis. (ICCV),,https://openaccess.thecvf.com/content/ICCV2025/html/Guan_A_Token-level_Text_Image_Foundation_Model_for_Document_Understanding_ICCV_2025_paper.html,,https://openaccess.thecvf.com/content/ICCV2025/html/Guan_A_Token-level_Text_Image_Foundation_Model_for_Document_Understanding_ICCV_2025_paper.html,paper
chen2026mardoc,MARDoc: A Memory-Aware Refinement Agent Framework for Multimodal Long Document QA,"Chen, Kaifeng and Liu, Hongtao and Peng, Qiyao and Yang, Jian and Liu, Yongqiang and Zhang, Xiaochen and Yang, Qing",2026,arXiv preprint arXiv:2606.05749,,https://arxiv.org/abs/2606.05749,yes,https://arxiv.org/abs/2606.05749,paper
zhu2025doclens,DocLens: A Tool-Augmented Multi-Agent Framework for Long Visual Document Understanding,"Zhu, Dawei and Meng, Rui and Chen, Jiefeng and Li, Sujian and Pfister, Tomas and Yoon, Jinsung",2026,Proc. Annu. Meeting Assoc. Comput. Linguistics (ACL),,https://aclanthology.org/2026.acl-long.1234/,yes,https://aclanthology.org/2026.acl-long.1234/,paper
han2025mdocagent,MDocAgent: A Multi-Modal Multi-Agent Framework for Document Understanding,"Han, Siwei and Xia, Peng and Zhang, Ruiyi and Sun, Tong and Li, Yun and Zhu, Hongtu and Yao, Huaxiu",2025,arXiv preprint arXiv:2503.13964,,,yes,https://arxiv.org/abs/2503.13964,arXiv
sun2025docagent,DocAgent: An Agentic Framework for Multi-Modal Long-Context Document Understanding,"Sun, Li and He, Liu and Jia, Shuyue and He, Yangfan and You, Chenyu",2025,Proc. Conf. Empirical Methods Natural Language Process. (EMNLP),10.18653/v1/2025.emnlp-main.893,,yes,https://doi.org/10.18653/v1/2025.emnlp-main.893,paper
zhang2025layouttranslate,Understand Layout and Translate Text: Unified Feature-Conductive End-to-End Document Image Translation,"Zhang, Zhiyang and Zhang, Yaping and Liang, Yupu and Ma, Cong and Xiang, Lu and Zhao, Yang and Zhou, Yu and Zong, Chengqing",2025,IEEE Trans. Pattern Anal. Mach. Intell.,10.1109/tpami.2025.3530998,,,https://doi.org/10.1109/tpami.2025.3530998,paper
