BibKey,Title,Authors,Year,Venue,DOI,URL,CitedInPaper,Link,LinkType
zanibbi2016multistagemath,Multi-Stage Math Formula Search: Using Appearance-Based Similarity Metrics at Scale,"Zanibbi, Richard and Davila, Kenny and Kane, Andrew and Tompa, Frank Wm.",2016,Proc. Int. ACM SIGIR Conf. Res. Develop. Inf. Retrieval,,,yes,https://scholar.google.com/scholar?q=Multi-Stage+Math+Formula+Search%3A+Using+Appearance-Based+Similarity+Metrics+at+Scale,Scholar search
wang2024unimernet,UniMERNet: A Universal Network for Real-World Mathematical Expression Recognition,"Wang, Bin and Gu, Zhuangcheng and Liang, Guang and Xu, Chao and Zhang, Bo and Shi, Botian and He, Conghui",2026,Proc. IEEE/CVF Conf. Comput. Vis. Pattern Recognit. (CVPR),,https://openaccess.thecvf.com/content/CVPR2026/html/Gu_UniMERNet_A_Universal_Network_for_Real-World_Mathematical_Expression_Recognition_CVPR_2026_paper.html,yes,https://openaccess.thecvf.com/content/CVPR2026/html/Gu_UniMERNet_A_Universal_Network_for_Real-World_Mathematical_Expression_Recognition_CVPR_2026_paper.html,paper
blechernougat2024,Nougat: Neural Optical Understanding for Academic Documents,"Blecher, Lukas and Cucurull, Guillem and Scialom, Thomas and Stojnic, Robert",2024,Proc. Int. Conf. Learning Representations (ICLR),,,yes,https://scholar.google.com/scholar?q=Nougat%3A+Neural+Optical+Understanding+for+Academic+Documents,Scholar search
cdm2025,Image Over Text: Transforming Formula Recognition Evaluation with Character Detection Matching,"Wang, Bin and Wu, Fan and Ouyang, Linke and Gu, Zhuangcheng and Zhang, Rui and Xia, Renqiu and Zhang, Bo and He, Conghui",2025,Proc. IEEE/CVF Conf. Comput. Vis. Pattern Recognit. (CVPR),,https://openaccess.thecvf.com/content/CVPR2025/html/Wang_Image_Over_Text_Transforming_Formula_Recognition_Evaluation_with_Character_Detection_CVPR_2025_paper.html,yes,https://openaccess.thecvf.com/content/CVPR2025/html/Wang_Image_Over_Text_Transforming_Formula_Recognition_Evaluation_with_Character_Detection_CVPR_2025_paper.html,paper
jaume2019funsd,FUNSD: A Dataset for Form Understanding in Noisy Scanned Documents,"Jaume, Guillaume and Ekenel, Hazim Kemal and Thiran, Jean-Philippe",2019,Proc. ICDAR Workshops,,,yes,https://scholar.google.com/scholar?q=FUNSD%3A+A+Dataset+for+Form+Understanding+in+Noisy+Scanned+Documents,Scholar search
lee2022formnet,FormNet: Structural Encoding beyond Sequential Modeling in Form Document Information Extraction,"Lee, Chen-Yu and Li, Chun-Liang and Dozat, Timothy and Perot, Vincent and Su, Guolong and Hua, Nan and others",2022,Proc. Annu. Meeting Assoc. Comput. Linguistics (ACL),,,yes,https://scholar.google.com/scholar?q=FormNet%3A+Structural+Encoding+beyond+Sequential+Modeling+in+Form+Document+Information+Extraction,Scholar search
perot-etal-2024-lmdx,LMDX: Language Model-based Document Information Extraction and Localization,"Perot, Vincent and Kang, Kai and Luisier, Florian and others",2024,Findings of ACL,,,yes,https://scholar.google.com/scholar?q=LMDX%3A+Language+Model-based+Document+Information+Extraction+and+Localization,Scholar search
masrfund2024,SRFUND: A Multi-Granularity Hierarchical Structure Reconstruction Benchmark in Form Understanding,"Ma, Jiefeng and Wang, Yan and Liu, Chenyu and Du, Jun and Hu, Yu and Zhang, Zhenrong and others",2024,Adv. Neural Inf. Process. Syst. (NeurIPS),,,,https://scholar.google.com/scholar?q=SRFUND%3A+A+Multi-Granularity+Hierarchical+Structure+Reconstruction+Benchmark+in+Form+Understanding,Scholar search
ji-etal-2026-unikie,UNIKIE-BENCH: Benchmarking Large Multimodal Models for Key Information Extraction in Visual Documents,"Ji, Yifan and Xu, Zhipeng and Liu, Zhenghao and others",2026,Proc. Annu. Meeting Assoc. Comput. Linguistics (ACL),,https://aclanthology.org/2026.acl-long.287/,yes,https://aclanthology.org/2026.acl-long.287/,paper
nandedkar2016spods,"SPODS: A Dataset of Color-Official Documents and Detection of Logo, Stamp, and Signature","Nandedkar, Abhijit and Mukherjee, Jayanta and Sural, Shamik",2017,Proc. ICVGIP Satellite Workshops,10.1007/978-3-319-68124-5_19,,yes,https://doi.org/10.1007/978-3-319-68124-5_19,paper
